Age,Job,Marital,Education,Default,Balance,Housing_Loan,Personal_Loan,Contact,Day_of_Week,Month,Campaign,Pdays,Previous,Poutcome,Subscribed
56,blue-collar,single,secondary,no,3233,yes,no,cellular,fri,jul,4,-1,0,nonexistent,no
46,unemployed,divorced,secondary,no,6722,yes,yes,unknown,wed,aug,3,387,1,other,no
35,services,single,tertiary,no,-3000,no,no,cellular,mon,nov,5,819,1,success,no
25,technician,divorced,secondary,no,1889,yes,no,unknown,mon,jul,6,830,6,success,no
37,management,married,secondary,no,-405,yes,no,unknown,fri,jul,2,-1,0,nonexistent,no
39,retired,married,secondary,no,301,no,yes,cellular,mon,jun,3,-1,0,nonexistent,no
20,management,single,secondary,no,160,no,no,telephone,thu,may,4,-1,0,nonexistent,no
40,admin,single,primary,no,-331,yes,no,cellular,fri,aug,1,363,1,failure,no
42,blue-collar,divorced,secondary,no,6621,no,no,cellular,wed,jul,3,229,3,failure,no
42,admin,single,secondary,no,-685,yes,yes,cellular,tue,jun,1,-1,0,nonexistent,no
31,student,single,secondary,no,3276,yes,no,cellular,mon,may,1,-1,0,nonexistent,no
24,services,single,tertiary,no,565,no,no,telephone,wed,jun,7,111,2,failure,no
37,blue-collar,single,primary,no,-24,no,no,cellular,fri,may,3,-1,0,nonexistent,no
40,technician,divorced,secondary,no,-986,no,no,cellular,fri,sep,3,-1,0,nonexistent,yes
32,management,single,tertiary,no,-2434,yes,yes,unknown,tue,jun,3,-1,0,nonexistent,no
62,unemployed,single,secondary,no,388,no,no,cellular,thu,may,2,126,1,failure,no
30,blue-collar,single,secondary,no,3304,no,no,cellular,mon,apr,3,-1,0,nonexistent,no
29,blue-collar,married,primary,no,-1847,no,no,unknown,wed,nov,2,271,1,failure,no
24,blue-collar,married,secondary,no,1258,no,no,unknown,mon,may,1,-1,0,nonexistent,no
51,management,married,tertiary,no,-2368,no,no,cellular,fri,may,5,-1,0,nonexistent,no
43,self-employed,single,secondary,no,1169,no,no,unknown,tue,nov,1,-1,0,nonexistent,yes
28,technician,married,tertiary,no,5264,no,no,cellular,tue,aug,5,-1,0,nonexistent,no
59,admin,married,tertiary,no,126,no,no,unknown,tue,may,2,-1,0,nonexistent,no
65,blue-collar,single,tertiary,no,860,yes,no,cellular,wed,jan,5,-1,0,nonexistent,no
39,blue-collar,married,secondary,no,-1775,no,no,cellular,wed,may,4,-1,0,nonexistent,no
48,management,single,primary,no,3405,yes,no,cellular,mon,jul,1,-1,0,nonexistent,no
43,admin,married,secondary,no,3985,yes,no,cellular,wed,aug,6,-1,0,nonexistent,no
28,services,married,tertiary,no,-3000,yes,no,unknown,tue,may,3,638,2,other,no
40,technician,single,tertiary,no,-989,no,no,cellular,mon,nov,2,564,3,failure,no
39,management,married,secondary,no,541,yes,no,cellular,tue,feb,4,-1,0,nonexistent,no
72,blue-collar,married,secondary,no,4280,no,no,unknown,mon,jul,7,-1,0,nonexistent,no
41,management,single,tertiary,no,1228,yes,no,telephone,tue,may,5,-1,0,nonexistent,no
29,management,divorced,secondary,no,-3000,yes,no,cellular,mon,jun,2,-1,0,nonexistent,no
28,services,married,secondary,no,-1443,yes,yes,cellular,fri,jul,2,719,3,success,no
45,entrepreneur,married,secondary,no,-451,yes,no,cellular,wed,aug,3,-1,0,nonexistent,yes
42,retired,married,secondary,no,0,no,no,cellular,mon,jul,1,-1,0,nonexistent,no
37,blue-collar,married,primary,no,3899,yes,no,unknown,thu,may,3,-1,0,nonexistent,no
34,services,single,tertiary,no,2956,no,no,cellular,tue,jan,1,-1,0,nonexistent,no
40,blue-collar,married,secondary,yes,-430,no,no,cellular,tue,may,4,-1,0,nonexistent,no
46,blue-collar,married,tertiary,no,-2762,yes,no,cellular,fri,jul,3,-1,0,nonexistent,no
53,admin,married,tertiary,no,-2596,yes,no,cellular,wed,apr,5,-1,0,nonexistent,no
30,management,married,tertiary,no,4641,no,no,cellular,thu,may,4,-1,0,nonexistent,yes
30,retired,single,secondary,no,6518,yes,no,unknown,wed,may,3,-1,0,nonexistent,no
33,admin,married,secondary,no,2042,no,no,cellular,tue,aug,1,130,2,success,yes
33,admin,single,secondary,no,-3000,yes,no,cellular,wed,nov,4,-1,0,nonexistent,no
43,admin,married,primary,no,2157,no,no,cellular,thu,oct,4,634,1,failure,no
44,entrepreneur,married,tertiary,no,8024,yes,no,cellular,wed,nov,2,654,3,failure,no
41,retired,married,primary,no,-2987,no,yes,unknown,thu,nov,2,-1,0,nonexistent,no
38,blue-collar,single,tertiary,no,2607,yes,yes,telephone,fri,jun,3,-1,0,nonexistent,no
33,student,married,secondary,no,5090,no,no,cellular,tue,aug,3,-1,0,nonexistent,no
33,technician,married,tertiary,no,4723,yes,yes,unknown,wed,jul,6,-1,0,nonexistent,no
18,management,married,secondary,no,1407,yes,no,unknown,tue,jun,2,-1,0,nonexistent,no
77,self-employed,divorced,secondary,no,3063,no,no,cellular,fri,nov,3,-1,0,nonexistent,no
44,unemployed,divorced,primary,no,-3000,no,no,unknown,fri,nov,3,-1,0,nonexistent,no
31,services,single,secondary,no,2905,yes,no,cellular,thu,may,4,-1,0,nonexistent,no
36,services,divorced,primary,no,5408,yes,no,cellular,mon,nov,4,-1,0,nonexistent,no
57,blue-collar,single,primary,no,-224,yes,yes,cellular,fri,mar,4,-1,0,nonexistent,no
38,management,married,unknown,no,3192,no,no,cellular,fri,jun,1,-1,0,nonexistent,yes
57,retired,divorced,secondary,no,5829,yes,no,unknown,mon,apr,1,-1,0,nonexistent,no
40,unknown,married,primary,no,1024,yes,no,cellular,thu,jul,1,-1,0,nonexistent,no
29,management,single,primary,no,49,no,no,cellular,wed,jul,2,-1,0,nonexistent,yes
41,services,divorced,secondary,no,908,yes,no,cellular,thu,apr,5,-1,0,nonexistent,no
24,blue-collar,single,primary,no,-387,no,no,cellular,mon,may,4,-1,0,nonexistent,no
44,services,single,secondary,no,1104,no,no,cellular,tue,jul,2,-1,0,nonexistent,no
35,management,single,secondary,no,1293,yes,no,cellular,fri,feb,2,885,4,failure,no
48,blue-collar,single,secondary,no,1285,yes,no,cellular,tue,apr,2,-1,0,nonexistent,no
32,blue-collar,single,secondary,no,6557,no,yes,cellular,thu,nov,3,-1,0,nonexistent,no
38,technician,married,secondary,no,3952,no,no,cellular,thu,jan,2,-1,0,nonexistent,no
47,technician,married,secondary,no,-2072,yes,no,cellular,tue,may,6,-1,0,nonexistent,no
23,admin,single,secondary,no,4671,yes,no,unknown,fri,jun,4,-1,0,nonexistent,no
45,management,married,secondary,no,436,yes,yes,unknown,thu,apr,1,-1,0,nonexistent,no
50,admin,married,secondary,no,1421,yes,no,cellular,wed,aug,3,-1,0,nonexistent,no
53,management,married,tertiary,no,-2982,yes,no,telephone,tue,jun,4,-1,0,nonexistent,no
42,services,married,tertiary,no,1704,yes,no,cellular,mon,feb,2,-1,0,nonexistent,no
22,blue-collar,divorced,primary,no,329,yes,no,unknown,tue,dec,5,-1,0,nonexistent,no
42,technician,single,unknown,no,-1678,yes,no,cellular,thu,may,7,-1,0,nonexistent,no
23,technician,married,primary,no,3825,yes,no,cellular,fri,jul,4,-1,0,nonexistent,no
57,blue-collar,single,secondary,no,4053,no,no,cellular,thu,apr,3,-1,0,nonexistent,no
47,services,married,secondary,no,229,yes,no,unknown,tue,jan,5,-1,0,nonexistent,no
55,admin,married,primary,no,1576,yes,yes,cellular,mon,jul,4,-1,0,nonexistent,no
32,housemaid,married,secondary,no,1231,yes,no,cellular,mon,aug,5,-1,0,nonexistent,no
59,blue-collar,single,secondary,no,-67,no,no,unknown,wed,jun,3,-1,0,nonexistent,no
46,technician,single,secondary,no,4743,no,no,cellular,tue,oct,2,-1,0,nonexistent,no
44,self-employed,married,secondary,no,893,yes,no,unknown,mon,jul,1,-1,0,nonexistent,no
40,unemployed,divorced,secondary,yes,366,no,yes,unknown,fri,aug,3,569,1,success,yes
45,admin,married,secondary,no,3342,yes,no,cellular,fri,jun,3,-1,0,nonexistent,no
33,management,married,secondary,no,883,no,yes,unknown,thu,dec,2,-1,0,nonexistent,no
26,services,married,secondary,no,1411,no,no,cellular,tue,jan,3,-1,0,nonexistent,no
33,technician,single,secondary,no,-1140,no,yes,unknown,mon,may,2,10,2,failure,no
33,technician,married,secondary,no,-586,yes,no,cellular,wed,aug,3,138,3,other,no
37,admin,married,primary,no,3643,yes,no,unknown,tue,nov,3,-1,0,nonexistent,no
18,unemployed,single,tertiary,no,1161,yes,no,cellular,mon,jun,1,-1,0,nonexistent,no
39,blue-collar,divorced,secondary,no,3227,no,no,cellular,mon,jan,3,-1,0,nonexistent,no
31,admin,single,tertiary,no,1102,no,no,cellular,fri,may,3,-1,0,nonexistent,no
39,entrepreneur,married,unknown,yes,72,yes,no,telephone,mon,may,2,-1,0,nonexistent,no
34,management,single,secondary,no,-1180,no,no,unknown,wed,aug,1,-1,0,nonexistent,no
43,management,single,secondary,no,2031,yes,no,unknown,mon,jun,1,-1,0,nonexistent,no
51,technician,single,secondary,no,5278,no,no,unknown,mon,jul,2,-1,0,nonexistent,no
35,blue-collar,divorced,tertiary,no,4222,no,no,cellular,wed,may,2,-1,0,nonexistent,no
42,retired,single,tertiary,no,-3000,yes,no,cellular,thu,apr,5,-1,0,nonexistent,no
25,technician,divorced,secondary,no,722,no,no,cellular,thu,aug,3,-1,0,nonexistent,no
57,admin,single,unknown,no,2007,yes,no,cellular,tue,may,3,-1,0,nonexistent,no
39,services,married,secondary,no,2050,no,no,cellular,tue,may,3,-1,0,nonexistent,no
41,blue-collar,married,primary,no,2300,no,no,cellular,tue,aug,1,181,3,failure,yes
29,blue-collar,married,tertiary,no,6557,yes,no,cellular,fri,jul,1,-1,0,nonexistent,no
48,management,divorced,primary,no,4274,yes,no,cellular,mon,jul,6,-1,0,nonexistent,no
28,admin,single,secondary,no,3838,yes,yes,cellular,mon,nov,1,-1,0,nonexistent,no
39,management,single,tertiary,no,-255,yes,yes,cellular,mon,jul,1,-1,0,nonexistent,no
23,management,married,secondary,no,6079,yes,no,unknown,mon,may,2,-1,0,nonexistent,no
28,blue-collar,married,tertiary,no,140,yes,no,cellular,wed,may,3,-1,0,nonexistent,no
22,technician,married,primary,no,2783,yes,no,telephone,tue,may,3,-1,0,nonexistent,no
39,unemployed,divorced,secondary,no,7506,yes,yes,cellular,tue,sep,3,-1,0,nonexistent,no
39,blue-collar,married,secondary,no,186,yes,no,telephone,tue,may,3,-1,0,nonexistent,no
58,admin,single,primary,no,710,no,no,cellular,wed,jul,1,-1,0,nonexistent,no
43,blue-collar,married,primary,no,1021,yes,no,cellular,thu,may,4,-1,0,nonexistent,no
37,housemaid,married,secondary,no,724,yes,no,cellular,mon,aug,3,591,2,failure,no
28,retired,married,tertiary,no,2826,yes,no,telephone,wed,jul,2,519,1,failure,no
51,management,single,tertiary,no,1222,no,no,cellular,mon,may,3,317,1,success,yes
45,housemaid,married,secondary,no,1565,no,no,unknown,fri,apr,2,-1,0,nonexistent,yes
50,management,married,tertiary,no,2597,yes,no,unknown,thu,jun,4,-1,0,nonexistent,no
44,admin,single,primary,no,-864,no,no,unknown,wed,may,2,-1,0,nonexistent,no
33,management,divorced,secondary,no,824,yes,no,cellular,fri,jul,4,-1,0,nonexistent,no
44,management,married,secondary,no,97,yes,no,unknown,wed,jul,4,-1,0,nonexistent,no
31,blue-collar,married,primary,no,981,no,no,cellular,fri,may,6,-1,0,nonexistent,yes
48,management,divorced,tertiary,no,160,yes,no,unknown,wed,nov,3,-1,0,nonexistent,no
28,management,single,tertiary,no,5669,yes,no,unknown,wed,jul,7,-1,0,nonexistent,yes
45,blue-collar,married,unknown,no,-967,yes,no,cellular,thu,jul,3,-1,0,nonexistent,no
28,blue-collar,married,primary,no,-3000,yes,no,cellular,wed,jun,5,-1,0,nonexistent,no
36,blue-collar,married,secondary,no,409,no,yes,cellular,fri,may,5,98,3,success,no
28,self-employed,married,secondary,no,399,yes,no,unknown,wed,sep,5,-1,0,nonexistent,no
56,management,single,primary,no,947,yes,no,cellular,tue,jun,1,-1,0,nonexistent,no
38,unemployed,married,tertiary,no,884,no,no,cellular,thu,may,2,-1,0,nonexistent,no
28,technician,married,secondary,no,3432,no,no,cellular,mon,jul,2,-1,0,nonexistent,no
44,technician,married,primary,no,9695,no,yes,cellular,tue,oct,6,173,2,failure,no
23,management,single,secondary,no,-539,no,no,unknown,mon,oct,2,-1,0,nonexistent,no
31,services,single,secondary,no,7228,yes,yes,cellular,wed,jun,1,-1,0,nonexistent,no
29,management,married,secondary,no,1629,no,yes,unknown,wed,may,3,-1,0,nonexistent,no
32,retired,married,primary,no,-1619,yes,no,cellular,mon,may,3,-1,0,nonexistent,no
45,management,married,tertiary,no,-1081,no,no,unknown,thu,jun,1,-1,0,nonexistent,no
25,blue-collar,married,secondary,no,505,no,no,cellular,wed,jan,2,398,4,failure,no
31,management,married,secondary,no,-3000,yes,no,cellular,fri,may,1,-1,0,nonexistent,no
45,blue-collar,single,tertiary,no,3869,no,no,cellular,thu,may,5,-1,0,nonexistent,yes
42,management,married,unknown,no,-715,no,no,cellular,wed,jun,3,-1,0,nonexistent,yes
36,management,married,secondary,no,362,yes,no,telephone,mon,nov,3,-1,0,nonexistent,yes
27,services,married,secondary,no,-1402,yes,no,unknown,wed,jul,3,500,4,success,yes
28,unknown,single,primary,no,-613,no,no,cellular,thu,aug,6,453,4,success,yes
37,blue-collar,married,secondary,no,-3000,yes,no,unknown,tue,dec,3,-1,0,nonexistent,no
73,admin,single,tertiary,no,2230,yes,no,cellular,mon,nov,2,-1,0,nonexistent,no
27,retired,married,secondary,no,-2503,yes,no,unknown,wed,jun,3,-1,0,nonexistent,no
43,admin,single,secondary,no,975,no,no,unknown,wed,may,3,380,2,success,no
69,management,married,tertiary,no,-2781,no,no,cellular,mon,may,4,385,2,failure,no
25,management,married,secondary,no,5515,yes,no,unknown,wed,nov,5,-1,0,nonexistent,no
37,unemployed,single,secondary,no,-3000,yes,no,unknown,tue,jul,6,896,6,other,no
53,technician,married,unknown,no,1748,yes,yes,telephone,mon,may,1,-1,0,nonexistent,no
44,admin,divorced,tertiary,no,647,yes,no,telephone,wed,may,1,-1,0,nonexistent,no
31,management,single,tertiary,no,8706,yes,yes,cellular,thu,nov,2,-1,0,nonexistent,yes
31,services,single,secondary,no,1789,no,no,cellular,fri,may,5,-1,0,nonexistent,no
89,technician,married,primary,no,-694,yes,no,cellular,tue,oct,2,69,3,success,no
32,services,divorced,secondary,no,-3000,yes,yes,cellular,fri,may,2,748,2,failure,no
38,management,single,primary,no,-1466,no,yes,cellular,wed,may,2,-1,0,nonexistent,no
32,management,married,tertiary,no,-592,yes,no,cellular,mon,jun,4,-1,0,nonexistent,no
63,blue-collar,single,secondary,no,894,no,no,unknown,mon,feb,6,-1,0,nonexistent,no
34,admin,single,primary,no,1025,no,no,unknown,tue,may,4,-1,0,nonexistent,no
40,blue-collar,married,tertiary,no,-3000,yes,no,cellular,mon,feb,6,-1,0,nonexistent,no
45,management,divorced,primary,no,1409,yes,yes,cellular,tue,jul,3,-1,0,nonexistent,no
35,admin,single,secondary,no,756,yes,no,unknown,wed,may,1,-1,0,nonexistent,no
66,management,single,unknown,no,299,yes,no,cellular,thu,jun,6,-1,0,nonexistent,no
26,management,single,tertiary,no,4401,no,no,cellular,thu,aug,4,-1,0,nonexistent,no
41,management,married,tertiary,no,-3000,no,yes,cellular,tue,jan,6,-1,0,nonexistent,no
40,technician,single,primary,no,-1608,yes,no,unknown,mon,jul,3,879,2,failure,no
32,services,divorced,tertiary,no,-505,no,no,cellular,thu,apr,2,-1,0,nonexistent,no
31,management,single,tertiary,no,-791,no,no,cellular,fri,may,2,-1,0,nonexistent,no
36,technician,divorced,primary,no,2699,no,no,cellular,wed,may,3,-1,0,nonexistent,no
42,student,married,primary,no,712,yes,no,unknown,wed,may,3,-1,0,nonexistent,no
39,technician,married,primary,no,-669,no,no,cellular,fri,may,5,-1,0,nonexistent,no
80,management,married,secondary,no,2918,no,no,cellular,wed,apr,2,-1,0,nonexistent,yes
65,retired,single,tertiary,no,-525,yes,no,unknown,tue,jun,3,-1,0,nonexistent,no
28,entrepreneur,married,tertiary,no,3344,yes,no,cellular,thu,dec,3,-1,0,nonexistent,no
30,services,married,unknown,no,-3000,no,no,unknown,fri,mar,4,-1,0,nonexistent,no
35,management,single,secondary,yes,-350,no,no,unknown,tue,jun,2,-1,0,nonexistent,no
64,technician,married,tertiary,no,2334,yes,no,cellular,mon,nov,8,-1,0,nonexistent,no
31,management,married,secondary,no,340,yes,no,cellular,wed,apr,4,-1,0,nonexistent,no
50,unemployed,married,tertiary,no,-3000,yes,no,cellular,wed,feb,6,-1,0,nonexistent,no
43,blue-collar,married,tertiary,no,-3000,yes,no,unknown,tue,jul,3,-1,0,nonexistent,no
40,self-employed,married,primary,no,3427,no,no,cellular,thu,may,4,-1,0,nonexistent,no
27,management,married,unknown,no,-2510,yes,no,telephone,wed,jun,4,-1,0,nonexistent,no
32,blue-collar,divorced,secondary,no,1289,no,no,cellular,wed,may,2,-1,0,nonexistent,yes
34,retired,divorced,tertiary,no,1207,no,no,cellular,fri,may,3,-1,0,nonexistent,no
39,services,married,primary,no,-1238,yes,no,cellular,fri,aug,4,-1,0,nonexistent,no
77,blue-collar,married,tertiary,no,3897,yes,no,cellular,wed,may,2,-1,0,nonexistent,no
50,management,single,unknown,no,-3000,no,no,unknown,wed,feb,4,-1,0,nonexistent,no
34,blue-collar,married,tertiary,no,-1321,no,no,cellular,wed,jun,9,278,1,failure,no
42,services,married,tertiary,no,5948,yes,no,cellular,thu,apr,4,-1,0,nonexistent,no
26,entrepreneur,married,tertiary,no,1012,no,no,cellular,wed,may,2,-1,0,nonexistent,no
33,management,single,tertiary,no,2744,no,no,cellular,mon,jun,1,-1,0,nonexistent,no
43,management,single,tertiary,no,4479,no,no,unknown,wed,aug,2,-1,0,nonexistent,no
38,blue-collar,married,secondary,no,603,no,no,cellular,fri,may,1,-1,0,nonexistent,no
43,blue-collar,married,secondary,no,5425,no,no,cellular,tue,sep,2,-1,0,nonexistent,yes
37,blue-collar,single,secondary,no,3885,no,no,telephone,fri,jul,4,-1,0,nonexistent,no
27,services,married,secondary,yes,-3000,no,no,unknown,fri,may,4,-1,0,nonexistent,no
29,blue-collar,divorced,secondary,no,5331,yes,no,cellular,fri,aug,6,-1,0,nonexistent,no
42,technician,married,secondary,no,4407,no,no,cellular,fri,may,4,-1,0,nonexistent,no
95,management,married,tertiary,no,4449,yes,no,cellular,thu,jun,2,-1,0,nonexistent,no
69,technician,divorced,secondary,no,413,no,no,cellular,fri,may,3,-1,0,nonexistent,no
49,technician,single,secondary,no,-906,no,no,cellular,mon,may,2,-1,0,nonexistent,no
48,management,single,secondary,no,-3000,yes,no,cellular,fri,may,3,-1,0,nonexistent,no
49,management,divorced,tertiary,no,2442,no,no,cellular,tue,jan,5,-1,0,nonexistent,no
42,entrepreneur,single,primary,no,509,yes,yes,cellular,wed,may,2,-1,0,nonexistent,no
46,unemployed,single,primary,no,-726,yes,no,unknown,fri,apr,3,-1,0,nonexistent,no
42,technician,married,primary,no,5036,no,no,cellular,mon,nov,4,-1,0,nonexistent,no
45,management,single,tertiary,no,903,yes,yes,cellular,mon,aug,5,634,1,other,no
37,technician,single,primary,no,4909,no,no,unknown,tue,oct,2,-1,0,nonexistent,yes
33,technician,divorced,secondary,no,4400,no,yes,cellular,mon,may,4,-1,0,nonexistent,no
59,housemaid,single,tertiary,no,3457,no,no,telephone,thu,jun,4,-1,0,nonexistent,no
33,technician,married,secondary,no,2457,no,no,cellular,tue,jun,3,-1,0,nonexistent,no
68,management,married,secondary,no,-2572,no,yes,unknown,mon,jun,3,-1,0,nonexistent,no
34,housemaid,divorced,primary,no,-8,yes,no,unknown,mon,aug,5,263,6,failure,no
58,admin,divorced,secondary,no,-81,yes,no,cellular,wed,aug,4,703,2,failure,no
25,blue-collar,single,tertiary,no,3096,no,no,cellular,wed,jan,4,-1,0,nonexistent,no
24,technician,married,secondary,no,3196,yes,no,unknown,mon,may,2,-1,0,nonexistent,no
43,retired,single,secondary,no,-264,yes,no,unknown,fri,may,6,5,3,success,yes
41,technician,married,primary,no,-1191,yes,no,unknown,wed,apr,4,-1,0,nonexistent,no
37,management,divorced,tertiary,no,-3000,no,yes,cellular,mon,aug,2,-1,0,nonexistent,no
51,management,married,secondary,no,-2514,no,no,cellular,thu,may,3,-1,0,nonexistent,no
32,services,single,unknown,no,1966,no,no,cellular,mon,jul,2,-1,0,nonexistent,no
44,technician,single,secondary,yes,6245,no,no,cellular,tue,may,3,-1,0,nonexistent,yes
54,blue-collar,married,primary,no,8429,yes,yes,unknown,wed,aug,5,-1,0,nonexistent,no
39,management,married,secondary,no,3767,no,yes,cellular,wed,may,3,-1,0,nonexistent,no
28,services,divorced,secondary,no,339,no,no,cellular,mon,aug,6,-1,0,nonexistent,no
48,blue-collar,married,secondary,no,-2722,no,no,cellular,tue,jul,1,-1,0,nonexistent,no
33,management,married,secondary,no,-1346,no,no,unknown,wed,apr,5,-1,0,nonexistent,no
95,technician,married,tertiary,no,2434,yes,no,unknown,mon,nov,2,-1,0,nonexistent,no
27,management,married,secondary,no,-691,no,no,unknown,tue,may,5,-1,0,nonexistent,no
52,admin,married,secondary,no,-2446,no,no,unknown,wed,may,3,-1,0,nonexistent,no
33,blue-collar,married,tertiary,no,5707,yes,yes,cellular,thu,apr,4,-1,0,nonexistent,no
51,unemployed,married,secondary,no,-1502,no,no,unknown,wed,nov,4,-1,0,nonexistent,no
74,services,married,secondary,no,2299,yes,yes,unknown,fri,aug,1,-1,0,nonexistent,no
34,self-employed,single,tertiary,no,89,no,yes,unknown,tue,jun,3,-1,0,nonexistent,no
30,technician,married,secondary,no,2531,no,yes,unknown,fri,may,5,-1,0,nonexistent,no
53,technician,married,tertiary,no,3609,yes,no,unknown,thu,feb,2,-1,0,nonexistent,no
42,management,married,secondary,no,-485,yes,no,unknown,mon,jul,2,-1,0,nonexistent,no
50,blue-collar,married,tertiary,no,-124,yes,yes,unknown,wed,nov,4,-1,0,nonexistent,no
24,technician,married,secondary,no,-3000,yes,yes,unknown,fri,may,4,746,3,success,yes
33,management,married,secondary,no,4248,yes,no,cellular,mon,apr,3,-1,0,nonexistent,no
33,self-employed,single,secondary,no,-2385,yes,no,cellular,mon,jun,3,111,6,failure,no
38,blue-collar,single,tertiary,no,1667,no,no,cellular,fri,may,2,-1,0,nonexistent,no
51,blue-collar,single,tertiary,no,-3000,no,no,cellular,wed,nov,3,-1,0,nonexistent,no
43,services,married,tertiary,no,8058,yes,no,unknown,wed,aug,2,278,2,failure,no
61,student,single,secondary,no,3452,no,no,unknown,wed,aug,3,-1,0,nonexistent,no
24,technician,married,secondary,no,7305,no,yes,unknown,tue,may,3,198,2,success,no
30,self-employed,married,secondary,no,1604,no,no,cellular,mon,may,2,-1,0,nonexistent,no
65,services,married,primary,no,981,yes,no,unknown,thu,feb,3,-1,0,nonexistent,no
34,services,divorced,unknown,no,3330,yes,yes,cellular,wed,jul,2,-1,0,nonexistent,no
48,technician,married,secondary,no,333,no,no,cellular,mon,aug,3,-1,0,nonexistent,no
45,technician,divorced,secondary,no,-2785,yes,no,cellular,mon,aug,2,276,6,failure,no
33,admin,married,tertiary,no,4628,yes,yes,cellular,tue,jun,6,-1,0,nonexistent,no
39,services,married,primary,no,3044,yes,no,unknown,wed,oct,3,-1,0,nonexistent,no
33,housemaid,married,tertiary,no,2215,yes,no,unknown,tue,may,6,16,2,success,no
50,entrepreneur,divorced,tertiary,no,1569,no,no,unknown,tue,may,2,-1,0,nonexistent,no
34,services,married,primary,no,1548,yes,no,cellular,fri,may,4,-1,0,nonexistent,no
47,unemployed,single,secondary,no,4257,no,no,cellular,thu,may,5,674,3,success,yes
