Customer_ID,Cluster,Customer_Segment
CUST_0000162,4,High-Value Multi-Product
CUST_0000163,1,Affluent Low-Engagement
CUST_0000164,0,Young Digital Starters
CUST_0000165,2,Everyday Active Transactors
CUST_0000166,0,Young Digital Starters
CUST_0000167,0,Young Digital Starters
CUST_0000168,2,Everyday Active Transactors
CUST_0000169,4,High-Value Multi-Product
CUST_0000170,2,Everyday Active Transactors
CUST_0000171,0,Young Digital Starters
CUST_0000172,0,Young Digital Starters
CUST_0000173,2,Everyday Active Transactors
CUST_0000174,1,Affluent Low-Engagement
CUST_0000175,2,Everyday Active Transactors
CUST_0000176,3,At-Risk Declining Activity
CUST_0000177,4,High-Value Multi-Product
CUST_0000178,3,At-Risk Declining Activity
CUST_0000179,1,Affluent Low-Engagement
CUST_0000180,4,High-Value Multi-Product
CUST_0000181,4,High-Value Multi-Product
CUST_0000182,4,High-Value Multi-Product
CUST_0000183,0,Young Digital Starters
CUST_0000184,4,High-Value Multi-Product
CUST_0000185,1,Affluent Low-Engagement
CUST_0000186,1,Affluent Low-Engagement
CUST_0000187,1,Affluent Low-Engagement
CUST_0000188,2,Everyday Active Transactors
CUST_0000189,2,Everyday Active Transactors
CUST_0000190,2,Everyday Active Transactors
CUST_0000191,0,Young Digital Starters
CUST_0000192,1,Affluent Low-Engagement
CUST_0000193,0,Young Digital Starters
CUST_0000194,1,Affluent Low-Engagement
CUST_0000195,0,Young Digital Starters
CUST_0000196,1,Affluent Low-Engagement
CUST_0000197,2,Everyday Active Transactors
CUST_0000198,4,High-Value Multi-Product
CUST_0000199,0,Young Digital Starters
CUST_0000200,4,High-Value Multi-Product
CUST_0000201,0,Young Digital Starters
CUST_0000202,0,Young Digital Starters
CUST_0000203,2,Everyday Active Transactors
CUST_0000204,0,Young Digital Starters
CUST_0000205,1,Affluent Low-Engagement
CUST_0000206,4,High-Value Multi-Product
CUST_0000207,4,High-Value Multi-Product
CUST_0000208,4,High-Value Multi-Product
CUST_0000209,1,Affluent Low-Engagement
CUST_0000210,2,Everyday Active Transactors
CUST_0000211,2,Everyday Active Transactors
CUST_0000212,1,Affluent Low-Engagement
CUST_0000213,0,Young Digital Starters
CUST_0000214,3,At-Risk Declining Activity
CUST_0000215,2,Everyday Active Transactors
CUST_0000216,4,High-Value Multi-Product
CUST_0000217,3,At-Risk Declining Activity
CUST_0000218,1,Affluent Low-Engagement
CUST_0000219,3,At-Risk Declining Activity
CUST_0000220,4,High-Value Multi-Product
CUST_0000221,2,Everyday Active Transactors
CUST_0000222,0,Young Digital Starters
CUST_0000223,0,Young Digital Starters
CUST_0000224,0,Young Digital Starters
CUST_0000225,1,Affluent Low-Engagement
CUST_0000226,0,Young Digital Starters
CUST_0000227,0,Young Digital Starters
CUST_0000228,4,High-Value Multi-Product
CUST_0000229,4,High-Value Multi-Product
CUST_0000230,2,Everyday Active Transactors
CUST_0000231,3,At-Risk Declining Activity
CUST_0000232,4,High-Value Multi-Product
CUST_0000233,4,High-Value Multi-Product
CUST_0000234,1,Affluent Low-Engagement
CUST_0000235,1,Affluent Low-Engagement
CUST_0000236,0,Young Digital Starters
CUST_0000237,2,Everyday Active Transactors
CUST_0000238,0,Young Digital Starters
CUST_0000239,4,High-Value Multi-Product
CUST_0000240,2,Everyday Active Transactors
CUST_0000241,2,Everyday Active Transactors
CUST_0000242,2,Everyday Active Transactors
CUST_0000243,0,Young Digital Starters
CUST_0000244,1,Affluent Low-Engagement
CUST_0000245,2,Everyday Active Transactors
CUST_0000246,1,Affluent Low-Engagement
CUST_0000247,0,Young Digital Starters
CUST_0000248,4,High-Value Multi-Product
CUST_0000249,2,Everyday Active Transactors
CUST_0000250,2,Everyday Active Transactors
CUST_0000251,0,Young Digital Starters
CUST_0000252,2,Everyday Active Transactors
CUST_0000253,2,Everyday Active Transactors
CUST_0000254,2,Everyday Active Transactors
CUST_0000255,2,Everyday Active Transactors
CUST_0000256,1,Affluent Low-Engagement
CUST_0000257,3,At-Risk Declining Activity
CUST_0000258,0,Young Digital Starters
CUST_0000259,2,Everyday Active Transactors
CUST_0000260,1,Affluent Low-Engagement
CUST_0000261,3,At-Risk Declining Activity
CUST_0000262,1,Affluent Low-Engagement
CUST_0000263,1,Affluent Low-Engagement
CUST_0000264,1,Affluent Low-Engagement
CUST_0000265,1,Affluent Low-Engagement
CUST_0000266,4,High-Value Multi-Product
CUST_0000267,2,Everyday Active Transactors
CUST_0000268,2,Everyday Active Transactors
CUST_0000269,4,High-Value Multi-Product
CUST_0000270,0,Young Digital Starters
CUST_0000271,2,Everyday Active Transactors
CUST_0000272,2,Everyday Active Transactors
CUST_0000273,4,High-Value Multi-Product
CUST_0000274,2,Everyday Active Transactors
CUST_0000275,3,At-Risk Declining Activity
CUST_0000276,1,Affluent Low-Engagement
CUST_0000277,3,At-Risk Declining Activity
CUST_0000278,3,At-Risk Declining Activity
CUST_0000279,4,High-Value Multi-Product
CUST_0000280,0,Young Digital Starters
CUST_0000281,2,Everyday Active Transactors
CUST_0000282,1,Affluent Low-Engagement
CUST_0000283,0,Young Digital Starters
CUST_0000284,3,At-Risk Declining Activity
CUST_0000285,2,Everyday Active Transactors
CUST_0000286,2,Everyday Active Transactors
CUST_0000287,0,Young Digital Starters
CUST_0000288,3,At-Risk Declining Activity
CUST_0000289,4,High-Value Multi-Product
CUST_0000290,1,Affluent Low-Engagement
CUST_0000291,2,Everyday Active Transactors
CUST_0000292,3,At-Risk Declining Activity
CUST_0000293,0,Young Digital Starters
CUST_0000294,3,At-Risk Declining Activity
CUST_0000295,4,High-Value Multi-Product
CUST_0000296,4,High-Value Multi-Product
CUST_0000297,4,High-Value Multi-Product
CUST_0000298,3,At-Risk Declining Activity
CUST_0000299,2,Everyday Active Transactors
CUST_0000300,0,Young Digital Starters
CUST_0000301,2,Everyday Active Transactors
CUST_0000302,3,At-Risk Declining Activity
CUST_0000303,3,At-Risk Declining Activity
CUST_0000304,3,At-Risk Declining Activity
CUST_0000305,2,Everyday Active Transactors
CUST_0000306,2,Everyday Active Transactors
CUST_0000307,2,Everyday Active Transactors
CUST_0000308,1,Affluent Low-Engagement
CUST_0000309,4,High-Value Multi-Product
CUST_0000310,0,Young Digital Starters
CUST_0000311,2,Everyday Active Transactors
CUST_0000312,0,Young Digital Starters
CUST_0000313,3,At-Risk Declining Activity
CUST_0000314,2,Everyday Active Transactors
CUST_0000315,4,High-Value Multi-Product
CUST_0000316,4,High-Value Multi-Product
CUST_0000317,2,Everyday Active Transactors
CUST_0000318,1,Affluent Low-Engagement
CUST_0000319,3,At-Risk Declining Activity
CUST_0000320,4,High-Value Multi-Product
CUST_0000321,1,Affluent Low-Engagement
CUST_0000322,3,At-Risk Declining Activity
CUST_0000323,4,High-Value Multi-Product
CUST_0000324,4,High-Value Multi-Product
CUST_0000325,1,Affluent Low-Engagement
CUST_0000326,1,Affluent Low-Engagement
CUST_0000327,4,High-Value Multi-Product
CUST_0000328,1,Affluent Low-Engagement
CUST_0000329,1,Affluent Low-Engagement
CUST_0000330,0,Young Digital Starters
CUST_0000331,2,Everyday Active Transactors
CUST_0000332,3,At-Risk Declining Activity
CUST_0000333,2,Everyday Active Transactors
CUST_0000334,4,High-Value Multi-Product
CUST_0000335,2,Everyday Active Transactors
CUST_0000336,3,At-Risk Declining Activity
CUST_0000337,1,Affluent Low-Engagement
CUST_0000338,2,Everyday Active Transactors
CUST_0000339,1,Affluent Low-Engagement
CUST_0000340,2,Everyday Active Transactors
CUST_0000341,2,Everyday Active Transactors
CUST_0000342,3,At-Risk Declining Activity
CUST_0000343,2,Everyday Active Transactors
CUST_0000344,1,Affluent Low-Engagement
CUST_0000345,4,High-Value Multi-Product
CUST_0000346,4,High-Value Multi-Product
CUST_0000347,4,High-Value Multi-Product
CUST_0000348,2,Everyday Active Transactors
CUST_0000349,2,Everyday Active Transactors
CUST_0000350,2,Everyday Active Transactors
CUST_0000351,1,Affluent Low-Engagement
CUST_0000352,1,Affluent Low-Engagement
CUST_0000353,0,Young Digital Starters
CUST_0000354,1,Affluent Low-Engagement
CUST_0000355,1,Affluent Low-Engagement
CUST_0000356,4,High-Value Multi-Product
CUST_0000357,0,Young Digital Starters
CUST_0000358,2,Everyday Active Transactors
CUST_0000359,0,Young Digital Starters
CUST_0000360,2,Everyday Active Transactors
CUST_0000361,0,Young Digital Starters
CUST_0000362,2,Everyday Active Transactors
CUST_0000363,0,Young Digital Starters
CUST_0000364,0,Young Digital Starters
CUST_0000365,0,Young Digital Starters
CUST_0000366,2,Everyday Active Transactors
CUST_0000367,0,Young Digital Starters
CUST_0000368,4,High-Value Multi-Product
CUST_0000369,1,Affluent Low-Engagement
CUST_0000370,1,Affluent Low-Engagement
CUST_0000371,1,Affluent Low-Engagement
CUST_0000372,4,High-Value Multi-Product
CUST_0000373,4,High-Value Multi-Product
CUST_0000374,2,Everyday Active Transactors
CUST_0000375,4,High-Value Multi-Product
CUST_0000376,2,Everyday Active Transactors
CUST_0000377,0,Young Digital Starters
CUST_0000378,0,Young Digital Starters
CUST_0000379,4,High-Value Multi-Product
CUST_0000380,1,Affluent Low-Engagement
CUST_0000381,2,Everyday Active Transactors
CUST_0000382,0,Young Digital Starters
CUST_0000383,1,Affluent Low-Engagement
CUST_0000384,2,Everyday Active Transactors
CUST_0000385,2,Everyday Active Transactors
CUST_0000386,4,High-Value Multi-Product
CUST_0000387,3,At-Risk Declining Activity
CUST_0000388,4,High-Value Multi-Product
CUST_0000389,3,At-Risk Declining Activity
CUST_0000390,3,At-Risk Declining Activity
CUST_0000391,4,High-Value Multi-Product
CUST_0000392,3,At-Risk Declining Activity
CUST_0000393,3,At-Risk Declining Activity
CUST_0000394,2,Everyday Active Transactors
CUST_0000395,1,Affluent Low-Engagement
CUST_0000396,3,At-Risk Declining Activity
CUST_0000397,1,Affluent Low-Engagement
CUST_0000398,4,High-Value Multi-Product
CUST_0000399,0,Young Digital Starters
CUST_0000400,2,Everyday Active Transactors
CUST_0000401,4,High-Value Multi-Product
CUST_0000402,1,Affluent Low-Engagement
CUST_0000403,0,Young Digital Starters
CUST_0000404,1,Affluent Low-Engagement
CUST_0000405,4,High-Value Multi-Product
CUST_0000406,0,Young Digital Starters
CUST_0000407,4,High-Value Multi-Product
CUST_0000408,2,Everyday Active Transactors
CUST_0000409,4,High-Value Multi-Product
CUST_0000410,3,At-Risk Declining Activity
CUST_0000411,0,Young Digital Starters
CUST_0000412,4,High-Value Multi-Product
CUST_0000413,2,Everyday Active Transactors
CUST_0000414,2,Everyday Active Transactors
CUST_0000415,3,At-Risk Declining Activity
CUST_0000416,4,High-Value Multi-Product
CUST_0000417,2,Everyday Active Transactors
CUST_0000418,0,Young Digital Starters
CUST_0000419,2,Everyday Active Transactors
CUST_0000420,0,Young Digital Starters
CUST_0000421,3,At-Risk Declining Activity
CUST_0000422,1,Affluent Low-Engagement
CUST_0000423,3,At-Risk Declining Activity
CUST_0000424,1,Affluent Low-Engagement
CUST_0000425,4,High-Value Multi-Product
CUST_0000426,2,Everyday Active Transactors
CUST_0000427,2,Everyday Active Transactors
CUST_0000428,3,At-Risk Declining Activity
CUST_0000429,0,Young Digital Starters
CUST_0000430,3,At-Risk Declining Activity
CUST_0000431,1,Affluent Low-Engagement
CUST_0000432,0,Young Digital Starters
CUST_0000433,0,Young Digital Starters
CUST_0000434,4,High-Value Multi-Product
CUST_0000435,1,Affluent Low-Engagement
CUST_0000436,2,Everyday Active Transactors
CUST_0000437,0,Young Digital Starters
CUST_0000438,0,Young Digital Starters
CUST_0000439,1,Affluent Low-Engagement
CUST_0000440,0,Young Digital Starters
CUST_0000441,2,Everyday Active Transactors
CUST_0000442,2,Everyday Active Transactors
CUST_0000443,4,High-Value Multi-Product
CUST_0000444,2,Everyday Active Transactors
CUST_0000445,2,Everyday Active Transactors
CUST_0000446,3,At-Risk Declining Activity
CUST_0000447,3,At-Risk Declining Activity
CUST_0000448,0,Young Digital Starters
CUST_0000449,4,High-Value Multi-Product
CUST_0000450,2,Everyday Active Transactors
CUST_0000451,0,Young Digital Starters
CUST_0000452,4,High-Value Multi-Product
CUST_0000453,0,Young Digital Starters
CUST_0000454,0,Young Digital Starters
CUST_0000455,2,Everyday Active Transactors
CUST_0000456,0,Young Digital Starters
CUST_0000457,2,Everyday Active Transactors
CUST_0000458,3,At-Risk Declining Activity
CUST_0000459,2,Everyday Active Transactors
CUST_0000460,2,Everyday Active Transactors
CUST_0000461,3,At-Risk Declining Activity
CUST_0000462,0,Young Digital Starters
CUST_0000463,2,Everyday Active Transactors
CUST_0000464,4,High-Value Multi-Product
CUST_0000465,2,Everyday Active Transactors
CUST_0000466,4,High-Value Multi-Product
CUST_0000467,3,At-Risk Declining Activity
CUST_0000468,2,Everyday Active Transactors
CUST_0000469,3,At-Risk Declining Activity
CUST_0000470,1,Affluent Low-Engagement
CUST_0000471,2,Everyday Active Transactors
CUST_0000472,4,High-Value Multi-Product
CUST_0000473,0,Young Digital Starters
CUST_0000474,0,Young Digital Starters
CUST_0000475,0,Young Digital Starters
CUST_0000476,0,Young Digital Starters
CUST_0000477,0,Young Digital Starters
CUST_0000478,2,Everyday Active Transactors
CUST_0000479,2,Everyday Active Transactors
CUST_0000480,2,Everyday Active Transactors
CUST_0000481,2,Everyday Active Transactors
CUST_0000482,2,Everyday Active Transactors
CUST_0000483,4,High-Value Multi-Product
CUST_0000484,2,Everyday Active Transactors
CUST_0000485,2,Everyday Active Transactors
CUST_0000486,2,Everyday Active Transactors
CUST_0000487,0,Young Digital Starters
CUST_0000488,4,High-Value Multi-Product
CUST_0000489,4,High-Value Multi-Product
CUST_0000490,2,Everyday Active Transactors
CUST_0000491,2,Everyday Active Transactors
CUST_0000492,4,High-Value Multi-Product
CUST_0000493,0,Young Digital Starters
CUST_0000494,3,At-Risk Declining Activity
CUST_0000495,1,Affluent Low-Engagement
CUST_0000496,4,High-Value Multi-Product
CUST_0000497,2,Everyday Active Transactors
CUST_0000498,0,Young Digital Starters
CUST_0000499,2,Everyday Active Transactors
CUST_0000500,2,Everyday Active Transactors
CUST_0000501,4,High-Value Multi-Product
CUST_0000502,4,High-Value Multi-Product
CUST_0000503,2,Everyday Active Transactors
CUST_0000504,3,At-Risk Declining Activity
CUST_0000505,2,Everyday Active Transactors
CUST_0000506,2,Everyday Active Transactors
CUST_0000507,0,Young Digital Starters
CUST_0000508,2,Everyday Active Transactors
CUST_0000509,2,Everyday Active Transactors
CUST_0000510,3,At-Risk Declining Activity
CUST_0000511,3,At-Risk Declining Activity
CUST_0000512,1,Affluent Low-Engagement
CUST_0000513,0,Young Digital Starters
CUST_0000514,4,High-Value Multi-Product
CUST_0000515,2,Everyday Active Transactors
CUST_0000516,1,Affluent Low-Engagement
CUST_0000517,3,At-Risk Declining Activity
CUST_0000518,2,Everyday Active Transactors
CUST_0000519,0,Young Digital Starters
CUST_0000520,2,Everyday Active Transactors
CUST_0000521,0,Young Digital Starters
CUST_0000522,2,Everyday Active Transactors
CUST_0000523,2,Everyday Active Transactors
CUST_0000524,0,Young Digital Starters
CUST_0000525,0,Young Digital Starters
CUST_0000526,2,Everyday Active Transactors
CUST_0000527,4,High-Value Multi-Product
CUST_0000528,2,Everyday Active Transactors
CUST_0000529,2,Everyday Active Transactors
CUST_0000530,2,Everyday Active Transactors
CUST_0000531,1,Affluent Low-Engagement
CUST_0000532,2,Everyday Active Transactors
CUST_0000533,3,At-Risk Declining Activity
CUST_0000534,3,At-Risk Declining Activity
CUST_0000535,2,Everyday Active Transactors
CUST_0000536,1,Affluent Low-Engagement
CUST_0000537,2,Everyday Active Transactors
CUST_0000538,3,At-Risk Declining Activity
CUST_0000539,0,Young Digital Starters
CUST_0000540,4,High-Value Multi-Product
CUST_0000541,0,Young Digital Starters
CUST_0000542,0,Young Digital Starters
CUST_0000543,3,At-Risk Declining Activity
CUST_0000544,3,At-Risk Declining Activity
CUST_0000545,2,Everyday Active Transactors
CUST_0000546,2,Everyday Active Transactors
CUST_0000547,2,Everyday Active Transactors
CUST_0000548,0,Young Digital Starters
CUST_0000549,1,Affluent Low-Engagement
CUST_0000550,2,Everyday Active Transactors
CUST_0000551,0,Young Digital Starters
CUST_0000552,1,Affluent Low-Engagement
CUST_0000553,1,Affluent Low-Engagement
CUST_0000554,1,Affluent Low-Engagement
CUST_0000555,2,Everyday Active Transactors
CUST_0000556,4,High-Value Multi-Product
CUST_0000557,1,Affluent Low-Engagement
CUST_0000558,2,Everyday Active Transactors
CUST_0000559,1,Affluent Low-Engagement
CUST_0000560,2,Everyday Active Transactors
CUST_0000561,1,Affluent Low-Engagement
CUST_0000562,2,Everyday Active Transactors
CUST_0000563,1,Affluent Low-Engagement
CUST_0000564,2,Everyday Active Transactors
CUST_0000565,3,At-Risk Declining Activity
CUST_0000566,2,Everyday Active Transactors
CUST_0000567,0,Young Digital Starters
CUST_0000568,2,Everyday Active Transactors
CUST_0000569,2,Everyday Active Transactors
CUST_0000570,4,High-Value Multi-Product
CUST_0000571,1,Affluent Low-Engagement
CUST_0000572,4,High-Value Multi-Product
CUST_0000573,4,High-Value Multi-Product
CUST_0000574,0,Young Digital Starters
CUST_0000575,1,Affluent Low-Engagement
CUST_0000576,0,Young Digital Starters
CUST_0000577,0,Young Digital Starters
CUST_0000578,3,At-Risk Declining Activity
CUST_0000579,2,Everyday Active Transactors
CUST_0000580,4,High-Value Multi-Product
CUST_0000581,4,High-Value Multi-Product
CUST_0000582,1,Affluent Low-Engagement
CUST_0000583,2,Everyday Active Transactors
CUST_0000584,1,Affluent Low-Engagement
CUST_0000585,4,High-Value Multi-Product
CUST_0000586,4,High-Value Multi-Product
CUST_0000587,4,High-Value Multi-Product
CUST_0000588,0,Young Digital Starters
CUST_0000589,0,Young Digital Starters
CUST_0000590,0,Young Digital Starters
CUST_0000591,0,Young Digital Starters
CUST_0000592,4,High-Value Multi-Product
CUST_0000593,0,Young Digital Starters
CUST_0000594,2,Everyday Active Transactors
CUST_0000595,0,Young Digital Starters
CUST_0000596,1,Affluent Low-Engagement
CUST_0000597,0,Young Digital Starters
CUST_0000598,3,At-Risk Declining Activity
CUST_0000599,2,Everyday Active Transactors
CUST_0000600,4,High-Value Multi-Product
CUST_0000601,3,At-Risk Declining Activity
CUST_0000602,2,Everyday Active Transactors
CUST_0000603,1,Affluent Low-Engagement
CUST_0000604,1,Affluent Low-Engagement
CUST_0000605,2,Everyday Active Transactors
CUST_0000606,2,Everyday Active Transactors
CUST_0000607,2,Everyday Active Transactors
CUST_0000608,4,High-Value Multi-Product
CUST_0000609,2,Everyday Active Transactors
CUST_0000610,4,High-Value Multi-Product
CUST_0000611,3,At-Risk Declining Activity
CUST_0000612,4,High-Value Multi-Product
CUST_0000613,2,Everyday Active Transactors
CUST_0000614,1,Affluent Low-Engagement
CUST_0000615,3,At-Risk Declining Activity
CUST_0000616,2,Everyday Active Transactors
CUST_0000617,1,Affluent Low-Engagement
CUST_0000618,3,At-Risk Declining Activity
CUST_0000619,3,At-Risk Declining Activity
CUST_0000620,2,Everyday Active Transactors
CUST_0000621,2,Everyday Active Transactors
CUST_0000622,4,High-Value Multi-Product
CUST_0000623,2,Everyday Active Transactors
CUST_0000624,3,At-Risk Declining Activity
CUST_0000625,1,Affluent Low-Engagement
CUST_0000626,4,High-Value Multi-Product
CUST_0000627,1,Affluent Low-Engagement
CUST_0000628,0,Young Digital Starters
CUST_0000629,1,Affluent Low-Engagement
CUST_0000630,0,Young Digital Starters
CUST_0000631,4,High-Value Multi-Product
CUST_0000632,1,Affluent Low-Engagement
CUST_0000633,2,Everyday Active Transactors
CUST_0000634,3,At-Risk Declining Activity
CUST_0000635,0,Young Digital Starters
CUST_0000636,2,Everyday Active Transactors
CUST_0000637,0,Young Digital Starters
CUST_0000638,2,Everyday Active Transactors
CUST_0000639,4,High-Value Multi-Product
CUST_0000640,2,Everyday Active Transactors
CUST_0000641,3,At-Risk Declining Activity
CUST_0000642,0,Young Digital Starters
CUST_0000643,3,At-Risk Declining Activity
CUST_0000644,2,Everyday Active Transactors
CUST_0000645,3,At-Risk Declining Activity
CUST_0000646,3,At-Risk Declining Activity
CUST_0000647,2,Everyday Active Transactors
CUST_0000648,1,Affluent Low-Engagement
CUST_0000649,4,High-Value Multi-Product
CUST_0000650,3,At-Risk Declining Activity
CUST_0000651,2,Everyday Active Transactors
CUST_0000652,3,At-Risk Declining Activity
CUST_0000653,2,Everyday Active Transactors
CUST_0000654,2,Everyday Active Transactors
CUST_0000655,4,High-Value Multi-Product
CUST_0000656,2,Everyday Active Transactors
CUST_0000657,2,Everyday Active Transactors
CUST_0000658,2,Everyday Active Transactors
CUST_0000659,1,Affluent Low-Engagement
CUST_0000660,2,Everyday Active Transactors
CUST_0000661,2,Everyday Active Transactors
CUST_0000662,1,Affluent Low-Engagement
CUST_0000663,1,Affluent Low-Engagement
CUST_0000664,2,Everyday Active Transactors
CUST_0000665,2,Everyday Active Transactors
CUST_0000666,3,At-Risk Declining Activity
CUST_0000667,4,High-Value Multi-Product
