Claim_ID,Policy_Tenure_Months,Premium_Amount,Claim_Amount,Num_Prior_Claims,Claim_Response_Days,Customer_Age,Fraud
900182,70.3,1391.02,7571.09,0,9.0,20,0
900183,55.4,712.22,5865.94,0,9.8,64,0
900184,26.4,301.38,7619.55,1,15.2,64,1
900185,59.8,1867.17,4392.44,1,25.9,72,0
900186,10.9,1308.79,7480.7,1,7.5,19,0
900187,8.6,692.9,4484.04,1,8.4,31,0
900188,35.0,1005.66,3969.51,0,9.9,79,0
900189,77.7,1474.34,5658.7,2,2.9,64,0
900190,45.8,1015.35,3972.37,0,1.8,76,0
900191,13.3,1415.41,8517.41,1,27.9,21,0
900192,55.4,315.52,1699.89,1,15.9,48,0
900193,31.9,1161.97,4708.3,0,25.0,66,0
900194,10.7,1176.82,6182.51,0,6.8,48,0
900195,29.0,716.52,7475.79,0,43.7,33,0
900196,60.2,1664.57,1074.99,0,1.7,74,0
900197,5.7,1614.96,4093.89,1,20.4,41,0
900198,32.2,973.01,3010.11,1,7.5,52,0
900199,1.2,716.19,4118.71,0,1.5,53,1
900200,41.4,713.82,6639.34,0,43.4,35,0
900201,204.5,1737.58,4159.08,0,5.5,40,0
900202,10.9,986.95,1272.62,2,24.7,74,0
900203,30.1,766.8,3523.5,0,0.2,45,0
900204,22.6,531.46,4270.96,0,13.7,51,0
900205,17.4,1960.7,3045.66,0,15.9,34,0
900206,25.2,1850.3,6718.25,0,10.6,23,0
900207,30.8,1114.54,1257.5,0,0.1,56,0
900208,125.2,1248.74,2043.23,0,10.6,22,0
900209,36.8,1688.34,1660.17,0,31.0,45,0
900210,28.8,1397.34,100.0,1,4.0,62,0
900211,76.2,627.96,2082.48,0,4.3,43,0
900212,83.5,1278.85,766.96,0,13.2,45,0
900213,41.7,929.12,100.0,0,17.2,59,0
900214,13.1,1343.49,2657.85,0,4.1,54,0
900215,41.1,1279.37,3729.53,0,1.2,24,0
900216,8.6,1073.73,5388.22,0,1.2,34,0
900217,36.2,748.4,827.94,0,7.4,50,0
900218,1.0,1598.64,4713.64,3,0.4,74,1
900219,26.8,1394.68,1785.67,2,37.9,33,0
900220,8.1,735.89,4766.5,2,10.0,51,0
900221,5.4,1273.98,4316.31,0,8.5,23,0
900222,87.5,952.51,4262.81,0,14.9,24,0
900223,49.0,1195.95,3282.08,1,5.0,40,0
900224,4.8,1064.14,1402.62,0,4.7,53,0
900225,55.9,1365.53,2102.63,1,5.1,69,0
900226,4.4,1488.9,4398.92,0,1.1,75,0
900227,12.8,826.46,1645.9,1,14.5,77,0
900228,152.0,1192.74,3821.6,1,14.5,52,0
900229,22.2,1119.9,5774.71,0,15.4,76,0
900230,29.0,1012.38,4973.29,1,0.7,64,0
900231,1.0,1089.74,100.0,0,14.2,19,0
900232,2.8,980.66,2522.19,1,4.6,33,0
900233,3.4,1780.56,3455.58,2,12.3,41,0
900234,43.8,996.19,7343.83,0,25.3,44,0
900235,13.0,1288.15,4559.04,0,8.7,25,0
900236,31.1,1204.96,1994.94,0,33.7,43,0
900237,28.4,1454.38,3040.27,2,41.9,78,0
900238,64.0,1189.01,8970.09,0,6.8,18,0
900239,23.0,830.31,8712.13,1,11.0,53,1
900240,53.7,965.23,3972.27,0,8.8,54,0
900241,16.1,932.86,5262.06,0,25.4,66,0
900242,140.7,1419.1,3187.1,0,12.2,23,0
900243,159.6,1116.02,5204.88,0,2.8,66,0
900244,12.9,1304.83,2878.04,0,28.4,64,0
900245,18.4,1223.5,3391.12,1,3.0,41,0
900246,28.0,885.89,2278.17,2,25.9,78,0
900247,22.0,2119.93,1970.78,0,7.9,44,0
900248,14.2,1419.17,6272.84,1,1.2,39,0
900249,58.1,1582.61,3906.98,1,5.1,60,0
900250,20.1,978.34,100.0,0,4.3,61,0
900251,55.2,1381.16,9066.63,1,11.0,43,0
900252,59.8,1168.03,4130.64,0,4.8,63,0
900253,10.2,428.85,3213.01,0,20.2,59,0
900254,75.6,1368.52,5146.12,1,1.8,39,0
900255,79.6,886.17,3787.92,0,29.4,24,0
900256,14.5,961.14,4977.62,0,4.9,79,0
900257,21.3,1831.1,2679.15,0,8.1,40,0
900258,43.1,1272.13,5267.9,1,10.1,56,0
900259,55.7,1123.16,400.02,1,12.1,29,0
900260,57.1,1184.03,3580.24,1,23.8,31,0
900261,1.0,1052.0,2192.93,0,4.7,30,0
900262,18.5,968.66,9563.32,1,32.7,50,0
900263,29.7,1441.57,3063.76,1,33.9,57,0
900264,6.9,1398.13,2189.56,0,4.1,31,0
900265,12.9,1399.98,3490.7,1,5.2,73,0
900266,16.1,300.0,4405.83,2,0.9,33,0
900267,11.8,1122.63,4233.69,0,23.4,30,0
900268,13.3,1481.0,4130.08,1,13.0,69,0
900269,11.3,300.0,6705.23,0,0.7,41,1
900270,23.1,1542.76,1806.02,0,0.7,52,0
900271,61.2,1285.87,2791.23,0,23.9,44,0
900272,16.9,1150.04,809.64,0,6.9,50,0
900273,68.0,1325.5,2120.81,1,4.3,72,0
900274,79.5,1141.45,7150.34,0,0.1,51,0
900275,28.3,1678.19,2667.53,1,0.9,75,0
900276,6.6,1264.58,4455.46,2,4.2,68,0
900277,55.6,1660.97,5767.72,0,0.9,30,1
900278,6.5,1234.32,3249.85,0,5.2,55,0
900279,55.2,300.0,3193.25,0,19.7,73,1
900280,5.7,963.87,8466.81,1,7.1,75,0
900281,1.0,1141.14,8381.84,1,25.0,45,0
900282,40.9,766.58,2197.18,0,9.4,53,0
900283,222.2,839.85,1948.1,0,3.8,43,0
900284,81.6,484.43,4766.36,0,11.4,49,1
900285,56.0,1691.67,4912.4,0,14.7,61,0
900286,49.1,1560.45,6331.45,2,12.3,30,0
900287,15.7,1456.98,5565.18,1,13.3,35,0
900288,54.9,694.0,1101.5,0,0.5,56,0
900289,91.9,651.06,100.0,1,2.5,58,0
900290,99.0,515.54,6927.56,3,23.5,33,1
900291,105.6,2183.95,6789.47,0,22.8,63,0
900292,50.1,1677.69,2955.31,2,6.7,52,0
900293,54.7,1780.32,328.84,3,5.6,56,0
900294,14.9,1034.1,2044.22,1,11.5,55,0
900295,1.1,1560.0,5562.02,1,3.9,24,0
900296,1.0,1164.04,4412.36,0,0.6,33,0
900297,16.6,875.43,3296.21,0,2.2,20,0
900298,1.0,710.13,1018.53,0,1.9,28,0
900299,67.1,906.16,100.0,0,2.6,65,0
900300,13.5,1316.25,100.0,1,0.7,28,0
900301,43.5,1747.16,1044.01,1,4.0,55,0
900302,4.1,772.01,4139.08,0,14.3,50,0
900303,72.4,1090.9,3455.36,0,3.1,61,0
900304,1.0,1065.88,1893.12,2,1.0,43,0
900305,42.9,463.22,2137.63,2,4.2,29,0
900306,33.1,1405.37,100.0,1,2.1,40,0
900307,15.6,1978.42,3168.85,0,8.5,28,0
900308,45.3,622.69,2618.35,1,2.1,35,0
900309,21.6,711.81,3135.11,0,0.8,60,0
900310,62.3,1483.85,5093.43,0,2.7,29,0
900311,71.4,300.0,2986.23,1,26.1,30,0
900312,11.8,1084.61,6174.09,0,17.9,21,0
900313,58.7,1093.61,454.23,2,13.8,41,0
900314,41.7,1279.36,171.59,0,0.9,64,0
900315,9.4,666.88,598.9,0,1.0,76,0
900316,52.2,1435.29,7620.22,1,29.2,48,0
900317,53.2,1488.27,1256.78,1,0.7,56,0
900318,83.4,1398.69,3535.5,0,13.5,75,0
900319,27.6,871.04,1565.18,2,2.3,24,0
900320,20.9,670.51,9967.93,0,6.9,19,1
900321,30.3,1052.16,3397.17,0,8.0,76,0
900322,5.7,1394.72,100.0,0,15.0,27,0
900323,34.5,573.53,7524.37,1,12.5,69,1
900324,32.5,1436.83,9538.22,1,5.4,37,0
900325,2.9,1300.05,3344.73,0,21.3,44,0
900326,15.3,1612.64,6563.51,0,11.0,45,0
900327,13.0,1070.28,5717.12,0,10.6,24,0
900328,64.5,339.23,3054.26,1,2.9,58,0
900329,1.0,796.62,462.61,0,3.1,29,0
900330,24.3,300.0,2758.05,0,3.5,28,0
900331,59.3,1380.44,7067.72,1,7.8,24,0
900332,24.4,1116.71,7668.79,0,2.5,76,0
900333,18.7,1614.01,3069.49,1,8.4,21,0
900334,2.3,1497.03,2681.55,3,5.9,50,0
900335,103.3,596.29,3943.94,1,14.6,45,0
900336,27.2,798.61,4359.39,0,1.0,26,0
900337,60.8,1487.33,3850.55,2,3.3,65,0
900338,10.6,543.38,1113.85,0,0.0,33,0
900339,24.7,1042.96,3817.09,0,6.7,42,0
900340,21.1,672.52,5460.68,0,4.6,61,1
900341,12.8,1273.25,3881.88,2,3.0,51,0
900342,37.2,912.57,100.0,1,2.9,26,0
900343,156.1,1336.95,2399.66,1,14.9,37,0
900344,55.9,1512.63,3659.81,2,6.7,59,0
900345,3.0,1117.8,3857.7,2,2.6,78,0
900346,58.4,1172.75,100.0,0,2.9,18,0
900347,64.9,981.42,4054.25,0,19.8,55,0
900348,14.6,1095.14,4126.36,0,37.5,55,0
900349,6.9,1170.5,100.0,1,7.7,37,0
900350,4.9,1262.16,772.92,0,1.4,71,0
900351,62.0,903.12,6158.51,0,15.8,48,0
900352,15.4,725.34,7350.09,0,2.7,75,0
900353,38.0,1649.28,3889.6,0,12.6,70,0
900354,9.9,1714.85,6608.03,0,3.1,28,0
900355,11.7,806.7,1101.5,2,9.4,61,0
900356,105.4,670.62,4090.4,1,6.5,38,0
900357,1.1,1348.89,1083.18,0,1.3,74,0
900358,126.4,1014.75,5091.4,0,25.7,25,0
900359,29.7,1554.72,6092.94,1,40.4,22,0
900360,111.4,1073.36,3637.61,0,4.4,22,0
900361,1.0,590.8,2522.38,3,11.6,57,0
900362,50.4,954.84,100.0,0,0.9,33,0
900363,6.0,908.01,1267.03,2,20.4,64,0
900364,13.6,1186.11,2478.79,0,0.2,49,0
900365,108.3,1312.92,1303.59,0,4.8,60,0
900366,35.1,1043.66,6091.7,4,2.0,22,0
900367,19.4,556.41,5390.05,1,0.4,35,0
900368,53.4,872.12,5166.37,1,26.3,67,0
900369,99.5,1066.83,100.0,0,4.7,57,0
900370,45.1,1587.68,2492.89,0,7.9,22,0
900371,67.0,1060.5,2001.28,0,5.1,41,0
900372,16.9,1404.41,3858.83,3,23.2,39,0
900373,1.0,1189.58,4615.62,0,2.8,40,0
900374,46.8,1662.47,6303.11,1,2.1,25,0
900375,8.6,952.87,4695.68,0,9.3,40,0
900376,15.9,300.0,5228.92,1,5.1,31,1
900377,5.4,1969.89,1798.71,0,0.1,78,0
900378,58.4,2133.19,10184.69,0,21.8,66,0
900379,49.7,1419.98,5553.0,0,2.0,56,0
900380,32.6,996.47,6247.93,0,1.0,73,0
900381,18.6,1279.55,4442.19,0,8.8,57,0
900382,4.1,1071.48,4244.52,0,0.3,29,0
900383,91.7,716.48,3340.31,1,5.6,74,0
900384,57.8,1369.54,4023.19,0,0.2,21,0
900385,12.3,1486.07,3457.35,0,1.2,54,0
900386,13.8,1822.12,3697.61,1,15.1,19,0
900387,10.8,300.0,100.0,0,8.7,76,0
900388,31.6,874.27,2519.23,0,7.1,21,0
900389,29.3,884.96,6198.23,0,28.0,74,0
900390,55.8,720.34,5895.09,1,10.3,79,1
900391,57.5,1369.44,4288.08,0,8.1,63,0
900392,42.1,1190.19,100.0,0,6.5,79,0
900393,46.7,1052.37,3284.6,1,0.6,36,0
900394,1.2,1542.84,5885.73,0,3.1,47,0
900395,28.4,1926.82,2066.98,1,10.0,32,0
900396,20.5,1125.27,5682.64,2,3.1,77,0
900397,1.3,1012.89,2740.03,0,8.5,65,0
900398,76.8,598.08,7405.19,0,45.3,71,1
900399,48.1,860.69,660.31,0,4.1,56,0
900400,5.0,1122.37,5727.98,0,4.6,50,1
900401,23.3,1248.51,6848.11,0,0.6,39,0
900402,14.9,965.42,1730.1,0,15.3,70,0
900403,31.3,1006.63,6481.55,0,1.8,74,0
900404,14.2,1227.5,5496.52,1,4.1,71,0
900405,11.4,453.64,4929.34,0,14.9,68,0
900406,11.2,1720.12,2613.85,0,18.6,57,0
900407,65.5,622.42,1647.05,2,1.3,76,0
900408,35.2,1678.14,4636.77,1,3.8,60,0
900409,17.2,908.25,2921.86,2,12.8,25,0
900410,10.1,956.02,5185.4,0,8.5,49,0
900411,43.8,1471.48,465.3,0,3.9,22,0
900412,13.6,1283.0,598.06,0,14.5,61,0
900413,111.3,713.96,8328.98,1,2.3,54,1
900414,13.7,580.0,3189.69,0,2.9,29,0
900415,48.3,1438.57,1273.73,1,7.8,43,0
900416,79.1,1696.21,5644.69,0,6.6,27,0
900417,58.0,1154.87,3880.95,1,0.5,42,0
900418,3.1,1493.09,100.0,0,8.3,37,0
900419,35.9,1466.03,2533.96,0,0.2,72,0
900420,29.1,1464.45,3948.68,0,9.2,60,0
900421,15.3,1333.89,1046.14,2,7.4,60,0
900422,13.2,1236.65,5723.88,2,36.4,46,0
900423,25.6,1633.98,1800.01,0,5.3,59,0
900424,30.1,1057.85,4622.07,1,25.1,56,0
900425,41.1,1251.94,1474.64,1,5.5,44,0
900426,48.7,1578.9,5103.7,0,0.5,30,0
900427,70.5,1717.54,6383.67,0,9.0,77,0
900428,48.4,1286.24,7192.77,0,7.5,55,0
900429,6.7,1640.51,100.0,1,7.6,45,0
900430,2.9,1675.53,6243.91,1,3.4,30,0
900431,23.3,1614.02,100.0,0,10.3,34,0
900432,4.8,855.35,2835.63,0,5.6,53,0
900433,39.8,1157.94,4391.04,1,23.5,30,0
900434,81.8,1306.5,2404.4,1,1.6,48,0
900435,35.9,1835.09,7372.5,0,5.3,60,0
900436,4.6,1024.26,5657.54,1,17.3,20,0
900437,57.4,971.01,2799.87,0,0.3,22,0
900438,64.4,766.86,4354.39,1,2.3,54,0
900439,10.0,938.5,1112.29,0,25.6,36,0
900440,25.5,1077.32,3402.07,1,13.0,75,0
900441,37.6,1807.29,3774.09,0,14.2,25,0
900442,1.3,1107.43,4455.97,1,13.3,71,0
900443,49.8,300.0,10771.23,2,2.7,65,1
900444,12.1,1621.35,100.0,0,35.6,44,0
900445,4.3,860.0,5701.86,0,3.5,64,1
900446,14.5,1087.8,100.0,1,10.6,74,0
900447,14.5,1325.37,5022.08,1,24.7,34,0
900448,123.7,1365.18,1334.0,1,26.4,69,0
900449,1.0,1858.12,6911.39,1,2.7,29,0
900450,63.5,563.64,2736.06,0,9.2,53,0
900451,1.0,1909.7,5218.32,0,15.1,20,0
900452,20.6,1514.81,1951.83,0,15.6,61,0
900453,1.0,1112.66,5622.38,1,1.9,37,1
900454,65.2,1538.74,2620.84,1,4.4,23,0
900455,53.7,1796.53,100.0,0,21.9,64,0
900456,44.2,1117.92,3136.42,1,39.5,60,0
900457,48.1,336.25,2955.46,1,2.4,36,0
900458,1.5,1777.45,5507.09,0,14.8,31,0
900459,40.2,1591.15,4999.99,1,7.7,28,1
900460,81.9,1252.18,2838.03,0,10.9,70,0
900461,12.6,1399.52,8524.76,0,6.7,79,0
900462,25.9,588.1,100.0,1,4.8,78,0
900463,30.1,1297.41,6147.97,1,35.2,76,0
900464,9.3,355.13,2324.24,0,7.9,25,0
900465,127.7,1213.74,2224.6,1,14.6,77,0
900466,94.9,949.35,1868.86,0,13.4,66,0
900467,26.9,1315.68,3552.88,0,0.3,64,0
900468,67.7,371.74,4387.79,0,4.0,78,1
900469,240.0,1484.57,100.0,0,4.6,64,0
900470,50.4,745.72,2048.86,1,5.2,36,0
900471,6.5,849.05,4379.83,0,0.4,24,0
900472,12.1,976.17,100.0,0,1.8,72,0
900473,37.0,1082.11,1852.18,0,1.3,66,0
900474,56.4,744.05,1175.44,1,15.7,27,0
900475,32.2,741.62,4944.94,2,0.0,21,0
900476,27.4,1707.3,2064.85,1,10.6,30,0
900477,48.6,1079.14,6307.86,1,4.6,66,0
900478,27.3,902.12,100.0,1,2.2,22,0
900479,13.1,1490.83,1401.26,3,12.0,71,0
900480,12.7,332.22,3790.24,0,0.8,39,1
900481,119.5,1418.7,5507.72,0,3.6,67,0
900482,12.6,1047.55,4892.35,2,1.7,49,0
900483,7.7,1278.72,6021.51,1,7.5,29,0
900484,47.9,1587.84,3848.44,0,5.0,54,0
900485,1.2,1558.97,6676.88,1,2.0,30,1
900486,30.8,1184.91,2804.76,0,32.3,36,0
900487,19.5,1844.93,3884.56,1,11.8,65,0
900488,12.2,590.46,6363.48,1,3.4,66,0
900489,41.1,1134.13,3773.67,0,11.4,18,0
900490,58.1,1153.41,933.46,0,1.4,78,0
900491,38.4,1526.7,5310.34,2,3.2,40,0
900492,15.1,1423.5,893.71,0,15.3,56,0
900493,33.6,1289.55,7695.88,1,9.1,72,0
900494,49.9,1254.7,3928.36,0,9.9,23,0
900495,4.3,971.99,1217.79,1,0.7,37,0
900496,27.6,1140.27,4295.25,2,6.3,68,0
900497,12.7,1155.54,3673.66,1,10.3,50,0
900498,1.0,1302.98,4305.21,2,6.8,78,0
900499,20.8,1773.66,963.1,2,5.9,31,0
900500,25.3,1528.58,4994.02,0,0.9,65,0
900501,8.7,462.16,3512.59,1,3.6,45,0
900502,32.4,846.4,6439.74,3,3.5,69,0
900503,55.8,1114.61,2651.93,0,13.9,47,0
900504,15.0,660.66,100.0,2,27.2,20,0
900505,50.1,931.08,2912.59,1,11.8,74,0
900506,29.8,823.12,1588.99,0,0.7,28,0
900507,29.5,1133.82,8393.26,0,0.4,27,0
900508,38.1,1228.13,5558.27,0,0.8,58,0
900509,39.1,2519.7,100.0,1,7.1,63,0
900510,12.8,722.22,5699.54,0,4.4,47,0
900511,43.1,1390.26,100.0,1,16.4,45,0
900512,45.2,572.69,4141.87,1,21.0,72,0
900513,24.8,642.76,8711.3,1,57.6,26,1
900514,13.5,1575.28,873.82,1,18.3,29,0
900515,73.7,543.82,7364.8,0,0.4,18,1
900516,24.0,1654.64,5328.92,1,17.2,67,0
900517,111.2,1151.46,3645.35,3,1.8,23,0
900518,59.3,311.1,7055.62,0,0.7,40,1
900519,29.3,767.69,6190.13,0,1.4,25,0
900520,17.0,530.74,1180.25,0,17.0,40,0
900521,36.6,1406.51,5476.06,0,0.3,44,0
900522,4.8,1328.93,4241.83,0,11.0,71,0
