Customer_ID,Age,Gender,Marital_Status,Employment_Type,Occupation_Category,Annual_Income,Education_Level,Residential_Status,Years_At_Address,Region,Customer_Since_Days,Credit_Bureau_Score,Delinquency_Count_24m,Bankruptcy_Flag,Num_Credit_Inquiries_6m,Total_Debt,Debt_To_Income_Bureau,Oldest_Credit_Line_Years,Num_Bureau_Tradelines,Secondary_Phone,Alt_Email_Domain,LinkedIn_Verified,Referral_Code,Social_Media_Score,Preferred_Language,Secondary_Address_City,Emergency_Contact_Provided,Marketing_Opt_In_Channel,Employer_Verified_Source
800011,20,Male,Married,Unemployed,Skilled Trade,5854.6,Bachelors,Mortgage,6.2,West,883,683.0,0.0,0.0,3.0,8314.17,1.42,1.5,3.0,,,,REF557115,,,,,,
800012,45,Male,Widowed,Salaried,Professional,85538.36,Bachelors,Mortgage,1.8,South,575,684.0,1.0,0.0,0.0,8909.78,0.104,1.0,4.0,,,,,,,City_D,,,
800013,54,Female,Single,Self-Employed,Service,,Masters,Mortgage,0.4,South,1211,772.0,0.0,0.0,3.0,8678.6,,0.3,5.0,,,,,,,,0,SMS,
800014,35,Female,Married,Retired,Management,18287.89,High School,Own,0.4,Midwest,883,,,,,,,,,,,,,,,,,,
800015,25,Male,Married,Salaried,Skilled Trade,44238.23,High School,Own,1.1,South,589,662.0,0.0,1.0,0.0,14339.85,0.324,1.9,6.0,,,,REF707494,,,,,,
800016,40,Female,Single,Retired,Professional,19279.69,Bachelors,Mortgage,2.0,South,149,691.0,0.0,0.0,0.0,8062.93,0.418,10.6,5.0,,,,,,,,0,,
800017,66,Male,Single,Self-Employed,Professional,56165.11,High School,Own,6.4,Northeast,2023,,,,,,,,,,outlook,,,,English,,1,,
800018,44,Female,Married,Retired,Skilled Trade,22787.13,Bachelors,Rent,5.0,South,1668,,,,,,,,,,,,,3.9,,,,,
800019,47,Male,Single,Salaried,Service,70114.7,Bachelors,Own,3.2,South,1563,,,,,,,,,,,,,41.2,,,,,
800020,41,Female,Married,Salaried,Other,32184.77,Bachelors,Rent,3.3,Northeast,2067,674.0,0.0,0.0,0.0,6802.05,0.211,2.5,3.0,,outlook,,,,,,,,
800021,37,Other,Single,Salaried,Professional,75394.94,Bachelors,Rent,5.4,Midwest,3308,665.0,0.0,0.0,2.0,14472.79,0.192,8.2,3.0,XXX-XXX-8028,yahoo,,,,,City_D,,SMS,
800022,56,Male,Married,Salaried,Professional,48786.97,High School,Own,1.7,Northeast,6817,,,,,,,,,,,,,,,,,,
800023,42,Female,Married,Salaried,Professional,183915.15,Bachelors,Mortgage,1.9,South,214,736.0,1.0,0.0,0.0,15102.47,0.082,1.7,6.0,,,,REF336277,,,,,,
800024,46,Male,Married,Unemployed,Service,7517.43,Masters,Mortgage,5.2,West,801,,,,,,,,,XXX-XXX-7732,,,,,,,,,
800025,60,Male,Single,Retired,Sales,17500.5,Bachelors,Mortgage,4.9,South,5863,815.0,1.0,0.0,0.0,8400.49,0.48,22.3,5.0,,,,,,,City_C,,SMS,
800026,51,Male,Widowed,Retired,Professional,23034.66,Bachelors,Mortgage,5.8,South,371,752.0,1.0,0.0,0.0,91572.73,3.975,6.1,4.0,,,,REF801209,,English,,,,
800027,40,Male,Married,Salaried,Service,48170.48,High School,Mortgage,2.6,Midwest,1063,,,,,,,,,,,,,,,,,,
800028,27,Male,Single,Salaried,Skilled Trade,,Bachelors,Mortgage,16.5,West,69,,,,,,,,,,yahoo,,,,,,,,
800029,51,Male,Married,Salaried,Professional,88325.61,High School,Mortgage,2.3,South,12,739.0,1.0,0.0,1.0,25481.6,0.288,9.0,5.0,XXX-XXX-9281,,,,,English,,,,
800030,46,Female,Married,Salaried,Service,73211.86,Doctorate,Rent,1.4,Northeast,291,575.0,0.0,0.0,3.0,8655.78,0.118,0.2,2.0,,,,,27.8,English,,,,Payroll
800031,34,Male,Single,Salaried,Management,43833.5,High School,Mortgage,0.4,South,616,609.0,0.0,0.0,0.0,7869.92,0.18,7.5,3.0,,,,REF629300,,English,City_B,,,
800032,32,Female,Married,Salaried,Service,119613.1,Bachelors,Rent,2.4,West,156,,,,,,,,,,,,REF732514,,,,,SMS,
800033,59,Female,Single,Student,Professional,3021.64,High School,Mortgage,8.1,Midwest,17,711.0,1.0,0.0,0.0,8500.83,2.813,3.0,7.0,,,,REF784133,,,,,,
800034,68,Male,Single,Salaried,Professional,,High School,Own,1.3,West,411,,,,,,,,,,,,,,Spanish,,,,
800035,54,Male,Married,Salaried,Management,32859.03,High School,Mortgage,0.0,West,895,692.0,0.0,0.0,0.0,27298.57,0.831,1.1,8.0,,gmail,,,,,,,,
800036,50,Male,Married,Salaried,Sales,53577.51,Bachelors,Mortgage,3.1,Northeast,238,679.0,1.0,0.0,0.0,9088.9,0.17,10.1,4.0,,,,,,Other,,,,
800037,43,Male,Married,Self-Employed,Skilled Trade,21376.29,High School,Mortgage,2.9,South,11,796.0,0.0,0.0,1.0,28172.01,1.318,19.3,4.0,,gmail,,,,,,1,,Payroll
800038,48,Female,Divorced,Student,Skilled Trade,1589.97,High School,Rent,1.3,South,4307,,,,,,,,,XXX-XXX-8142,,,,,,,,,
800039,52,Male,Single,Salaried,Service,35339.3,Doctorate,Mortgage,1.7,West,1380,734.0,0.0,0.0,1.0,8827.41,0.25,1.6,4.0,,,,REF384401,,,,,,SelfReported
800040,33,Male,Married,Self-Employed,Other,33250.81,Masters,Rent,0.8,Midwest,3099,703.0,0.0,0.0,0.0,8041.43,0.242,13.8,3.0,,,,REF630620,,,,,None,
800041,25,Female,Single,Student,Professional,3841.5,Masters,Own,1.5,West,22,,,,,,,,,XXX-XXX-7223,,,,,English,,,,
800042,42,Female,Single,Salaried,Other,81896.78,Bachelors,Rent,0.4,Northeast,601,,,,,,,,,,,,REF804425,,,City_A,,,
800043,48,Male,Single,Salaried,Management,39285.6,Bachelors,Living with Family,3.1,Northeast,1895,698.0,1.0,0.0,1.0,6480.68,0.165,6.4,5.0,XXX-XXX-6209,,,,,English,,,,
800044,54,Female,Single,Retired,Other,,Bachelors,Own,0.4,South,436,,,,,,,,,,,,,,,,,,
800045,46,Male,Divorced,Retired,Skilled Trade,,Bachelors,Mortgage,7.6,Northeast,757,807.0,0.0,0.0,2.0,9055.51,,0.3,6.0,,,,,,English,,,,
800046,47,Female,Married,Salaried,Skilled Trade,,High School,Rent,1.7,Midwest,501,836.0,1.0,1.0,4.0,9043.32,,18.1,2.0,,,,,,,,,None,
800047,52,Female,Married,Retired,Professional,14808.55,High School,Living with Family,6.2,Northeast,102,,,,,,,,,,,0,,,,,,,
800048,47,Male,Married,Salaried,Professional,27485.07,High School,Living with Family,1.1,West,29,776.0,0.0,0.0,1.0,17646.82,0.642,2.8,0.0,,gmail,,,,English,,,,
800049,22,Male,Married,Retired,Other,,Masters,Own,5.7,Midwest,99,,,,,,,,,,,,,,English,,,,
800050,44,Male,Married,Salaried,Sales,64900.33,Bachelors,Own,0.3,South,3583,718.0,0.0,0.0,2.0,20837.97,0.321,1.2,6.0,,,,,,English,,,,
800051,40,Male,Married,Retired,Skilled Trade,43621.56,High School,Own,0.1,South,43,545.0,0.0,0.0,1.0,6759.05,0.155,14.8,4.0,,,1,,,English,,0,,Payroll
800052,48,Female,Single,Salaried,Sales,182034.99,High School,Mortgage,2.0,South,2314,659.0,0.0,0.0,1.0,8402.23,0.046,3.9,3.0,,,,REF374263,,,,,,
800053,22,Female,Single,Self-Employed,Service,,Bachelors,Rent,1.7,Midwest,24,739.0,0.0,0.0,1.0,9086.36,,26.5,6.0,,,,,10.6,English,,,,
800054,25,Male,Single,Self-Employed,Skilled Trade,41380.74,Masters,Living with Family,0.6,Midwest,251,,,,,,,,,,,,,,,,,SMS,
800055,37,Female,Divorced,Retired,Management,21350.73,High School,Mortgage,5.9,South,180,678.0,1.0,0.0,1.0,4108.33,0.192,15.9,6.0,,,,,,,,,None,
800056,26,Male,Single,Unemployed,Service,,Masters,Mortgage,6.2,Midwest,3487,731.0,0.0,0.0,1.0,29296.85,,5.8,2.0,,,,,,,,,,
800057,41,Male,Married,Retired,Professional,64765.33,Masters,Rent,7.4,South,2396,,,,,,,,,,yahoo,,,,,,,,
800058,40,Male,Single,Self-Employed,Management,,Bachelors,Mortgage,1.8,West,28,,,,,,,,,,,,,,English,,,,
800059,48,Female,Married,Retired,Sales,24610.83,Bachelors,Rent,4.8,Midwest,1029,,,,,,,,,,,,,,Other,,,,
800060,30,Female,Divorced,Salaried,Sales,,Bachelors,Mortgage,0.4,West,2436,616.0,0.0,0.0,0.0,29074.05,,6.2,4.0,,,,,,,,,,
800061,44,Female,Single,Salaried,Professional,38849.97,Bachelors,Rent,4.0,South,1216,,,,,,,,,,,,,54.8,English,,,,SelfReported
800062,37,Female,Single,Self-Employed,Skilled Trade,,Doctorate,Rent,1.3,West,21,570.0,0.0,0.0,0.0,5820.52,,0.2,6.0,,,,,,English,,,,
800063,48,Female,Divorced,Salaried,Professional,,Bachelors,Own,0.0,Midwest,28,,,,,,,,,,,,REF708279,,,,0,,
800064,35,Female,Married,Self-Employed,Other,81351.92,Masters,Rent,20.1,South,8,,,,,,,,,,gmail,,,,,,,,
800065,54,Female,Single,Salaried,Sales,67544.32,Bachelors,Rent,6.1,Northeast,297,,,,,,,,,,,,,83.8,,,,,
800066,36,Female,Single,Salaried,Professional,126559.87,High School,Mortgage,8.5,South,4771,,,,,,,,,,,1,,,English,City_D,,,
800067,41,Male,Single,Salaried,Sales,96845.59,Bachelors,Rent,1.9,Midwest,102,692.0,0.0,0.0,0.0,6633.15,0.068,7.6,2.0,,,,,4.5,,,,,
800068,48,Other,Widowed,Salaried,Professional,44104.15,Bachelors,Mortgage,3.5,Northeast,408,645.0,0.0,0.0,2.0,8100.78,0.184,4.4,4.0,XXX-XXX-5276,,0,,92.2,,,,,
800069,32,Male,Married,Self-Employed,Management,54290.4,Bachelors,Mortgage,1.3,South,912,,,,,,,,,,,,REF993996,,,,,,SelfReported
800070,39,Male,Single,Salaried,Professional,96438.56,Masters,Own,1.3,West,20,755.0,0.0,0.0,1.0,2068.95,0.021,14.5,2.0,,,,,93.3,,,,,
800071,52,Male,Single,Salaried,Skilled Trade,33877.92,High School,Mortgage,13.6,Northeast,5077,764.0,0.0,0.0,1.0,10154.87,0.3,14.6,2.0,XXX-XXX-9770,yahoo,,,,,,1,,ThirdParty
800072,37,Male,Married,Salaried,Management,,Bachelors,Living with Family,1.8,Midwest,3,637.0,0.0,0.0,1.0,12976.68,,19.7,2.0,,,1,,,,City_A,,,
800073,51,Other,Single,Salaried,Skilled Trade,70107.94,High School,Rent,0.0,Midwest,537,,,,,,,,,,,,,,,,,SMS,
800074,37,Male,Married,Self-Employed,Sales,,Bachelors,Rent,0.0,Northeast,5,608.0,1.0,0.0,1.0,33791.84,,16.2,2.0,,,,,,Spanish,City_B,,,
800075,24,Male,Single,Retired,Service,23415.14,Bachelors,Rent,4.9,Northeast,150,717.0,1.0,0.0,0.0,8684.08,0.371,10.3,5.0,,,,REF742103,,,City_A,,,
800076,47,Male,Single,Salaried,Professional,105072.44,Masters,Mortgage,3.6,Midwest,2175,,,,,,,,,XXX-XXX-8069,,,,,,,,Email,
800077,65,Female,Married,Unemployed,Professional,6225.27,High School,Mortgage,9.5,Midwest,1492,597.0,0.0,0.0,0.0,6188.25,0.994,8.8,4.0,,,1,REF312890,,,,,,
800078,47,Male,Married,Self-Employed,Sales,76586.77,Masters,Own,3.5,South,101,697.0,2.0,0.0,2.0,3838.27,0.05,10.5,3.0,,,,,,English,,1,,
800079,48,Male,Married,Self-Employed,Management,98541.65,Doctorate,Own,5.9,South,1571,,,,,,,,,,,0,,,,,1,,
800080,59,Female,Widowed,Salaried,Professional,54595.91,Masters,Rent,5.6,Midwest,304,681.0,1.0,0.0,0.0,14660.44,0.269,2.8,4.0,,,,,,,,1,,
800081,46,Female,Married,Salaried,Service,39928.14,Masters,Own,13.1,Midwest,180,,,,,,,,,,,,,10.6,English,,,,
800082,36,Female,Married,Salaried,Sales,38142.75,Bachelors,Own,4.0,Midwest,599,,,,,,,,,,,,REF384582,,,City_B,,,Payroll
800083,44,Male,Married,Salaried,Professional,32384.08,High School,Own,1.6,Midwest,323,,,,,,,,,,,,,46.5,,,,,
800084,45,Female,Single,Salaried,Professional,367476.98,Masters,Mortgage,3.3,Midwest,28,647.0,0.0,0.0,0.0,29732.07,0.081,14.8,3.0,,other,,,,Spanish,,,,
800085,46,Male,Married,Salaried,Service,90901.92,Bachelors,Own,2.6,Midwest,212,,,,,,,,,,,,,,,City_D,,,Payroll
800086,38,Male,Married,Salaried,Skilled Trade,102114.93,High School,Mortgage,8.7,West,285,840.0,0.0,0.0,3.0,19519.31,0.191,11.1,2.0,,,,,4.4,,,,SMS,
800087,52,Female,Single,Self-Employed,Service,184067.97,Bachelors,Living with Family,5.4,West,432,615.0,0.0,0.0,1.0,2985.58,0.016,10.7,4.0,,,0,,,,,,,
800088,11,Male,Single,Unemployed,Professional,,High School,Rent,2.0,Northeast,74,,,,,,,,,,,,,,,City_D,,None,
800089,33,Female,Married,Retired,Skilled Trade,60650.42,Bachelors,Mortgage,2.4,Midwest,560,787.0,0.0,0.0,0.0,5493.06,0.091,0.2,6.0,,gmail,,,,,,,,Payroll
800090,53,Female,Married,Self-Employed,Professional,152015.17,Bachelors,Own,1.6,Northeast,136,630.0,0.0,0.0,0.0,15365.13,0.101,15.6,8.0,,,,,,,,0,,ThirdParty
800091,50,Male,Single,Salaried,Service,56335.73,Bachelors,Rent,15.3,South,1402,698.0,0.0,0.0,0.0,2271.56,0.04,0.2,5.0,,,,,,,,,,
800092,50,Female,Single,Self-Employed,Other,46208.18,Bachelors,Own,1.9,South,126,601.0,0.0,0.0,0.0,22652.73,0.49,3.3,2.0,,,,REF346640,,,,,,
800093,1,Female,Married,Salaried,Other,55861.1,High School,Rent,4.5,South,1906,720.0,1.0,0.0,0.0,4449.42,0.08,2.0,4.0,,,,,,,,,Email,
800094,23,Male,Single,Self-Employed,Professional,,Bachelors,Own,2.7,Midwest,4352,,,,,,,,,,,1,,,,,,,
800095,30,Female,Single,Self-Employed,Sales,,Bachelors,Rent,4.7,Midwest,426,786.0,1.0,0.0,2.0,14319.22,,5.3,1.0,XXX-XXX-2641,,,,56.6,,,0,,
800096,49,Male,Single,Salaried,Professional,,Masters,Rent,3.5,South,2002,,,,,,,,,,,,,,,,0,,
800097,49,Female,Widowed,Self-Employed,Service,86037.68,High School,Own,0.0,South,466,649.0,0.0,0.0,3.0,3324.1,0.039,8.2,4.0,XXX-XXX-9826,,,REF571374,,,City_B,,SMS,
800098,58,Male,Single,Salaried,Other,52069.96,High School,Mortgage,12.6,Midwest,281,653.0,0.0,0.0,0.0,5536.57,0.106,6.0,10.0,,,,,,English,City_A,,,SelfReported
800099,33,Male,Married,Salaried,Professional,25525.67,High School,Rent,1.3,South,1822,775.0,0.0,0.0,1.0,19278.23,0.755,1.9,4.0,,,,,,,,0,,
800100,25,Male,Single,Retired,Professional,73747.49,Bachelors,Mortgage,12.9,Midwest,2245,641.0,0.0,0.0,0.0,11719.32,0.159,0.9,3.0,,,,,,English,,,,ThirdParty
800101,61,Female,Widowed,Salaried,Skilled Trade,55048.2,Bachelors,Own,18.5,West,1090,,,,,,,,,,,,,43.2,,,,,
800102,55,Female,Single,Salaried,Management,39812.51,Bachelors,Own,2.5,Northeast,2207,705.0,0.0,0.0,0.0,7115.09,0.179,4.1,4.0,,,,,,,,,,
800103,36,Female,Married,Retired,Sales,30449.77,Bachelors,Own,7.4,West,81,,,,,,,,,,,,,,,,,,Payroll
800104,48,Male,Widowed,Salaried,Professional,26357.2,High School,Rent,7.2,South,789,,,,,,,,,,,,,,,,,,
800105,200,Male,Single,Salaried,Service,,Bachelors,Own,1.9,Northeast,41,,,,,,,,,,,,,,,,,,SelfReported
800106,48,Female,Married,Salaried,Sales,94618.68,Bachelors,Own,3.6,West,1600,707.0,0.0,0.0,0.0,11824.41,0.125,4.0,4.0,,,,,99.1,,,,,ThirdParty
800107,38,Female,Single,Retired,Sales,20592.81,Bachelors,Living with Family,8.9,South,113,,,,,,,,,,,,,,English,,,,
800108,43,Female,Single,Self-Employed,Service,199980.66,High School,Own,3.4,Northeast,1281,,,,,,,,,XXX-XXX-4644,other,,REF817195,,,,,,
800109,45,Female,Single,Salaried,Professional,85908.37,High School,Rent,0.3,Midwest,441,697.0,1.0,0.0,0.0,3944.38,0.046,0.6,3.0,,,,REF893407,,,,,,
800110,51,Male,Divorced,Self-Employed,Management,,Masters,Own,2.7,South,1921,711.0,1.0,0.0,1.0,9111.94,,5.6,3.0,,,0,,,,,,None,
800111,48,Male,Married,Salaried,Sales,69091.62,Bachelors,Own,1.4,Midwest,1869,628.0,0.0,0.0,1.0,7191.73,0.104,20.5,1.0,,,,,,English,,,,
800112,27,Male,Married,Unemployed,Skilled Trade,,Bachelors,Own,25.8,South,49,,,,,,,,,,other,,,,,,,,
800113,48,Female,Married,Retired,Skilled Trade,13351.77,Bachelors,Rent,9.8,West,97,570.0,0.0,0.0,0.0,15032.16,1.126,3.1,8.0,,,,,75.0,,,,None,
800114,44,Female,Married,Salaried,Skilled Trade,72767.27,Bachelors,Own,0.6,Midwest,959,652.0,0.0,0.0,2.0,10367.68,0.142,13.4,3.0,,outlook,,REF370410,,,City_D,,None,
800115,50,Male,Married,Self-Employed,Other,,Bachelors,Own,6.0,South,1319,658.0,0.0,0.0,2.0,4980.69,,2.2,8.0,XXX-XXX-7576,,,,,English,,,,
800116,43,Female,Married,Salaried,Skilled Trade,104458.57,High School,Mortgage,3.3,Midwest,344,695.0,0.0,0.0,2.0,3805.02,0.036,5.8,2.0,,,,,,,,,,
800117,55,Male,Single,Salaried,Management,67208.57,Masters,Living with Family,31.5,Midwest,27,643.0,1.0,0.0,2.0,13174.05,0.196,0.2,4.0,,,,REF192064,11.1,,City_B,,,
800118,41,Female,Married,Self-Employed,Management,,Bachelors,Own,0.6,South,1129,,,,,,,,,,,,,,,,,Email,
800119,39,Male,Married,Salaried,Skilled Trade,55126.54,Masters,Rent,7.8,South,112,594.0,1.0,0.0,1.0,7026.62,0.127,9.8,3.0,,,,,,,,,,
800120,34,Female,Married,Salaried,Professional,55453.69,Masters,Rent,14.9,South,966,623.0,1.0,0.0,2.0,14066.82,0.254,14.3,8.0,,,0,,,English,,,,
800121,53,Male,Single,Salaried,Other,64121.92,Bachelors,Rent,4.7,Northeast,916,717.0,0.0,0.0,3.0,12776.57,0.199,12.1,3.0,,,,,,,,,,
800122,31,Male,Married,Salaried,Service,59697.9,High School,Mortgage,3.9,South,354,,,,,,,,,,,,,,,,,,
800123,43,Female,Married,Retired,Skilled Trade,88794.03,Bachelors,Own,2.0,Midwest,793,,,,,,,,,,outlook,,REF487135,,Spanish,,,,
800124,42,Male,Single,Retired,Management,22909.3,Masters,Living with Family,7.9,West,1275,,,,,,,,,,outlook,,REF984433,,,,,,
800125,20,Female,Married,Salaried,Management,79021.11,Bachelors,Mortgage,0.6,Northeast,1199,,,,,,,,,,,,,,English,City_C,,,
800126,48,Female,Married,Student,Professional,8185.99,Bachelors,Rent,1.3,Northeast,2646,565.0,0.0,0.0,2.0,14032.53,1.714,1.6,4.0,XXX-XXX-8112,,,REF290217,97.0,,,,,
800127,28,Male,Married,Retired,Service,137208.21,Masters,Rent,4.3,West,51,689.0,0.0,0.0,0.0,7077.4,0.052,0.8,3.0,,,,REF607229,,,,,,
800128,36,Male,Single,Salaried,Other,75255.55,Bachelors,Own,0.4,West,938,731.0,0.0,0.0,2.0,11280.63,0.15,4.9,0.0,,,,,4.6,English,,1,,ThirdParty
800129,55,Female,Married,Salaried,Skilled Trade,174914.02,Bachelors,Own,3.4,South,1062,,,,,,,,,,,,,,,,0,,
800130,62,Female,Single,Unemployed,Professional,5682.98,Bachelors,Living with Family,0.4,South,1487,692.0,0.0,0.0,0.0,18682.38,3.287,5.9,10.0,,,,,,,,,,
800131,44,Female,Married,Self-Employed,Skilled Trade,54718.81,Bachelors,Rent,7.6,West,692,,,,,,,,,,yahoo,,,,,,,,
800132,47,Female,Married,Retired,Sales,,Bachelors,Own,7.3,Northeast,996,747.0,1.0,0.0,3.0,6003.16,,11.3,4.0,,,,,,,City_C,,,
800133,40,Female,Single,Salaried,Service,,Doctorate,Rent,0.4,Northeast,884,,,,,,,,,XXX-XXX-9183,,,,,,,,,
800134,34,Male,Single,Self-Employed,Professional,45225.26,High School,Own,2.9,West,15,700.0,0.0,0.0,2.0,15377.39,0.34,15.0,3.0,XXX-XXX-3609,other,,,,,,,,
800135,27,Male,Divorced,Salaried,Professional,,Masters,Rent,19.0,South,63,593.0,0.0,0.0,1.0,10208.58,,0.2,6.0,,,,,,,,,,
800136,26,Female,Single,Self-Employed,Service,,High School,Own,6.4,Northeast,1785,736.0,0.0,0.0,2.0,19073.39,,2.2,5.0,,,,,,,City_C,,,
800137,33,Male,Single,Self-Employed,Skilled Trade,28154.68,High School,Rent,1.5,South,48,665.0,0.0,0.0,1.0,13746.07,0.488,1.1,3.0,,,,,,,,1,SMS,
800138,45,Female,Married,Salaried,Sales,68808.2,High School,Rent,0.6,South,183,667.0,2.0,0.0,2.0,4306.12,0.063,11.8,6.0,,,,,,,,,,Payroll
800139,32,Male,Married,Unemployed,Other,7735.35,Bachelors,Mortgage,9.9,Midwest,372,,,,,,,,,,,,,,,,,,
800140,47,Female,Married,Self-Employed,Professional,30007.16,High School,Mortgage,4.1,Midwest,3835,629.0,1.0,0.0,2.0,19001.08,0.633,5.2,5.0,,,,,,,,,,SelfReported
800141,52,Female,Single,Salaried,Skilled Trade,23582.45,High School,Rent,0.7,Midwest,56,,,,,,,,,,,,,,,,,,
800142,53,Male,Married,Salaried,Skilled Trade,91569.09,High School,Rent,4.2,West,4767,,,,,,,,,,,,,28.1,,,,,ThirdParty
800143,70,Female,Married,Salaried,Professional,59835.11,High School,Mortgage,7.8,Midwest,2196,503.0,0.0,0.0,1.0,3886.57,0.065,4.8,4.0,,,,,,,,,,Payroll
800144,41,Other,Divorced,Salaried,Other,190984.52,Doctorate,Own,0.3,Northeast,450,,,,,,,,,,,,,,,,0,,
800145,20,Male,Single,Retired,Other,40446.78,High School,Own,5.4,South,1905,,,,,,,,,,,,,,English,,,,
800146,52,Female,Single,Salaried,Service,37842.9,Masters,Mortgage,13.5,South,1336,807.0,1.0,0.0,0.0,6497.6,0.172,7.8,3.0,,other,,,,,,,,
800147,50,Male,Single,Salaried,Professional,50129.37,Bachelors,Mortgage,6.1,West,41,679.0,0.0,0.0,0.0,5882.74,0.117,6.3,2.0,,,,REF293628,,,,1,,
800148,47,Male,Single,Salaried,Service,60565.5,Bachelors,Mortgage,1.8,Midwest,389,,,,,,,,,,,,,,,,1,,
800149,47,Male,Married,Self-Employed,Skilled Trade,47252.7,High School,Rent,8.9,Northeast,96,673.0,0.0,0.0,0.0,37496.16,0.794,1.9,5.0,,,,,,,,,,
800150,28,Female,Single,Unemployed,Professional,19976.67,Bachelors,Own,1.1,South,55,612.0,0.0,0.0,0.0,4269.91,0.214,13.6,4.0,XXX-XXX-1998,yahoo,,,,,,,Email,
800151,43,Male,Single,Self-Employed,Sales,66286.83,High School,Mortgage,3.6,Midwest,44,660.0,0.0,0.0,0.0,33433.64,0.504,15.2,1.0,,,,,,,,,,
800152,41,Male,Divorced,Unemployed,Sales,3875.21,Bachelors,Mortgage,0.3,South,588,692.0,1.0,0.0,0.0,6759.3,1.744,13.1,5.0,,,,,,,,,,
800153,24,Male,Married,Salaried,Sales,75676.22,Doctorate,Rent,7.8,Northeast,594,,,,,,,,,,other,,,,,,,,
800154,42,Male,Married,Salaried,Professional,53467.93,Bachelors,Own,13.9,Northeast,63,646.0,1.0,0.0,1.0,10150.53,0.19,3.8,3.0,,,1,,,,,,,
800155,41,Male,Married,Salaried,Skilled Trade,,Bachelors,Rent,4.0,Midwest,222,624.0,1.0,0.0,1.0,8208.74,,12.6,5.0,,,1,,,,,,SMS,
800156,54,Male,Divorced,Salaried,Professional,66061.53,High School,Own,9.0,Midwest,5,694.0,1.0,0.0,2.0,11628.35,0.176,0.6,7.0,,,,,,English,City_B,,,
800157,60,Female,Single,Self-Employed,Management,,High School,Mortgage,0.6,West,626,561.0,0.0,0.0,0.0,5735.76,,12.3,2.0,,,,,,,,,,ThirdParty
800158,37,Male,Married,Salaried,Service,127597.93,Bachelors,Own,1.8,South,1336,,,,,,,,,,,,,32.6,,City_C,,None,
800159,41,Female,Married,Self-Employed,Skilled Trade,43726.75,Masters,Rent,3.7,Midwest,44,793.0,0.0,0.0,1.0,8010.6,0.183,8.0,1.0,,,,,,,,,,
800160,56,Other,Single,Unemployed,Other,13192.42,Masters,Rent,0.0,Northeast,623,675.0,1.0,0.0,0.0,3276.03,0.248,3.3,3.0,XXX-XXX-9429,,,,,,,,,
800161,53,Female,Married,Salaried,Skilled Trade,46778.88,High School,Living with Family,13.4,West,1398,708.0,0.0,0.0,0.0,6360.0,0.136,4.9,5.0,,,,,,,,,,
800162,50,Female,Married,Self-Employed,Skilled Trade,16452.33,Masters,Rent,1.0,South,933,,,,,,,,,,,,REF978842,,English,,,,
800163,31,Female,Married,Unemployed,Professional,4898.0,High School,Own,0.8,Midwest,595,,,,,,,,,,,,,,,,,SMS,ThirdParty
