Customer_ID,Is_Fraud,Num_Devices_90d,New_Device_Flag,Failed_Login_Count_24h,Login_Count_24h,Session_Duration_Avg_Sec,IP_Country_Mismatch_Flag,Distance_From_Home_Km,Password_Reset_Count_90d,Browser_Change_Flag,VPN_Detected_Flag,Transaction_Amount,Transaction_Channel,Merchant_Category,Merchant_Risk_Score,Is_Foreign_Transaction,Transaction_Hour,Is_Weekend,Time_Since_Last_Transaction_Min,Transaction_Currency,Card_Present_Flag
800062,0,,0,0,1,,0,10.17,0,,,70.73,POS,Restaurant,17.3,0,6,1,76.3,USD,1
800063,0,,0,1,1,227.1,0,2.63,1,,,101.45,POS,Utilities,15.4,0,19,1,45.2,USD,0
800064,0,1.0,1,1,2,316.4,0,1.21,0,0.0,0.0,38.38,Online,Utilities,43.9,0,4,1,10.7,USD,0
800065,0,,0,0,0,,0,13.56,0,,,59.51,POS,Online Retail,15.7,0,16,0,54.2,USD,0
800066,0,,0,0,3,,1,5.58,0,,,7.82,POS,Online Retail,19.8,0,5,0,1219.2,USD,1
800067,0,,0,0,3,,0,6.61,0,,,27.9,ATM,Travel,27.9,0,4,1,140.2,USD,1
800068,0,,0,0,0,,0,4.91,0,0.0,,101.34,POS,Electronics,22.6,0,0,0,108.8,USD,0
800069,0,1.0,0,0,0,220.5,0,3.22,0,1.0,0.0,24.16,Online,Electronics,31.6,0,3,0,18.2,USD,0
800070,0,,0,0,2,,0,12.27,0,,1.0,12.37,POS,Online Retail,24.2,0,3,0,129.2,USD,0
800071,0,,0,0,0,,0,10.31,0,,0.0,57.28,POS,Cash Advance,38.8,0,7,1,347.0,USD,0
800072,0,1.0,0,0,0,,0,1.8,0,,,148.33,POS,Other,4.4,0,4,1,90.9,USD,1
800073,0,2.0,0,0,3,358.3,0,1.11,1,0.0,0.0,83.1,Online,Electronics,47.3,0,3,0,1.0,USD,0
800074,0,,0,0,1,222.4,0,10.56,1,,,24.3,POS,Utilities,31.2,0,15,0,55.9,USD,1
800075,0,,0,0,1,,0,3.16,0,,,75.84,ATM,Online Retail,19.9,0,12,1,47.2,USD,1
800076,0,,0,1,2,65.5,0,9.96,0,,,66.01,POS,Online Retail,5.6,0,1,1,492.1,USD,0
800077,0,2.0,0,0,0,309.6,0,0.11,1,1.0,0.0,117.19,International,Other,56.4,0,1,1,398.7,USD,1
800078,0,4.0,0,0,2,325.1,0,1.07,0,0.0,0.0,107.48,Online,Restaurant,25.3,0,6,0,109.5,USD,1
800079,0,3.0,0,1,5,,0,7.47,0,,,207.91,POS,Restaurant,17.9,0,9,1,106.5,USD,1
800080,0,,1,1,1,,0,9.22,0,,,109.41,POS,Grocery,18.9,0,9,0,37.2,USD,0
800081,0,,0,1,0,,0,12.72,0,,,45.3,ATM,Online Retail,27.2,0,10,0,173.2,USD,1
800082,0,,0,0,3,,0,1.26,0,,,64.28,POS,Other,28.3,0,15,0,48.5,USD,1
800083,0,,0,0,3,,0,2.71,0,,,108.62,POS,Online Retail,14.4,0,8,0,47.3,USD,0
800084,0,,0,0,1,,0,0.01,0,,0.0,34.06,POS,Restaurant,13.0,0,14,0,25.7,USD,0
800085,0,,0,1,1,,0,1.82,0,,,22.72,POS,Online Retail,46.9,0,14,1,167.3,USD,0
800086,0,2.0,0,0,3,360.8,0,0.36,0,0.0,0.0,83.62,Online,Cash Advance,23.5,0,19,0,159.4,USD,1
800087,0,,0,1,2,,0,29.58,0,,,97.65,ATM,Utilities,49.3,0,12,1,19.0,USD,1
800088,0,,0,1,0,,0,1.68,0,,,28.57,POS,Utilities,51.0,0,23,0,195.8,USD,1
800089,0,1.0,0,2,1,314.2,0,3.51,0,0.0,0.0,133.42,Online,Grocery,38.8,0,20,1,66.9,USD,1
800090,0,4.0,0,0,3,144.5,0,17.63,1,0.0,0.0,62.75,International,Utilities,48.4,0,22,0,56.6,USD,1
800091,0,1.0,0,0,1,230.9,0,2.85,0,1.0,0.0,26.28,Online,Restaurant,16.1,0,20,0,42.3,USD,0
800092,0,,0,0,2,,0,2.34,1,,,102.48,ATM,Grocery,22.5,0,1,1,22.8,USD,1
800093,0,,0,0,2,,0,0.72,0,,,3110.7,POS,Other,46.1,0,8,1,71.7,USD,1
800094,0,1.0,0,0,0,279.5,0,1.85,0,0.0,0.0,63.47,Online,Grocery,33.3,1,2,1,10.2,Foreign,0
800095,0,,0,0,3,,0,21.31,0,,,118.07,POS,Travel,45.9,0,9,1,69.7,USD,1
800096,0,4.0,0,0,2,183.9,0,13.17,0,0.0,0.0,12.16,Online,Travel,16.1,0,8,0,49.6,USD,1
800097,0,2.0,0,0,1,,0,0.74,0,,,58.68,POS,Grocery,55.1,0,22,0,30.3,USD,1
800098,0,,0,0,3,,0,1.03,0,,,198.31,POS,Travel,4.8,0,11,0,5.5,USD,1
800099,0,,0,1,1,,0,6.67,0,,,65.68,POS,Electronics,10.7,0,23,0,0.5,USD,1
800100,1,,1,1,2,,0,0.58,0,,,85.91,ATM,Online Retail,41.8,0,0,0,145.2,USD,0
800101,0,2.0,0,0,0,,0,17.28,0,,,98.72,POS,Restaurant,32.3,1,18,1,25.7,Foreign,0
800102,0,,1,0,0,,0,6.76,0,,0.0,1.38,ATM,Electronics,40.0,0,5,0,170.6,USD,0
800103,0,,0,1,2,,0,4.11,0,,0.0,15.25,ATM,Grocery,48.0,0,17,0,98.5,USD,1
800104,0,1.0,0,0,2,140.5,0,1.79,0,0.0,0.0,47.18,Wire,Restaurant,3.4,0,6,0,99.6,USD,0
800105,0,2.0,0,0,0,137.8,0,2.28,0,0.0,0.0,50.41,Online,Grocery,13.7,1,7,0,32.8,Foreign,0
800106,0,2.0,0,0,0,219.8,0,4.53,1,0.0,0.0,75.7,Online,Travel,42.5,0,19,1,157.7,USD,1
800107,0,2.0,0,2,0,236.3,0,19.91,0,0.0,0.0,83.23,Online,Utilities,43.6,0,7,0,69.7,USD,0
800108,0,3.0,0,0,3,175.8,0,0.78,0,0.0,0.0,51.23,Wire,Online Retail,45.5,0,22,1,53.7,USD,1
800109,1,,1,2,0,,0,29.35,0,,,10403.77,POS,Travel,60.8,0,0,0,133.9,USD,0
800110,0,2.0,0,2,2,10.0,0,2.59,0,0.0,0.0,82.79,Online,Electronics,56.6,0,13,1,1.3,USD,0
800111,0,,1,0,1,160.9,0,3.7,0,0.0,,39.73,POS,Utilities,39.0,0,15,0,26.3,USD,1
800112,0,,0,0,1,,1,1.75,0,,0.0,88.53,POS,Restaurant,23.2,1,6,0,168.2,Foreign,1
800113,0,2.0,0,1,0,,0,0.79,0,,,39.0,POS,Grocery,31.5,0,13,0,11.8,USD,1
800114,0,4.0,0,0,1,256.6,0,24.58,0,0.0,0.0,7.01,International,Other,49.1,1,9,1,173.2,Foreign,0
800115,0,2.0,0,0,1,,0,1.4,0,,,31.51,POS,Cash Advance,16.8,0,21,0,54.9,USD,0
800116,0,2.0,0,0,0,209.4,0,3.86,0,0.0,0.0,22.35,Online,Grocery,12.8,0,1,0,29.7,USD,0
800117,0,2.0,0,1,4,284.7,0,0.04,0,0.0,0.0,298.59,Online,Grocery,68.6,0,23,0,44.4,USD,0
800118,0,2.0,0,0,1,,0,17.77,0,0.0,0.0,4.66,Online,Online Retail,59.5,0,6,0,193.4,USD,0
800119,0,2.0,0,0,2,,0,8.71,0,,,92.8,POS,Online Retail,22.2,0,21,0,24.1,USD,0
800120,0,,0,0,0,,0,2.18,0,,,178.59,POS,Grocery,10.4,0,19,0,37.6,USD,0
800121,0,2.0,0,0,1,,0,0.01,0,1.0,,65.18,POS,Grocery,24.3,0,4,0,275.9,USD,1
800122,0,2.0,1,0,0,235.1,0,1.5,0,0.0,0.0,92.53,Online,Online Retail,10.2,0,14,0,388.3,USD,0
800123,0,4.0,0,0,0,,0,2.0,0,,,388.35,POS,Electronics,6.5,0,3,0,408.9,USD,1
800124,0,,0,0,1,,0,0.47,0,,0.0,34.68,POS,Utilities,17.7,0,3,0,570.3,USD,0
800125,0,1.0,0,0,1,210.9,0,9.01,0,0.0,0.0,99.42,Online,Grocery,32.7,0,4,1,61.2,USD,0
800126,0,3.0,0,0,1,108.5,0,3.11,2,0.0,0.0,91.7,Online,Electronics,33.9,0,3,1,269.2,USD,1
800127,0,2.0,0,0,1,91.3,0,3.78,0,0.0,0.0,36.07,Online,Online Retail,29.2,0,9,0,280.6,USD,1
800128,0,2.0,0,0,0,227.7,0,0.84,1,0.0,0.0,21.38,International,Online Retail,20.8,1,15,0,0.3,Foreign,1
800129,0,,0,1,2,246.9,0,4.54,0,,,53.01,POS,Grocery,40.0,0,13,0,243.7,USD,1
800130,0,,0,0,6,188.9,0,5.49,0,,,261.71,POS,Online Retail,8.7,0,22,0,207.8,USD,1
800131,0,1.0,0,0,1,326.3,0,5.19,0,0.0,0.0,56.46,Online,Utilities,20.7,0,16,0,41.4,USD,1
800132,0,2.0,0,0,3,275.5,0,11.64,1,0.0,0.0,45.24,International,Online Retail,61.8,0,2,0,28.1,USD,1
800133,0,2.0,0,0,2,349.5,0,8.83,1,1.0,0.0,18.92,Wire,Restaurant,33.7,0,4,0,3.0,USD,0
800134,0,,0,0,2,,0,4.38,0,,,13.02,POS,Travel,10.3,0,15,0,61.2,USD,0
800135,0,3.0,0,0,1,155.5,0,16.62,0,1.0,0.0,94.28,International,Utilities,33.4,0,4,0,297.3,USD,1
800136,0,3.0,1,0,1,277.9,0,0.69,0,0.0,0.0,95.92,Online,Restaurant,31.4,0,13,0,439.1,USD,1
800137,0,,0,0,0,,1,8.24,0,,,115.44,POS,Restaurant,28.5,1,4,1,257.6,Foreign,1
800138,0,,1,0,0,402.5,0,4.07,0,0.0,,68.2,ATM,Online Retail,2.4,0,0,0,24.8,USD,0
800139,0,1.0,0,0,3,227.1,0,3.64,0,1.0,0.0,53.56,Online,Restaurant,34.8,0,11,1,14.3,USD,1
800140,0,,0,0,2,228.1,0,5.19,0,,,19.03,POS,Electronics,59.6,0,15,0,35.7,USD,0
800141,0,,0,0,2,,0,8.59,0,,,39.57,ATM,Restaurant,47.7,0,14,1,91.4,USD,1
800142,0,,0,0,0,,0,9.51,3,,,162.55,ATM,Electronics,31.5,0,20,1,161.5,USD,0
800143,0,3.0,0,1,0,196.4,0,4.3,0,0.0,1.0,49.89,Online,Online Retail,16.3,0,14,0,29.7,USD,0
800144,0,2.0,0,0,1,287.5,0,3.74,0,0.0,0.0,7.46,Online,Online Retail,46.8,1,8,0,25.3,Foreign,1
800145,0,1.0,0,0,0,,0,9.77,0,,,16.59,ATM,Online Retail,19.1,0,23,0,29.2,USD,0
800146,0,2.0,0,1,1,237.2,0,2.35,0,1.0,0.0,35.39,Online,Utilities,33.4,0,14,0,71.2,USD,0
800147,0,1.0,0,1,0,367.6,0,9.02,0,0.0,0.0,235.75,Online,Restaurant,18.0,0,21,1,379.4,USD,0
800148,0,2.0,0,0,4,87.6,0,9.24,1,0.0,0.0,13.34,Wire,Electronics,28.0,0,16,1,125.2,USD,1
800149,0,2.0,0,0,1,,0,5.18,1,1.0,,109.45,POS,Other,48.9,0,8,0,111.7,USD,0
800150,0,1.0,0,0,3,,0,15.91,0,,,19.16,POS,Cash Advance,12.8,0,3,0,198.8,USD,1
800151,0,3.0,0,0,0,271.1,0,6.76,1,,,86.76,POS,Online Retail,11.5,0,11,0,14.5,USD,1
800152,0,,0,0,1,,0,1.69,0,,,60.29,ATM,Travel,15.1,0,5,0,163.6,USD,0
800153,0,,0,0,3,,0,2.23,1,,,77.8,POS,Cash Advance,78.0,0,7,0,69.1,USD,1
800154,0,,0,0,1,,0,12.91,0,,,23.01,POS,Travel,40.6,0,10,0,284.6,USD,1
800155,1,,1,1,2,,0,25.74,0,0.0,0.0,1.26,ATM,Other,32.9,1,20,1,208.2,Foreign,0
800156,0,,0,1,0,,0,3.87,0,,,10.88,POS,Grocery,19.5,0,1,0,172.5,USD,0
800157,0,,0,0,0,,0,3.2,0,,,30.96,POS,Restaurant,8.3,0,17,0,51.7,USD,1
800158,0,2.0,0,2,0,360.0,0,28.05,1,0.0,0.0,256.51,Wire,Electronics,20.3,0,8,0,672.7,USD,1
800159,0,2.0,0,0,0,250.0,0,1.23,0,0.0,0.0,51.21,Wire,Online Retail,14.7,0,4,0,55.1,USD,1
800160,0,,0,0,2,,0,19.55,0,,,144.76,POS,Other,8.1,0,1,0,98.8,USD,0
800161,1,,0,0,1,,0,4.93,0,,,5804.33,POS,Electronics,27.2,0,21,1,156.0,USD,0
800162,0,,0,0,0,,0,7.09,0,,,2056.06,POS,Utilities,62.2,0,1,0,205.7,USD,1
800163,0,,0,0,0,,0,10.02,0,,,3507.93,ATM,Grocery,62.1,0,7,0,218.6,USD,0
800164,0,,0,0,0,,0,0.11,0,,,66.69,POS,Electronics,39.2,0,14,0,2.0,USD,0
800165,0,,0,0,1,,0,5.18,0,,,70.12,ATM,Grocery,16.2,0,17,0,681.1,USD,0
800166,0,,0,0,3,,0,7.78,0,,,10.93,POS,Online Retail,15.0,0,18,0,408.7,USD,0
800167,0,1.0,0,0,1,,0,19.31,0,,,118.26,ATM,Online Retail,68.4,0,0,1,14.0,USD,0
800168,0,,1,0,3,,0,5.34,0,,0.0,72.42,POS,Online Retail,24.4,0,2,0,72.9,USD,0
800169,0,2.0,0,0,1,383.5,0,2.44,0,0.0,0.0,76.61,Online,Travel,21.3,0,4,0,58.3,USD,1
800170,0,,1,1,1,,0,18.21,0,,0.0,161.37,POS,Grocery,19.7,0,23,0,15.6,USD,0
800171,0,3.0,0,0,2,215.5,0,7.25,0,0.0,0.0,19.58,Online,Utilities,54.8,0,20,0,73.5,USD,1
800172,0,,0,0,1,,0,0.37,0,,0.0,47.4,POS,Grocery,33.3,0,17,1,55.5,USD,0
800173,0,3.0,1,0,1,264.6,0,3.91,0,0.0,0.0,43.03,Online,Cash Advance,68.4,0,3,0,18.4,USD,0
800174,0,3.0,1,0,1,420.2,0,12.58,1,1.0,0.0,60.41,Online,Online Retail,18.7,0,0,1,15.5,USD,1
800175,0,,0,0,0,,0,1.82,0,,,51.31,POS,Electronics,22.8,0,8,0,247.8,USD,0
800176,0,,0,0,1,,0,3.73,0,,,37.81,POS,Grocery,18.6,0,5,0,13.5,USD,1
800177,0,,0,1,3,,0,2.33,0,,,123.56,POS,Online Retail,20.6,0,16,0,101.0,USD,0
800178,0,,1,0,3,,1,8.69,0,,,13.3,POS,Grocery,34.2,0,4,0,35.2,USD,0
800179,0,,1,0,1,,0,6.08,0,,,87.24,POS,Grocery,14.1,0,2,1,442.2,USD,0
800180,0,,0,0,0,,0,13.93,0,,,15.15,ATM,Electronics,10.8,0,3,0,294.7,USD,0
800181,0,3.0,0,1,2,505.9,0,5.19,0,0.0,0.0,34.66,Online,Restaurant,59.6,0,19,0,111.6,USD,0
800182,1,,0,2,4,,0,22.02,1,,,8713.59,ATM,Cash Advance,77.3,1,23,0,109.0,Foreign,1
800183,0,2.0,0,1,0,185.3,0,6.75,0,1.0,0.0,61.24,Online,Grocery,33.9,0,5,0,283.8,USD,0
800184,0,2.0,0,0,0,292.4,0,2.7,1,0.0,1.0,34.18,Online,Travel,14.5,1,14,1,93.5,Foreign,1
800185,0,4.0,0,0,4,31.7,0,15.26,0,0.0,0.0,28.59,Online,Online Retail,12.8,0,3,0,345.7,USD,0
800186,0,3.0,0,0,2,454.5,0,1.08,0,0.0,0.0,179.48,Online,Other,20.9,0,6,0,387.0,USD,0
800187,0,3.0,0,0,1,,0,4.84,0,,,146.65,POS,Electronics,70.5,0,18,0,80.5,USD,1
800188,0,3.0,0,0,1,289.2,0,9.55,0,0.0,1.0,191.81,Online,Travel,50.3,0,3,0,217.0,USD,1
800189,0,,1,0,0,,0,11.67,0,,,47.66,POS,Utilities,28.3,0,2,0,46.2,USD,1
800190,0,,0,0,1,471.9,0,12.23,0,,,39.62,POS,Restaurant,40.1,0,20,0,263.8,USD,1
800191,0,2.0,1,1,1,,0,2.62,0,,,55.42,POS,Grocery,16.6,0,6,1,42.0,USD,0
800192,0,,1,0,1,,0,0.05,0,,0.0,28.1,POS,Online Retail,14.9,1,18,0,0.1,Foreign,1
800193,0,,0,0,3,272.5,0,6.63,0,,,92.89,POS,Travel,28.6,0,10,1,722.8,USD,1
800194,0,2.0,0,0,0,318.2,0,3.89,0,1.0,0.0,53.23,ATM,Electronics,30.4,0,7,1,216.6,USD,1
800195,0,1.0,0,0,2,467.7,0,15.3,0,0.0,0.0,35.46,Online,Utilities,36.9,0,5,0,69.9,USD,1
800196,0,,0,0,2,,0,1.71,0,,,108.7,POS,Utilities,39.0,0,23,0,105.2,USD,1
800197,0,3.0,0,0,4,231.1,0,1.99,0,0.0,0.0,31.42,Wire,Utilities,56.1,0,8,1,73.6,USD,1
800198,0,3.0,0,0,1,169.2,0,0.75,0,0.0,0.0,70.92,Online,Travel,27.6,0,10,0,521.4,USD,1
800199,0,,0,1,1,303.7,0,3.74,0,,,231.97,POS,Restaurant,2.5,0,6,0,117.6,USD,0
800200,0,,0,0,0,164.7,0,3.75,0,0.0,0.0,369.14,Wire,Grocery,53.7,0,12,0,144.3,USD,1
800201,0,1.0,0,0,3,260.3,0,6.38,0,0.0,0.0,15.63,Wire,Grocery,20.8,0,18,1,29.4,USD,0
800202,0,,0,0,0,340.6,0,8.67,0,,0.0,393.85,POS,Electronics,25.7,0,23,1,282.2,USD,1
800203,0,3.0,0,0,3,,0,1.79,0,,,38.34,POS,Cash Advance,39.2,0,2,0,425.4,USD,1
800204,0,2.0,0,0,2,298.5,0,2.9,0,0.0,0.0,68.24,Online,Online Retail,26.6,0,7,0,645.6,USD,1
800205,0,2.0,0,0,2,,1,3.84,0,,,79.79,POS,Online Retail,32.1,1,2,0,15.9,Foreign,1
800206,0,2.0,0,0,1,206.6,0,1.32,0,0.0,0.0,108.03,Online,Grocery,9.9,0,5,0,82.0,USD,1
800207,0,,0,0,2,,0,2.14,1,,,113.81,POS,Restaurant,55.7,0,10,0,4.4,USD,0
800208,0,2.0,0,0,2,,0,5.62,0,,0.0,112.37,POS,Other,27.8,0,5,0,810.8,USD,0
800209,0,,0,0,1,,0,6.11,0,,0.0,29.39,POS,Restaurant,33.8,0,17,1,94.8,USD,1
800210,0,,1,1,1,,0,5.47,0,,1.0,140.68,POS,Cash Advance,32.7,0,12,0,98.9,USD,1
800211,0,2.0,0,0,1,369.6,0,3.96,0,0.0,0.0,46.44,Online,Other,39.2,0,5,0,346.1,USD,1
800212,0,2.0,0,1,3,251.8,0,7.66,1,1.0,0.0,11.62,Online,Grocery,31.0,0,8,1,36.9,USD,0
800213,0,2.0,1,0,2,321.0,0,2.07,0,0.0,0.0,96.71,Online,Electronics,29.3,0,4,0,91.0,USD,1
800214,0,3.0,0,0,1,250.8,0,2.95,0,0.0,0.0,81.75,Online,Utilities,51.6,0,2,0,119.1,USD,1
800215,0,,0,0,4,,1,0.72,0,,,23.92,POS,Electronics,51.9,0,4,0,499.4,USD,0
800216,0,2.0,0,0,0,268.2,0,0.77,0,0.0,0.0,23.86,International,Utilities,21.5,0,3,0,5.8,USD,1
800217,0,2.0,0,0,2,,0,2.92,0,0.0,,179.23,POS,Restaurant,34.5,0,3,0,72.9,USD,1
800218,0,2.0,0,0,2,282.2,0,3.22,0,0.0,1.0,40.05,Online,Other,24.5,0,0,0,253.4,USD,1
800219,0,1.0,0,0,2,251.9,0,0.15,0,1.0,0.0,18.74,International,Electronics,29.7,0,8,0,59.0,USD,1
800220,0,2.0,0,0,1,,0,3.89,0,,,77.66,POS,Utilities,22.4,0,21,1,195.6,USD,0
800221,0,3.0,0,0,3,256.2,0,3.02,0,0.0,1.0,97.41,Online,Electronics,36.9,0,4,0,151.2,USD,0
800222,0,,1,0,1,,0,29.18,0,,,3.94,POS,Restaurant,29.5,0,2,1,596.1,USD,0
800223,0,,0,0,1,248.9,0,13.34,0,0.0,,13.98,International,Travel,37.2,0,18,0,39.1,USD,0
