Customer_ID,Age,Tenure_Years,Balance,Avg_Monthly_Balance,Num_Products,Transactions_Per_Month,Avg_Transaction_Value,Digital_Engagement_Score,Credit_Utilization,Total_Deposits_YTD,Total_Withdrawals_YTD
500057,36,1.2,6134.33,5577.75,3,10.3,155.38,55.6,22.9,11200.73,11682.77
500058,50,9.7,5345.85,5550.68,3,12.4,61.6,62.3,30.2,4803.24,3790.68
500059,41,10.9,8837.19,8469.56,2,21.9,137.72,37.5,25.4,18567.84,16074.77
500060,31,8.0,1871.88,1881.35,3,13.7,148.19,29.9,39.5,13277.22,11222.16
500061,42,10.2,7519.8,6079.29,1,9.2,81.09,26.0,29.5,5420.13,4068.21
500062,37,12.5,16920.61,15141.76,3,31.5,587.55,80.8,64.8,126275.09,21764.71
500063,29,0.1,2802.07,2018.01,1,11.0,34.86,82.8,50.2,2542.11,2329.35
500064,37,3.3,1100.89,792.98,2,9.2,63.18,34.5,23.9,2932.18,3454.65
500065,39,10.0,18835.89,17521.75,5,22.5,300.74,96.1,76.3,39866.13,29712.53
500066,54,3.6,10560.64,8373.84,3,9.7,93.02,39.8,58.6,5749.43,5138.6
500067,34,7.6,4855.04,4498.51,2,9.5,56.08,76.6,24.2,4040.35,3670.51
500068,67,26.2,19173.22,17151.3,5,5.4,262.86,16.3,0.6,10458.9,9749.1
500069,54,11.9,1157.92,1217.05,2,1.8,5.0,13.2,66.8,60.51,46.26
500070,44,6.3,0.0,0.0,2,8.5,69.97,44.6,35.7,3106.95,3617.58
500071,33,5.2,22157.18,22576.22,5,22.1,187.87,81.3,35.3,20391.11,16528.59
500072,36,9.4,5720.33,4732.74,1,16.6,185.01,64.2,36.5,17990.43,14140.29
500073,40,2.1,2390.7,2072.34,3,15.2,107.63,57.3,43.6,12269.61,9288.4
500074,32,8.0,3273.9,3305.03,2,16.4,111.23,54.5,50.2,12242.91,13334.9
500075,35,4.6,7246.25,7129.89,2,13.4,190.36,55.6,20.4,18945.45,17183.58
500076,43,7.0,0.0,0.0,2,24.0,390.98,50.2,25.2,51687.77,45516.43
500077,23,1.1,1488.06,1447.06,1,9.6,5.0,99.5,43.7,241.09,169.55
500078,61,0.9,281.96,266.41,2,10.1,9.73,35.1,90.0,591.08,514.26
500079,26,5.5,1407.03,1407.72,4,2.8,75.02,60.7,34.6,1781.65,1053.29
500080,37,4.4,5170.6,5244.76,1,9.1,86.37,54.8,45.7,6680.29,3907.36
500081,41,5.2,2576.29,2312.07,3,15.7,44.43,0.0,17.3,4659.78,4782.99
500082,60,9.1,60.43,64.45,1,6.4,84.68,14.6,59.7,3612.85,3887.43
500083,39,0.4,648.58,470.74,1,4.8,26.3,22.6,77.3,927.37,542.05
500084,43,7.2,4857.2,5031.04,3,7.5,180.13,23.3,19.5,7430.35,8379.76
500085,32,2.7,3300.58,2974.57,2,13.1,100.93,85.3,55.7,9645.94,8246.47
500086,40,9.3,8656.18,8552.54,2,11.1,140.32,48.9,35.7,12123.44,13048.22
500087,46,18.5,16433.13,15064.13,7,28.8,356.95,61.9,49.5,64610.84,57368.34
500088,48,3.9,5849.46,6311.65,1,8.1,86.49,43.8,34.7,3307.03,3301.73
500089,30,6.6,3522.56,3912.06,4,10.5,100.95,48.8,28.6,7708.37,4593.38
500090,37,0.0,2453.89,1753.16,1,13.9,39.09,84.3,70.2,3620.41,3714.87
500091,35,3.5,6332.58,5352.7,2,23.1,106.21,32.2,30.2,15234.81,15703.22
500092,34,7.5,22141.83,18242.21,6,38.5,389.41,71.0,54.7,109140.94,80955.52
500093,38,12.1,1146.56,1121.9,5,27.7,534.62,89.3,37.8,106820.24,96442.34
500094,31,1.6,1766.48,1716.32,1,28.7,88.98,74.6,25.9,18098.99,14988.92
500095,65,23.7,20171.74,18814.56,4,10.4,155.45,11.4,12.0,10269.98,7067.35
500096,63,25.8,12838.73,8701.13,2,6.1,123.56,0.0,6.1,5659.87,4906.53
500097,36,5.3,19829.76,19150.77,5,20.6,168.81,87.3,63.6,28139.85,24992.68
500098,31,5.6,178.26,118.16,1,5.5,138.23,6.0,100.0,3505.85,4355.57
500099,32,6.3,4600.69,4776.04,3,12.6,68.2,19.8,24.4,4706.31,3935.76
500100,63,15.0,10231.8,10130.61,5,8.6,137.69,8.6,35.7,9132.77,5573.28
500101,23,4.2,2845.32,2406.31,1,11.5,198.01,52.0,47.4,10326.28,11201.13
500102,20,2.2,638.38,617.44,2,25.2,37.76,100.0,43.6,5098.01,5796.22
500103,51,12.0,8673.14,7840.36,4,26.8,546.22,52.0,42.2,64995.59,100612.05
500104,62,9.4,635.27,537.71,1,1.7,69.48,21.5,74.8,703.32,560.68
500105,51,1.4,0.0,0.0,5,21.6,265.35,68.5,24.7,39498.9,35277.46
500106,32,10.4,3050.11,2530.16,1,7.1,28.64,50.9,52.6,1817.44,1181.14
500107,23,3.5,2188.83,2060.71,1,16.4,63.69,100.0,60.2,7501.06,5788.69
500108,19,3.4,2944.56,2663.14,3,16.0,193.01,64.8,55.8,23736.29,27082.89
500109,43,0.0,0.0,0.0,1,4.5,77.42,0.0,65.7,2628.84,2287.12
500110,35,4.0,2827.08,2719.44,3,5.9,98.73,53.3,42.5,3641.69,3534.59
500111,43,9.5,320.06,340.83,2,17.4,98.19,24.5,40.8,12677.09,9559.68
500112,27,3.2,428.69,385.49,1,28.7,64.04,70.9,37.8,15329.33,8488.72
500113,41,7.1,6469.12,6207.25,2,12.9,136.52,47.0,18.5,12118.06,11648.79
500114,68,7.3,1597.05,1284.01,2,6.7,23.35,10.4,84.8,1064.06,1041.71
500115,53,22.5,24169.24,24668.5,5,1.6,186.04,10.4,22.8,2213.31,732.56
500116,22,4.9,5769.28,4703.68,3,13.8,61.88,64.6,44.5,4898.78,5472.31
500117,27,2.6,1582.45,1463.49,1,29.6,80.79,79.3,42.0,15465.66,16700.7
500118,54,2.7,5561.84,3379.76,3,12.2,117.0,45.3,28.7,7598.39,9907.77
500119,68,28.9,8322.87,8120.62,4,6.6,231.0,17.9,14.8,6888.51,8302.25
500120,46,9.7,2942.82,2879.82,1,17.3,177.36,49.0,48.5,23030.7,16206.12
500121,30,2.5,4257.82,3396.99,3,13.3,136.26,46.2,37.7,12452.53,11008.49
500122,24,10.0,2640.29,2308.56,1,17.4,54.03,47.6,19.4,5772.65,8383.06
500123,63,29.1,27750.09,24984.82,5,4.3,155.69,18.4,11.1,4735.34,3955.07
500124,81,26.8,20717.68,15344.76,5,1.7,208.33,9.1,12.1,2889.29,1706.12
500125,41,12.2,6653.92,6965.33,3,13.2,32.83,35.3,31.9,2992.01,2729.97
500126,71,25.4,5413.69,4929.1,2,2.3,405.94,12.5,7.8,6707.63,4203.91
500127,26,2.9,0.0,0.0,1,22.1,118.1,71.1,28.3,18900.7,14408.7
500128,40,9.4,2577.54,1993.88,3,9.6,102.35,44.1,41.1,4624.02,8204.96
500129,33,4.4,1237.79,1178.13,4,22.1,149.26,24.4,12.2,26008.06,18401.77
500130,23,2.3,3720.09,2930.31,1,36.3,78.33,92.7,28.6,14914.82,20419.3
500131,28,4.0,676.72,642.54,1,2.2,43.74,24.7,71.9,675.73,366.98
500132,34,6.5,8078.2,8860.51,3,2.9,42.98,36.5,60.7,932.02,1004.94
500133,39,2.0,4624.04,4480.82,2,27.8,66.98,61.5,38.9,14582.84,8847.29
500134,61,26.3,14354.09,12854.62,5,5.7,5.0,15.8,14.2,241.85,185.71
500135,60,2.9,322.38,322.82,1,3.7,77.84,43.1,79.8,1809.42,1783.55
500136,59,1.9,592.72,484.75,1,4.0,85.73,39.9,62.4,2201.08,1771.49
500137,37,15.4,17122.66,19685.76,3,27.5,68.29,42.0,34.0,11390.19,11474.06
500138,43,4.2,737.65,656.03,3,12.7,121.31,29.1,31.3,7478.3,9447.12
500139,44,7.0,10841.88,8623.41,6,23.2,225.35,72.4,16.5,38906.6,31000.96
500140,72,22.7,11835.67,10601.17,4,8.1,145.04,10.1,3.6,7600.9,8939.02
500141,53,4.5,2634.58,3032.81,2,2.3,49.68,50.6,45.8,667.85,547.09
500142,28,0.0,133.96,112.65,1,31.2,27.78,97.3,54.9,5918.92,5349.85
500143,29,4.4,2196.15,1925.11,2,14.0,5.0,4.5,24.1,465.59,389.2
500144,37,8.3,8323.58,6659.8,2,40.4,372.52,37.7,30.6,77336.96,102922.35
500145,33,10.2,12766.47,11452.79,5,20.3,46.82,51.2,51.4,5812.58,3789.59
500146,46,4.6,15502.28,17100.86,5,29.6,440.69,63.6,25.4,87077.66,65855.96
500147,44,13.7,14382.97,12597.57,5,18.9,350.5,86.9,65.6,50275.38,40032.2
500148,32,7.4,7744.86,7188.69,3,15.0,80.09,13.9,35.1,7700.85,8407.49
500149,39,11.5,3082.77,2762.77,5,33.5,224.82,67.4,64.0,54572.8,34063.71
500150,40,8.4,7111.07,5972.45,2,13.0,52.33,66.9,12.7,4164.04,3528.15
500151,37,8.3,5547.97,4987.69,2,5.9,60.31,44.5,76.7,1999.35,2423.87
500152,30,1.5,906.17,870.18,1,24.4,19.44,77.5,53.5,4076.41,2395.44
500153,23,0.0,1648.03,1704.68,1,15.3,67.41,79.5,23.1,6065.3,2726.78
500154,18,1.6,4322.89,3333.15,3,13.8,70.55,36.0,32.4,3787.15,4025.72
500155,71,21.3,5929.63,6781.73,4,6.1,250.59,14.7,4.3,10337.41,4972.58
500156,85,27.6,19184.6,19512.45,5,1.0,100.08,5.9,0.0,730.06,703.2
500157,40,15.0,1395.37,1327.91,3,9.7,172.93,23.9,55.8,13418.1,12255.68
500158,56,22.0,17439.04,16935.5,5,6.1,74.87,0.0,12.8,3774.28,2591.13
500159,22,3.1,1264.1,1176.02,1,30.2,54.23,100.0,40.0,11160.94,8502.67
500160,44,9.9,16251.33,14531.58,6,46.5,44.02,64.5,30.1,15146.28,11688.98
500161,54,4.1,2229.3,2289.97,3,12.9,55.02,23.1,19.2,3662.14,4242.79
500162,47,6.7,15702.4,12194.56,2,29.5,345.27,61.0,50.5,54595.45,37197.7
500163,28,2.7,2546.56,2765.23,1,34.1,61.43,94.4,37.3,11490.07,14177.21
500164,56,18.6,17667.23,20275.02,3,6.8,124.01,8.8,0.7,4933.35,4435.61
500165,53,18.6,17352.13,20337.41,4,3.5,264.11,0.0,26.4,7604.56,4224.53
500166,26,1.8,2437.59,2428.83,2,19.0,115.08,88.1,63.3,13296.97,10678.71
500167,48,8.2,6632.31,5514.43,2,13.9,5.0,55.3,33.7,425.15,375.7
500168,62,6.4,1064.57,1006.6,1,2.0,86.45,0.0,79.5,1192.95,934.47
500169,53,6.8,5367.42,3639.67,3,18.7,123.03,26.5,46.3,15471.87,6202.12
500170,41,7.8,4852.31,5415.57,3,16.3,55.0,57.1,44.1,5550.78,4330.39
500171,29,3.6,0.0,0.0,2,21.1,66.81,75.6,32.1,9221.05,5672.68
500172,45,8.3,4395.96,3633.79,1,13.7,146.33,53.7,47.4,13092.97,8452.93
500173,24,1.3,7060.92,6688.63,1,11.3,23.18,41.4,29.2,1667.22,1839.52
500174,47,6.4,2825.49,2675.52,6,32.4,117.97,77.8,33.2,32206.5,26855.94
500175,46,9.8,17116.63,14707.34,6,24.4,147.79,65.8,32.9,25126.48,22075.64
500176,46,30.9,25519.64,22416.09,3,9.2,296.35,8.2,11.5,17806.92,16762.18
500177,52,0.3,1427.22,1214.18,2,8.7,54.68,30.7,89.7,3761.04,3142.16
500178,44,8.4,1966.94,1809.13,5,34.6,472.64,66.4,39.8,144644.77,75751.93
500179,25,3.9,5274.99,4687.87,1,10.7,265.09,55.7,25.2,17229.36,15619.21
500180,63,22.5,13488.86,16082.44,4,8.7,112.94,7.7,19.6,6112.47,5332.85
500181,31,7.7,7162.07,6700.09,4,19.9,65.51,33.7,32.2,9853.69,7788.24
500182,38,12.6,13604.7,12065.14,5,32.3,298.47,58.7,42.4,78932.39,57076.14
500183,26,4.4,1367.28,1481.31,2,18.2,121.34,77.0,34.3,14576.54,18624.36
500184,18,3.2,1087.5,1188.68,3,13.3,115.74,43.1,48.3,11655.38,10176.47
500185,48,10.0,290.18,324.58,1,2.2,5.0,19.4,64.3,55.93,55.71
500186,63,18.2,34563.02,31895.19,4,8.0,306.49,11.6,32.6,13049.97,9876.13
500187,45,16.2,8587.03,8579.31,7,33.3,423.53,63.0,37.4,140948.07,71405.46
500188,60,22.7,3548.63,2666.42,4,7.0,261.96,9.7,10.4,12796.14,11342.89
500189,40,2.1,9988.88,11212.9,3,34.1,369.89,49.1,63.6,79656.98,67862.46
500190,32,2.0,136.02,117.11,1,21.1,93.6,77.9,49.3,10592.89,14085.42
500191,60,17.9,25260.99,19477.04,4,7.4,332.72,6.8,8.2,17848.24,12398.27
500192,41,5.1,499.78,523.54,3,13.5,155.95,38.7,51.7,18434.97,13003.26
500193,65,22.9,10117.87,8322.57,6,5.5,248.53,12.2,0.0,10799.91,8188.57
500194,58,9.6,11196.02,12925.77,5,21.1,410.45,73.7,63.9,48269.37,40804.51
500195,26,16.9,12773.82,11464.08,5,29.3,488.48,71.0,64.7,87178.73,89991.92
500196,43,14.3,6618.73,6631.62,3,45.4,316.01,73.6,72.1,84681.43,59952.46
500197,30,0.0,1187.41,1149.28,1,21.2,45.54,79.8,14.5,6511.05,6533.42
500198,47,3.5,1029.54,947.83,3,6.8,57.42,0.0,62.0,2852.24,1745.24
500199,33,4.7,2748.44,2425.3,2,4.5,45.36,51.5,48.8,909.64,1170.88
500200,41,7.1,1407.28,1341.55,1,6.7,86.72,34.0,100.0,3950.81,3463.63
500201,24,0.2,2329.61,2353.63,1,26.0,66.08,89.4,51.7,12422.29,8628.63
500202,40,3.5,7120.84,5409.06,3,16.3,109.81,42.3,23.9,12714.71,11643.59
500203,53,19.2,21939.0,20863.47,2,5.6,215.76,17.9,33.0,8265.91,8281.33
500204,28,2.8,3021.97,2507.03,2,7.3,38.97,78.0,26.5,1651.22,1615.64
500205,25,2.6,2607.84,2714.23,1,26.9,89.15,83.3,58.7,14966.51,16750.09
500206,69,11.2,979.19,960.61,2,10.3,91.95,22.7,81.3,5902.61,7430.26
500207,39,7.2,8619.65,9805.76,2,13.9,167.13,33.1,30.2,22376.48,9937.05
500208,72,24.6,25997.77,22099.85,5,6.0,171.65,21.1,0.0,3965.42,7049.59
500209,23,2.3,2410.28,2041.65,2,15.2,64.09,81.2,46.9,6264.74,6668.99
500210,23,0.7,2413.53,1784.48,2,20.1,135.67,86.3,33.9,16609.78,14528.06
500211,25,1.1,930.71,912.22,2,24.6,53.33,78.3,49.1,10644.6,9872.93
500212,42,3.3,222.41,231.94,2,9.0,97.87,65.3,13.3,4815.5,5957.65
500213,25,2.9,2246.63,1949.53,2,24.6,33.81,85.6,34.9,4848.23,3920.59
500214,36,0.0,626.8,483.66,2,10.4,46.36,39.3,78.4,3672.01,3279.15
500215,46,5.1,1997.22,1984.41,3,13.9,100.94,44.4,18.8,9151.67,6027.67
500216,33,9.9,4057.21,4132.92,2,17.8,134.32,46.8,52.1,15647.28,13132.98
500217,30,5.7,6700.53,7383.66,2,11.6,71.4,28.3,20.1,4287.17,4356.11
500218,21,3.3,1131.55,607.74,2,24.9,69.87,100.0,43.6,7473.28,11616.31
500219,50,1.5,1036.14,930.86,2,8.2,109.83,9.9,100.0,7436.07,2824.09
500220,27,12.3,3001.53,3003.02,1,14.4,5.0,48.0,56.2,520.48,520.28
500221,31,5.8,382.28,399.46,1,10.4,57.03,22.2,76.7,3186.77,3022.54
500222,25,1.2,923.39,793.51,1,24.3,89.33,87.0,35.3,9755.25,13172.1
500223,39,1.6,4928.92,3298.51,2,14.2,213.03,29.6,28.2,20827.89,20856.63
500224,28,2.9,681.71,675.92,2,29.7,48.32,88.3,70.8,8555.0,7664.09
500225,32,10.0,8260.48,8604.29,2,18.5,176.24,45.0,42.6,25393.4,18837.67
500226,30,7.1,1435.62,1373.46,3,36.2,282.49,67.0,33.0,47414.34,46231.51
500227,34,1.9,1819.73,1614.39,2,28.8,47.81,94.2,23.6,7018.92,7511.35
500228,23,4.0,2149.56,1790.94,2,7.3,196.11,47.8,51.2,12609.19,10635.69
500229,35,5.2,4621.57,4125.1,1,13.1,78.98,42.7,5.5,5837.92,6800.97
500230,43,8.5,1225.43,920.37,1,3.1,20.72,19.5,98.8,419.93,251.58
500231,52,8.9,165.32,130.5,5,20.3,379.06,74.4,78.6,64860.77,23507.74
500232,33,3.2,1912.34,1692.17,3,34.9,89.95,78.0,40.5,23362.55,13548.61
500233,29,3.9,1771.97,1261.23,2,24.2,125.04,84.8,41.9,23048.24,13931.91
500234,54,15.2,19732.82,16803.99,4,49.3,253.47,86.7,25.2,97870.14,43513.56
500235,37,3.7,580.0,572.83,1,2.8,38.25,3.4,78.8,868.25,543.45
500236,40,6.5,5665.72,5967.17,2,13.1,99.95,87.0,32.0,8490.08,6857.37
500237,42,3.2,7983.11,8103.49,2,16.4,106.08,29.1,22.9,10423.26,12605.24
500238,32,0.2,176.23,160.15,3,20.7,73.35,95.1,28.2,12027.43,7059.55
500239,21,2.5,3099.94,3169.88,2,20.2,43.44,74.7,71.6,4003.49,5263.19
500240,28,8.2,2872.27,3330.86,2,12.9,181.29,40.6,42.8,16932.34,9982.45
500241,26,3.7,4419.67,4640.69,3,10.4,128.03,21.9,38.2,10216.6,7544.99
500242,37,8.0,9414.41,10151.11,2,10.0,34.91,70.7,43.0,2249.88,1664.19
500243,30,1.4,3830.57,3418.71,1,19.8,38.58,81.5,87.9,5899.68,4273.95
500244,46,9.6,8004.92,6499.27,6,23.7,157.58,67.0,42.8,25400.4,21400.66
500245,63,21.6,16275.69,14336.72,5,7.2,101.66,4.0,34.3,4484.19,4704.29
500246,38,5.3,5054.11,4079.29,3,18.4,134.88,16.3,27.2,11813.1,5796.65
500247,31,0.0,3447.16,2652.56,2,13.8,5.0,83.4,34.9,447.29,417.72
500248,29,1.8,243.69,202.57,2,14.4,22.6,92.1,58.7,2107.91,1428.0
500249,64,2.8,151.59,127.49,1,1.3,110.51,28.2,81.7,977.8,913.03
500250,59,3.5,219.23,163.43,2,4.5,95.23,24.0,61.3,2383.5,2608.21
500251,26,2.0,2741.06,2562.19,2,14.3,38.14,84.1,29.3,4509.39,3317.88
500252,68,15.5,741.4,537.7,2,4.6,28.0,45.6,95.7,908.39,515.61
500253,42,6.8,339.38,365.58,1,7.2,64.31,37.6,92.4,2812.38,3798.52
500254,21,1.2,311.62,312.69,2,13.5,34.9,75.5,53.0,2503.26,2679.44
500255,55,8.4,12177.25,11411.94,3,40.3,225.29,72.4,54.0,48434.65,46733.46
500256,19,2.6,2526.12,2299.84,2,23.0,5.0,100.0,27.9,1047.39,559.55
500257,42,5.6,4440.96,4312.73,1,13.9,91.13,43.2,22.2,7243.49,5381.31
500258,65,21.7,29124.65,25507.68,4,5.8,157.06,18.0,3.2,5549.83,7785.14
500259,30,5.1,5562.82,5912.85,2,15.9,81.46,23.0,15.9,11678.12,9198.65
500260,73,19.4,14466.3,10833.33,4,4.7,109.89,12.4,14.3,4315.18,1502.04
500261,47,16.6,15791.42,15289.95,5,31.7,211.18,82.6,53.7,45351.29,34476.42
500262,33,16.5,1916.53,1635.7,2,3.5,60.19,0.0,99.9,1456.19,1015.01
500263,25,3.1,1400.94,1291.82,1,22.6,83.04,73.8,38.3,13680.48,8883.2
500264,43,7.3,7611.02,6597.54,3,4.6,243.92,55.4,56.8,8450.79,6269.09
500265,56,1.5,1130.16,1148.35,1,4.5,125.66,30.7,78.6,3154.46,2395.22
500266,56,0.0,0.0,0.0,1,5.3,20.3,7.1,100.0,779.67,561.79
500267,46,8.1,0.0,0.0,1,1.3,71.78,30.9,78.8,477.08,755.27
500268,67,24.4,18561.88,16249.22,4,2.8,217.57,24.3,7.1,4872.5,4980.32
500269,59,17.7,1080.01,746.33,5,5.5,218.81,4.5,21.8,6425.78,10197.75
500270,24,1.7,3143.34,3347.28,1,29.3,118.38,93.9,79.4,17890.88,22691.18
500271,50,4.8,5588.64,5724.56,2,12.8,174.06,33.6,37.2,8379.18,13435.14
500272,25,7.3,11866.96,11938.13,3,7.3,217.92,25.0,22.4,11050.24,8754.12
500273,53,7.3,19315.45,17292.39,5,34.3,438.36,69.1,49.7,83238.79,121244.24
500274,44,0.9,4843.74,4147.2,4,21.4,132.15,50.6,8.2,15865.01,9789.22
500275,67,23.4,17388.82,16858.4,4,5.8,205.33,16.6,0.0,7803.42,6454.95
500276,29,2.9,394.63,360.01,1,20.9,62.36,100.0,67.7,10105.31,7778.9
500277,28,0.5,1673.65,1657.35,2,25.1,94.74,100.0,57.0,15638.13,12128.52
500278,50,9.7,442.62,402.87,1,2.7,97.47,29.8,93.9,1593.93,1686.77
500279,39,6.8,8077.24,5908.31,3,27.6,28.05,65.6,38.3,5157.7,3899.85
500280,32,3.0,3444.62,3123.16,2,17.4,117.86,75.2,51.0,15056.13,12982.69
500281,28,5.4,1876.46,1584.36,3,11.4,156.74,21.2,66.6,13487.37,10168.57
500282,52,9.3,1145.19,889.4,1,4.0,64.56,42.4,36.1,1435.39,959.42
500283,24,2.4,3545.48,3203.51,1,22.8,51.07,75.0,38.5,9031.83,7286.16
500284,36,8.9,2305.8,1942.47,3,15.2,98.55,37.9,19.6,9754.17,7578.85
500285,45,5.7,6246.49,5943.3,2,14.7,141.5,22.5,78.0,13308.88,9291.86
500286,67,22.3,26529.11,27525.94,4,7.7,288.87,14.7,2.8,15024.45,9453.98
500287,31,1.3,2225.46,2241.1,2,23.9,5.0,89.7,53.2,679.13,726.79
500288,48,0.0,5117.93,4462.17,1,10.4,26.22,54.5,29.6,1787.63,1631.81
500289,34,11.6,2645.03,2485.59,2,17.6,215.04,28.2,52.3,24213.36,17584.89
500290,28,3.7,375.25,336.68,2,8.3,87.42,75.5,19.3,5290.38,3493.99
500291,74,29.3,21174.49,14394.31,6,4.6,5.0,19.7,0.0,148.23,118.97
500292,28,2.8,1636.04,1549.83,1,26.7,32.21,84.3,52.6,3980.34,5208.01
500293,36,3.1,488.87,422.02,2,9.8,5.0,0.7,61.7,421.66,261.73
500294,43,6.9,423.0,384.05,1,6.3,111.87,12.6,79.2,4429.35,4289.79
500295,40,9.7,497.78,407.57,1,7.6,82.74,28.4,84.3,4179.47,3277.72
500296,58,6.7,13080.98,11342.58,4,26.1,11.02,82.6,66.3,1920.72,843.93
500297,30,2.7,3353.13,3273.84,2,28.2,32.56,82.0,52.6,5123.53,3644.14
