Customer_ID,Annual_Income,Monthly_Income,Income_Growth_Rate_Pct,Disposable_Income,Total_Debt,Credit_Card_Debt,Debt_to_Income_Ratio,Number_of_Credit_Lines,Payment_History_Score,Late_Payments_Count,Avg_Days_Late,On_Time_Payment_Pct,Credit_Utilization_Pct,Total_Credit_Limit,Available_Credit,Oldest_Account_Age_Years,Avg_Account_Age_Years,Employment_Tenure_Years
900039,112266.44,9202.88,11.6,30724.35,0.0,1525.23,18.47,8,674.47,4,7.71,92.64,30.26,32492.32,20125.6,21.75,9.06,14.68
900040,92755.26,7671.96,7.34,22075.47,21048.34,3085.58,26.17,3,630.37,5,11.32,84.35,20.0,14924.83,7696.6,4.11,6.57,7.1
900041,123051.45,10344.04,6.75,20387.49,24693.63,2975.27,14.18,5,535.96,0,6.32,83.42,44.24,13498.24,13872.4,8.88,5.81,11.18
900042,53875.39,4542.31,1.41,14921.61,56105.21,6990.21,45.76,6,767.63,1,0.0,98.11,43.61,17044.73,12516.75,15.49,14.11,9.72
900043,104457.19,8672.27,8.69,26388.84,0.0,0.0,17.35,7,755.35,1,2.98,89.39,41.01,19170.58,15004.14,7.56,5.97,8.28
900044,87388.17,7242.14,9.41,21857.25,33425.89,3697.21,30.53,8,850.0,0,0.0,100.0,12.88,33239.59,23027.31,20.12,11.44,13.53
900045,111639.95,9159.65,7.77,23706.52,33123.83,4503.04,26.16,8,609.29,4,10.19,78.73,40.65,27479.71,16947.31,19.41,10.38,15.57
900046,28576.9,2377.11,1.55,5814.75,64722.66,8701.13,38.87,5,626.77,2,5.75,78.46,53.57,14660.09,4275.54,7.21,5.78,8.13
900047,81078.32,6951.05,2.25,19464.12,27082.4,6303.86,33.97,6,657.81,6,4.02,97.67,41.74,26896.36,14948.26,21.98,9.8,7.52
900048,15000.0,1258.35,-3.11,500.0,68835.17,10068.24,54.9,3,741.85,4,6.83,91.08,52.49,12661.17,0.0,8.61,4.34,4.82
900049,89359.46,7368.33,5.33,18423.37,27848.98,4101.23,27.17,6,689.01,3,8.08,89.45,22.4,20511.56,13378.02,18.92,10.23,8.16
900050,74885.18,6261.77,5.79,15007.45,49094.02,7302.54,30.54,6,646.71,8,18.55,77.08,41.18,18883.74,6311.95,10.22,5.28,4.72
900051,89662.07,7458.37,8.14,17651.02,14071.69,6744.92,34.19,5,510.86,4,8.94,80.24,41.76,12477.99,7044.82,4.94,3.12,3.92
900052,44519.15,3696.67,0.51,9336.94,37112.75,9283.16,58.9,8,530.7,6,11.68,84.9,48.26,25932.36,19656.3,19.98,11.77,13.53
900053,72140.68,6056.47,7.57,15000.41,17172.01,5193.94,32.35,3,494.35,6,5.56,85.86,44.58,500.0,0.0,0.5,0.2,0.32
900054,71196.68,5988.82,6.5,14761.18,37522.62,8227.27,34.82,8,589.66,2,10.92,96.65,46.06,30754.92,16467.26,19.59,8.46,10.19
900055,19167.7,1591.19,2.73,5644.93,59076.16,10532.09,48.31,5,567.84,7,9.24,76.36,58.03,15366.99,9209.71,9.91,7.14,2.61
900056,85398.13,7016.33,4.95,11158.13,35891.67,6520.69,33.7,4,534.72,8,15.87,73.04,62.32,5615.02,6660.6,6.92,5.19,5.2
900057,76210.23,6318.34,2.7,9444.97,26890.01,10135.4,34.38,5,537.5,8,17.15,83.61,49.69,13347.35,6014.81,9.6,5.63,8.44
900058,36270.49,2961.86,2.8,4782.34,46507.69,11389.58,40.49,6,691.81,1,0.0,93.16,52.85,24092.9,12951.02,21.06,9.6,11.47
900059,102609.73,8603.78,3.47,22941.33,3626.58,5873.69,27.36,6,703.06,5,4.72,89.02,34.23,15182.15,11854.32,12.19,6.25,7.4
900060,46307.83,3812.17,4.45,6353.42,69540.05,11759.39,37.1,8,732.76,0,5.69,100.0,43.15,33541.63,16852.93,29.21,13.09,12.46
900061,42601.82,3553.3,0.84,3886.53,69956.76,7306.14,48.59,8,627.72,6,12.87,85.98,62.18,14883.54,11583.31,15.82,9.39,10.02
900062,27453.51,2283.56,-2.29,1478.35,62836.79,10419.86,48.72,7,664.07,1,9.84,88.54,53.7,11431.43,2796.56,12.08,7.59,1.59
900063,15000.0,1254.59,2.13,7151.33,62670.54,11844.15,50.29,4,642.93,6,6.01,88.81,50.54,11321.84,4060.34,10.85,5.04,3.02
900064,81699.49,6773.08,4.12,15837.43,19306.01,2461.55,23.4,7,553.57,3,8.85,86.77,49.79,24446.49,15072.75,10.64,7.63,5.87
900065,127727.54,10845.33,6.2,33573.3,0.0,1515.54,8.67,7,666.58,3,6.53,88.51,20.56,25584.19,15642.74,13.53,4.72,7.47
900066,28241.91,2365.27,1.31,8574.43,45584.18,9072.82,33.75,3,638.04,7,11.11,79.36,56.63,12064.06,2042.98,6.4,5.78,2.17
900067,65514.69,5394.41,3.96,13414.83,34666.54,4854.96,26.51,3,669.06,5,2.72,96.02,37.54,22999.97,7442.96,14.7,8.67,9.04
900068,71997.1,5967.85,2.94,13609.14,29359.06,5568.07,35.63,4,711.99,3,5.43,91.53,43.7,18173.56,9384.32,14.73,8.2,7.63
900069,104959.47,8714.64,9.42,25526.37,0.0,2682.5,21.2,9,677.28,5,2.89,89.95,46.17,26970.78,24525.96,21.97,13.19,13.71
900070,123939.66,10213.6,9.65,30982.97,0.0,0.0,5.92,6,698.65,3,8.92,88.09,22.53,22100.03,20449.44,4.53,4.88,3.33
900071,86332.25,7245.66,5.5,16067.05,33651.57,6356.37,28.18,8,593.07,5,10.25,69.39,37.05,21622.42,19584.84,21.41,9.22,7.33
900072,57440.99,4765.46,2.15,13112.29,42865.37,7214.05,22.16,3,739.26,1,6.74,88.47,52.9,7528.0,6526.66,1.18,2.98,0.0
900073,97384.04,8127.63,8.66,20686.02,15187.32,2212.25,23.2,5,811.03,6,1.76,92.08,25.41,22652.29,14984.7,6.89,5.21,13.65
900074,89457.42,7451.05,6.44,23444.77,13330.34,4846.46,30.1,6,753.05,2,6.78,89.05,39.67,23082.63,9328.64,9.79,7.17,8.39
900075,64482.79,5422.27,4.99,10767.3,56590.64,7096.58,36.45,7,738.99,0,5.54,97.04,26.97,30114.81,14870.29,23.11,13.65,17.66
900076,69740.88,5704.53,4.44,12447.67,38350.0,9855.4,30.14,6,485.32,6,13.71,75.19,60.97,22196.93,15548.09,19.99,9.77,11.3
900077,29724.06,2496.86,-0.39,5047.54,42217.11,8689.52,32.29,5,561.98,7,6.21,79.22,67.55,5525.06,3483.68,5.28,3.91,4.31
900078,71280.38,5999.2,3.33,5920.26,27459.74,4998.14,39.14,4,603.68,7,6.41,72.54,41.56,15968.69,5857.4,5.1,5.18,0.0
900079,31436.06,2631.02,0.44,6219.59,66213.15,12364.3,37.58,5,412.8,8,10.11,83.38,70.37,5234.71,1110.82,5.39,2.97,0.0
900080,100605.96,8479.79,5.73,30365.85,9516.01,4383.23,24.92,7,783.48,1,1.46,100.0,39.66,25115.2,18437.1,8.54,6.68,9.12
900081,96835.05,7959.76,7.44,25074.16,0.0,3409.85,16.13,3,772.16,3,0.0,90.34,43.99,19788.01,8350.57,8.37,2.77,8.45
900082,21189.79,1782.96,-0.64,3948.33,62744.91,11242.62,40.71,5,721.66,0,3.38,91.42,47.46,11824.66,5974.01,11.24,4.62,1.91
900083,30793.52,2586.28,-2.1,2322.3,56297.94,12916.42,44.92,4,673.89,5,6.92,84.42,70.78,10260.1,8264.78,9.57,7.55,4.57
900084,40315.24,3364.66,2.19,5266.1,56856.26,8661.62,36.76,3,609.92,3,2.12,82.18,55.48,17536.07,7014.22,11.88,5.24,7.69
900085,56395.02,4683.61,3.12,17844.27,39410.32,4593.49,34.59,7,751.23,2,5.08,79.22,39.68,14231.8,12024.17,14.03,8.65,6.67
900086,88653.7,7483.38,8.31,29163.75,23017.01,4424.88,21.31,7,688.4,5,5.58,93.79,42.87,25619.99,15531.26,11.15,9.6,9.11
900087,71099.45,5899.84,4.75,15495.67,45465.01,7559.57,35.0,7,359.76,11,12.6,71.39,39.73,14427.02,11039.64,7.17,4.35,7.65
900088,122198.28,10270.09,5.82,21675.4,11568.54,4469.89,37.56,8,638.54,7,11.27,80.21,37.19,24907.69,17976.46,16.35,9.26,10.55
900089,15000.0,1256.62,-1.83,500.0,60529.86,9060.19,51.03,4,377.06,11,11.39,70.2,74.99,7174.96,0.0,8.8,1.89,5.43
900090,70474.66,5878.28,-1.32,8431.73,40144.91,11431.41,35.66,5,589.28,8,2.16,81.13,52.56,11318.0,4817.11,7.21,5.51,8.16
900091,80896.75,6745.34,0.2,6963.98,38562.6,4347.99,29.95,5,843.52,0,0.0,100.0,23.9,16514.97,14337.08,10.99,5.16,6.95
900092,44678.43,3723.93,0.84,10721.13,54402.65,8527.29,34.48,5,667.21,2,10.92,80.69,58.06,18715.46,9633.33,10.55,6.26,4.4
900093,28658.64,2417.98,2.35,500.0,50743.13,11573.99,33.52,4,436.17,10,16.53,72.59,64.2,7284.99,0.0,6.67,3.72,3.74
900094,82562.54,6853.53,5.6,13918.86,20399.22,5023.65,28.44,5,670.81,0,9.57,97.67,23.27,16349.45,20021.86,13.55,6.31,7.86
900095,67625.29,5587.64,4.55,20899.19,22964.57,9156.66,34.42,5,599.47,6,7.3,79.99,51.85,15853.45,10047.15,11.78,6.0,9.65
900096,99054.39,8233.94,6.93,20434.65,37020.64,4920.21,29.34,7,535.77,9,3.8,71.38,46.89,20168.14,20005.3,14.65,9.32,8.18
900097,27387.38,2274.03,4.23,500.0,62171.51,9067.53,50.62,8,718.14,6,6.11,89.3,52.63,25764.12,12850.75,18.82,8.96,5.23
900098,112021.94,9353.56,4.49,23833.32,13474.72,2768.46,15.97,9,521.67,5,5.67,90.31,47.38,27219.88,23284.21,17.95,10.23,14.77
900099,109592.5,9249.97,5.22,27572.82,16681.45,6095.05,28.75,8,492.38,7,15.54,84.74,40.18,31459.06,24471.26,17.85,10.65,12.12
900100,115926.87,9661.42,10.22,32136.54,0.0,1398.71,11.13,6,850.0,0,0.96,100.0,17.66,31824.11,23283.43,14.8,9.38,10.1
900101,68605.66,5714.85,3.02,13614.76,46610.72,4325.34,20.71,6,850.0,0,3.77,100.0,31.55,23458.77,18954.43,20.79,7.19,10.56
900102,53984.52,4470.47,3.33,9340.13,39031.91,10074.11,29.83,5,642.67,6,0.02,88.24,57.5,20107.82,8217.11,16.43,8.79,7.8
900103,60424.11,5063.35,5.48,16124.99,19259.94,5657.1,29.43,3,801.12,3,9.26,88.57,16.71,19726.15,17037.96,5.55,5.64,7.18
900104,71251.07,5930.25,3.61,9959.37,34514.11,7729.03,17.4,3,451.65,8,10.62,69.55,47.49,11503.16,7185.46,3.71,3.43,4.27
900105,95741.3,8066.57,5.38,25060.32,38545.57,5124.47,29.62,10,703.81,3,4.96,86.19,25.36,34840.21,19999.15,24.97,16.09,13.91
900106,15000.0,1248.54,-4.27,500.0,65097.84,13343.02,55.21,3,565.37,11,15.52,77.11,69.97,7119.81,4586.46,11.84,7.48,1.18
900107,53591.21,4487.81,3.32,18390.68,43496.65,8597.91,33.95,3,629.54,5,11.11,86.0,67.16,963.23,540.94,3.28,2.32,2.67
900108,79677.16,6676.93,0.86,16822.68,21997.47,9037.49,27.87,5,714.27,0,4.33,92.41,45.13,19187.7,12826.06,13.71,5.37,9.24
900109,38722.54,3220.05,4.55,2347.66,71034.94,7647.36,38.43,4,545.31,6,17.61,79.08,82.9,13357.56,5651.33,6.93,8.42,6.38
900110,49732.85,4157.17,1.31,8060.85,71290.06,8617.96,41.73,6,473.58,6,7.47,85.81,45.25,20029.4,15110.45,18.66,9.57,10.61
900111,108106.98,9024.27,9.26,24397.12,0.0,5781.96,21.35,3,615.27,4,11.39,80.38,35.69,11983.66,10049.56,0.5,0.69,5.8
900112,93297.69,7805.1,3.66,17164.0,32048.26,4837.48,31.49,7,583.85,7,9.84,69.83,44.49,28013.76,12671.75,14.53,7.23,7.96
900113,54418.12,4527.54,4.63,8258.66,53702.11,7856.56,36.21,7,842.41,0,0.0,96.69,42.0,26426.35,16740.88,19.88,10.31,14.62
900114,119215.16,10065.16,6.47,33385.76,0.0,1539.23,18.93,5,805.07,1,0.57,100.0,21.97,30163.19,19415.53,11.48,4.65,6.59
900115,67757.43,5685.01,4.52,15746.18,33354.78,8725.29,32.34,6,649.65,2,10.29,80.4,62.72,16185.96,7974.51,10.01,2.14,6.57
900116,55116.9,4594.3,1.55,6948.48,59025.47,8197.47,38.04,4,607.28,6,8.35,86.49,50.68,10075.79,1423.38,4.11,5.71,0.84
900117,54217.04,4532.26,5.77,4003.96,49673.06,9328.45,42.56,6,751.08,3,3.1,92.49,43.54,19041.54,10955.27,15.17,8.08,9.25
900118,40136.4,3379.59,0.26,13251.15,56827.12,7475.65,41.61,6,662.7,4,1.87,85.31,51.55,20603.74,10316.58,8.39,6.34,7.17
900119,81283.98,6749.2,7.89,27688.57,16758.23,7960.08,30.21,5,808.15,0,0.41,96.56,21.88,26466.74,10391.28,13.05,6.41,8.68
900120,71706.66,5936.87,1.29,9406.06,61157.16,9777.48,46.6,4,370.61,13,22.56,67.18,59.08,21050.44,11637.39,16.92,8.43,7.23
900121,84999.33,7123.57,2.34,20439.6,42301.38,8244.28,31.34,4,472.18,8,8.44,75.2,58.85,18341.82,9756.36,8.64,6.11,6.54
900122,51065.33,4208.9,-1.61,8940.32,54527.15,8142.72,33.44,5,597.19,4,8.69,83.71,28.73,23891.58,15421.6,10.49,7.8,6.39
900123,61756.96,5186.57,5.01,17464.76,4933.98,4189.29,24.72,6,712.94,5,2.83,94.96,39.13,20956.22,16237.52,8.32,6.09,10.02
900124,32506.45,2658.28,6.42,14212.66,51527.87,9260.41,33.7,6,699.59,3,5.25,94.34,44.0,18372.65,15843.48,15.98,10.73,5.61
900125,74382.96,6284.08,5.33,26503.79,21950.81,3574.74,22.96,6,776.99,2,3.3,100.0,47.28,19181.47,16104.63,15.69,6.31,6.37
900126,34896.55,2934.77,0.74,1525.31,45812.83,8901.87,40.13,3,537.8,9,3.58,78.11,62.86,4893.53,0.0,0.5,0.45,1.94
900127,85335.66,6911.01,0.76,21762.47,10480.41,2549.61,13.99,6,788.33,0,4.18,93.31,33.31,23192.42,19220.41,17.49,7.44,9.45
900128,98964.88,8249.32,8.41,21706.62,18998.79,3184.35,23.24,6,647.35,2,3.27,89.51,42.21,18978.23,17660.23,14.65,5.06,11.27
900129,76627.09,6426.76,5.03,17098.12,52330.58,6632.07,33.95,7,749.16,0,8.79,95.16,32.58,16628.1,10906.66,17.36,9.85,11.56
900130,65694.9,5429.61,2.83,17825.67,31834.09,5715.61,31.42,6,546.27,8,11.15,90.15,41.91,18569.17,16783.85,12.42,9.21,9.65
900131,54480.78,4607.27,0.27,15318.89,37925.62,7795.4,35.26,5,648.83,1,11.77,82.47,56.54,10356.15,0.0,3.52,0.93,1.31
900132,78217.71,6562.33,0.47,17840.28,19304.18,7179.87,35.37,7,607.99,6,6.41,81.74,48.63,19615.93,16058.94,14.87,7.01,11.61
900133,69813.47,5800.33,3.41,20569.22,33962.62,4505.39,26.49,4,675.2,5,8.62,90.46,41.38,19830.48,12007.47,9.77,8.1,7.8
900134,88576.17,7297.17,4.26,25628.47,17378.25,5172.45,21.85,7,534.64,7,13.67,83.51,47.16,28584.84,15656.05,15.41,6.37,8.53
900135,15000.0,1246.57,-0.67,3716.06,75803.54,9642.46,42.08,3,750.76,0,6.97,98.15,52.2,11506.86,3937.37,12.38,4.93,7.16
900136,64679.83,5311.6,3.31,13654.66,45763.13,11209.65,33.72,8,678.72,6,9.54,94.91,50.24,16022.22,9523.79,11.8,4.96,8.88
900137,95378.11,7912.41,-0.51,16883.8,28913.51,9326.35,24.49,7,451.92,7,15.24,76.92,48.52,27964.11,17076.15,22.02,10.18,9.48
900138,45969.54,3818.98,1.42,3160.06,54252.1,9053.59,51.29,5,592.63,6,7.31,87.77,52.79,13070.31,6975.65,15.52,7.62,8.41
900139,48848.15,4098.11,1.84,500.0,47460.67,11204.86,39.67,6,510.85,1,13.15,82.37,46.29,9313.12,5343.69,13.79,6.08,6.42
900140,92301.26,7564.64,4.2,18055.01,8115.31,3235.66,29.43,4,594.79,5,7.25,81.91,56.96,7723.67,9214.17,2.23,2.71,2.6
900141,62226.25,5205.78,5.06,15063.82,44165.04,5426.08,33.07,6,646.89,4,6.97,84.77,46.75,11775.54,6994.17,10.78,7.81,8.26
900142,114134.3,9583.32,6.55,31827.24,13538.03,4148.05,21.63,8,506.27,6,11.36,83.88,26.86,25683.89,13312.04,15.35,8.43,6.56
900143,76325.64,6274.09,4.65,25071.92,17405.75,6894.01,24.08,7,850.0,0,2.71,100.0,29.09,25577.49,16742.39,10.84,7.67,15.96
900144,87206.5,7357.43,3.18,19315.49,20859.9,2995.34,24.32,5,838.55,1,4.22,100.0,27.02,25388.7,13656.06,16.7,5.35,4.48
900145,46460.7,3906.36,5.17,17020.33,35981.41,5868.0,40.37,8,763.21,5,7.11,99.25,28.83,25180.1,14203.83,19.09,10.83,11.4
900146,69425.95,5802.34,5.67,9818.6,38779.13,7931.26,33.83,7,606.72,6,7.03,77.98,54.87,18200.96,7322.17,8.91,3.71,4.19
900147,64473.67,5325.24,4.05,15171.59,40499.56,4346.42,41.1,5,735.19,4,5.61,97.86,47.95,19602.62,6273.93,14.25,6.24,7.62
900148,38630.12,3235.93,0.54,15378.13,29733.45,7104.48,34.19,2,514.57,9,11.02,78.44,48.38,8959.77,7370.51,0.5,0.2,0.86
900149,15000.0,1254.31,7.51,4345.15,77253.8,6648.61,46.5,4,657.1,6,5.72,87.65,44.79,15213.17,5158.27,12.95,8.28,4.56
900150,57923.03,4784.76,4.23,13913.01,50001.46,6201.58,23.89,4,706.81,6,6.07,87.45,44.66,14222.14,6436.6,11.06,4.52,5.62
900151,101922.23,8324.61,5.11,11311.45,28458.64,7701.94,27.45,6,731.69,6,4.51,100.0,47.48,22536.44,13775.6,18.44,7.68,11.27
900152,36500.07,3058.11,1.31,5397.2,34748.52,9902.73,36.83,4,567.12,5,6.15,73.93,59.98,4701.41,3071.77,0.5,0.2,2.74
900153,48020.66,4028.83,3.08,5721.21,59826.27,6183.39,47.68,5,850.0,2,4.4,98.56,43.11,20428.53,16150.16,14.6,9.58,10.68
900154,43506.49,3659.21,0.89,10524.53,39012.93,7292.4,38.08,6,676.21,3,3.25,90.14,46.33,14858.32,3637.45,9.06,5.65,4.79
900155,98936.67,8306.8,7.43,23074.96,7524.7,4101.13,12.24,8,765.52,4,6.39,86.58,24.89,26352.74,15036.67,15.93,6.97,13.65
900156,121531.43,10026.64,7.93,28503.19,14395.18,4260.3,30.87,7,712.22,2,8.74,92.24,34.67,31331.71,19674.13,19.93,11.5,14.94
900157,70428.19,6024.33,6.23,22906.4,13268.48,4673.25,26.69,5,576.32,6,12.31,78.13,54.33,26136.88,14144.73,12.42,6.72,9.32
900158,67074.52,5625.6,-0.77,10807.62,28765.95,7339.93,36.73,5,599.53,4,9.63,89.24,60.37,500.0,966.88,5.61,4.7,1.92
900159,101733.56,8469.03,8.19,20063.42,25339.33,1192.78,30.27,6,703.65,0,3.3,92.57,22.09,30968.51,19066.33,19.01,8.2,11.96
900160,20620.58,1698.93,2.05,2241.46,68974.9,12661.82,45.49,4,454.68,7,13.95,74.04,81.28,14286.18,3803.63,9.1,6.17,4.37
900161,71058.72,5953.14,4.65,16794.81,24754.22,1316.24,34.54,4,665.44,2,7.86,81.2,52.97,24256.58,7168.07,9.24,6.36,7.29
900162,64255.11,5451.09,4.87,19095.88,45271.34,7029.87,24.14,6,608.73,5,9.87,86.77,50.65,17111.09,0.0,11.26,3.89,8.16
900163,129450.33,10884.08,6.61,27778.39,0.0,0.0,8.75,4,713.04,4,11.83,88.96,9.2,22272.14,17000.79,8.86,4.4,6.05
900164,88602.47,7563.37,4.21,21108.15,28230.28,2899.79,22.76,5,578.57,7,5.54,78.32,52.41,17765.74,8414.11,4.89,4.46,4.73
900165,42033.41,3516.0,0.36,13938.32,52630.69,9602.17,43.96,8,616.6,8,7.84,88.98,68.77,24520.75,16080.16,17.25,8.87,10.13
900166,91961.63,7514.71,3.89,15092.73,34919.18,8687.24,39.63,8,625.32,8,9.62,82.12,51.99,19836.81,14123.34,12.2,8.3,6.83
900167,48728.97,4154.54,2.54,10036.18,58573.82,8257.67,39.45,2,376.15,12,11.8,69.93,76.68,9862.42,1921.37,6.5,3.93,1.39
900168,80343.18,6773.52,1.7,21789.5,28993.37,4553.27,31.45,7,642.49,3,8.99,83.59,36.0,21284.71,16008.2,14.87,6.71,14.02
900169,45508.59,3774.76,4.74,16364.06,43215.39,5342.14,20.86,6,837.95,0,0.0,100.0,45.14,9476.54,1510.09,3.72,3.07,3.1
900170,72223.61,6034.79,1.99,17974.34,25131.58,2003.6,33.42,6,557.32,9,11.68,72.47,40.91,11840.31,11755.09,9.04,3.93,9.79
900171,90096.53,7519.31,8.06,17557.73,28645.24,4738.2,28.78,4,505.96,6,12.88,85.29,45.2,21534.93,7388.72,10.53,6.35,5.54
900172,51281.59,4265.21,2.09,5079.05,57242.65,10745.46,34.51,4,623.35,3,9.39,93.17,60.36,21238.63,5929.15,15.7,8.19,4.92
900173,94218.43,7822.55,7.3,24462.1,15159.75,3650.98,16.67,6,659.75,6,10.9,82.85,45.0,25545.78,19089.81,16.55,7.16,6.57
900174,15000.0,1260.68,2.19,500.0,75696.79,15940.41,48.46,4,522.2,5,6.26,84.46,58.92,5397.33,0.0,8.27,3.92,3.39
