ATM_ID,X_Coordinate_km,Y_Coordinate_km,Daily_Avg_Transactions,Cash_Utilization_Pct
ATM016,0.42,1.73,222,83.3
ATM149,-0.17,14.66,93,66.2
ATM029,0.74,0.76,181,80.0
ATM035,-2.23,0.56,281,77.3
ATM091,-12.23,-9.36,77,45.1
ATM154,26.44,-12.59,16,34.1
ATM115,-11.16,-10.14,120,56.3
ATM060,15.32,16.44,131,59.3
ATM160,-21.95,-7.61,41,43.4
ATM093,-14.84,-12.74,56,64.3
ATM038,-2.47,0.2,179,77.4
ATM030,-0.55,-0.61,204,76.0
ATM080,4.18,13.29,155,62.0
ATM071,8.81,15.55,134,61.3
ATM075,5.65,15.85,92,62.2
ATM157,-5.76,13.61,51,40.3
ATM055,17.62,15.43,100,53.5
ATM161,-13.32,18.31,51,26.4
ATM058,17.54,14.96,97,69.6
ATM040,-1.26,-1.78,183,85.2
ATM089,-12.2,-9.93,120,50.8
ATM067,10.94,16.68,157,59.5
ATM003,1.71,-2.16,233,86.7
ATM065,12.13,16.91,163,57.7
ATM142,-1.27,10.52,83,38.5
ATM136,-4.26,8.74,120,41.7
ATM147,0.27,13.15,104,50.5
ATM072,6.87,17.07,191,55.6
ATM026,0.58,2.64,232,73.7
ATM017,-3.17,-0.99,186,85.2
ATM078,5.35,13.33,166,51.6
ATM056,17.06,14.5,137,60.3
ATM096,-15.7,-9.98,129,77.1
ATM105,-12.32,-9.5,64,51.4
ATM019,0.6,-1.99,179,88.7
ATM034,-1.19,1.6,229,80.4
ATM044,-1.09,2.12,208,80.1
ATM050,19.93,11.93,118,71.4
ATM169,5.3,25.66,57,14.1
ATM090,-13.57,-8.02,111,57.3
ATM006,2.75,0.17,243,63.3
ATM018,0.57,0.22,267,70.2
ATM117,-12.82,13.01,110,46.8
ATM032,2.21,-0.22,175,83.7
ATM041,-1.91,0.35,236,76.7
ATM144,-0.75,11.28,125,52.3
ATM020,-1.69,-2.23,203,89.2
ATM101,-13.3,-7.05,108,64.3
ATM057,18.05,15.18,174,67.2
ATM124,-11.21,10.73,96,54.9
ATM053,19.88,13.63,198,54.0
ATM111,-12.35,-11.19,96,50.7
ATM094,-13.85,-9.69,127,52.3
ATM156,0.5,6.12,33,39.9
ATM037,1.57,1.39,174,68.0
ATM047,20.92,9.64,187,62.7
ATM165,8.08,-5.16,27,20.5
ATM063,13.18,16.52,166,55.7
