Applicant_ID,Age,Annual_Income,Loan_Amount,Credit_Score,Employment_Years,Num_Dependents,Existing_Loans,Home_Ownership,Purpose,Default
700032,56,76007.31,12784.91,576,7.2,2,0,Mortgage,Debt_Consolidation,0
700033,32,21546.02,23944.69,714,12.5,4,0,Own,Debt_Consolidation,1
700034,51,66016.64,6443.28,764,15.2,1,2,Rent,Medical,1
700035,41,75155.08,21253.41,618,18.1,1,2,Rent,Debt_Consolidation,0
700036,44,61714.41,29531.6,467,11.4,3,2,Mortgage,Other,1
700037,63,62066.51,15934.37,689,14.6,1,2,Mortgage,Debt_Consolidation,0
700038,57,88444.61,19986.69,510,0.0,1,2,Rent,Debt_Consolidation,0
700039,58,63573.1,16509.22,816,5.2,0,3,Rent,Debt_Consolidation,0
700040,45,57661.53,24463.6,674,6.1,1,0,Mortgage,Auto,1
700041,65,50098.84,1215.3,707,13.2,1,0,Own,Medical,0
700042,65,73923.52,1000.0,674,0.4,4,1,Rent,Debt_Consolidation,0
700043,27,51192.99,7675.81,739,7.6,0,2,Mortgage,Medical,0
700044,30,73957.6,10078.7,713,0.0,0,3,Mortgage,Other,0
700045,34,60583.02,25941.68,688,8.3,3,0,Rent,Other,0
700046,45,85417.73,29928.52,669,15.5,1,2,Mortgage,Other,0
700047,58,39052.7,22041.24,511,1.8,3,3,Rent,Home_Improvement,1
700048,42,59947.67,28712.07,709,6.3,4,1,Mortgage,Debt_Consolidation,0
700049,65,66558.37,12155.06,624,2.9,0,3,Own,Debt_Consolidation,0
700050,36,68101.89,10856.59,672,8.8,1,1,Mortgage,Debt_Consolidation,0
700051,62,85429.2,1000.0,734,0.0,4,2,Own,Debt_Consolidation,0
700052,47,67625.98,27815.43,573,9.5,1,0,Mortgage,Debt_Consolidation,1
700053,53,79939.78,21565.84,578,8.2,4,2,Rent,Debt_Consolidation,1
700054,31,105398.98,15793.46,722,0.0,3,2,Rent,Auto,0
700055,47,78439.51,2706.65,584,11.8,1,3,Mortgage,Home_Improvement,0
700056,57,32616.59,5981.33,605,12.9,0,2,Rent,Debt_Consolidation,0
700057,60,23721.68,21046.75,609,7.9,3,1,Mortgage,Medical,1
700058,60,74249.45,16087.28,704,11.4,3,2,Own,Debt_Consolidation,0
700059,64,49025.5,27121.92,622,5.5,1,0,Mortgage,Auto,1
700060,26,65108.27,18015.4,666,6.2,3,1,Mortgage,Auto,0
700061,56,53920.25,9120.8,770,15.5,1,1,Rent,Auto,0
700062,42,89580.75,4335.18,698,6.9,0,0,Mortgage,Other,0
700063,51,86977.62,16085.83,693,6.5,3,0,Own,Auto,0
700064,33,30952.77,32465.21,644,0.0,3,0,Rent,Debt_Consolidation,1
700065,21,64666.88,35948.48,612,0.0,1,3,Rent,Debt_Consolidation,0
700066,24,50844.7,8759.77,514,1.7,3,2,Rent,Debt_Consolidation,1
700067,64,26566.23,21250.11,629,17.7,2,0,Own,Debt_Consolidation,1
700068,61,73663.06,8890.8,746,4.4,3,3,Own,Debt_Consolidation,0
700069,34,54621.83,18733.04,815,12.3,4,0,Own,Other,0
700070,40,68733.63,1000.0,597,10.5,0,0,Mortgage,Home_Improvement,0
700071,31,117656.83,9777.02,650,2.4,4,1,Rent,Medical,0
700072,27,90023.59,1000.0,694,6.0,0,1,Mortgage,Debt_Consolidation,0
700073,59,84627.39,30626.74,676,5.8,4,3,Rent,Other,0
700074,51,48257.03,12177.35,612,8.7,1,3,Mortgage,Auto,0
700075,24,29627.68,20701.86,435,10.1,4,2,Own,Medical,1
700076,30,88084.49,16394.62,606,8.3,4,1,Own,Medical,0
700077,46,50766.48,2705.45,587,14.7,1,1,Rent,Other,0
700078,61,59129.97,22277.06,618,7.8,1,3,Rent,Auto,1
700079,65,49005.93,26894.37,633,13.9,0,2,Mortgage,Auto,1
700080,30,60455.92,18323.37,584,13.2,0,3,Mortgage,Home_Improvement,0
700081,48,115921.84,21603.34,667,0.0,1,0,Rent,Home_Improvement,0
700082,22,50468.84,27198.47,587,9.2,2,3,Rent,Home_Improvement,1
700083,28,51253.65,21821.0,520,0.6,2,2,Mortgage,Debt_Consolidation,1
700084,30,62900.08,14909.17,680,9.7,1,2,Mortgage,Home_Improvement,0
700085,40,64873.19,1000.0,640,7.9,1,3,Rent,Debt_Consolidation,0
700086,36,29150.13,7626.89,683,8.5,0,3,Mortgage,Debt_Consolidation,0
700087,53,15320.45,8481.27,737,10.4,2,3,Own,Auto,0
700088,42,43960.05,23691.91,511,5.3,4,2,Mortgage,Other,1
700089,36,52814.05,29536.17,624,5.9,1,0,Own,Auto,1
700090,61,38973.05,16390.96,533,10.9,2,3,Own,Debt_Consolidation,1
700091,49,33770.67,26101.23,666,10.4,4,0,Own,Medical,1
700092,52,35195.47,1000.0,526,11.4,3,2,Own,Debt_Consolidation,0
700093,54,48248.03,18978.57,408,9.5,4,0,Own,Debt_Consolidation,1
700094,36,54796.94,4407.07,762,13.2,0,1,Own,Other,0
700095,61,18455.47,25621.49,548,1.2,1,0,Mortgage,Home_Improvement,1
700096,21,44400.74,28850.13,596,8.7,2,0,Mortgage,Home_Improvement,1
700097,34,66081.98,27524.86,680,9.5,0,2,Own,Auto,0
700098,28,54530.96,24274.76,726,2.3,2,3,Rent,Other,0
700099,21,24841.76,27758.46,659,7.9,3,3,Rent,Debt_Consolidation,1
700100,65,48892.44,34345.63,611,1.6,0,0,Mortgage,Debt_Consolidation,1
700101,25,56971.38,11266.44,819,0.0,1,1,Rent,Debt_Consolidation,0
700102,41,75871.26,32190.15,619,0.0,2,0,Mortgage,Auto,0
700103,57,18367.14,13302.66,567,11.5,3,2,Mortgage,Debt_Consolidation,1
700104,52,73804.36,2865.79,668,11.9,4,2,Rent,Home_Improvement,0
700105,59,46264.23,22572.88,589,11.0,3,1,Own,Auto,1
700106,23,62223.46,24259.57,674,4.8,4,0,Rent,Auto,0
700107,43,73712.94,19881.7,564,9.9,4,2,Own,Home_Improvement,0
700108,22,36427.67,10279.1,684,0.0,4,3,Own,Home_Improvement,0
700109,29,37949.86,22822.55,498,3.0,4,0,Rent,Home_Improvement,1
700110,59,54554.72,14470.21,662,10.3,3,0,Mortgage,Auto,0
700111,24,74663.15,41284.7,708,9.0,0,0,Own,Debt_Consolidation,0
700112,47,44195.98,20321.75,663,2.0,0,1,Rent,Medical,1
700113,21,23330.09,20887.57,643,9.5,0,1,Own,Debt_Consolidation,0
700114,34,40519.83,11673.19,849,13.6,3,2,Own,Home_Improvement,0
700115,62,66376.47,22833.07,651,6.6,0,0,Rent,Other,0
700116,35,84952.24,33500.22,577,18.1,3,0,Own,Auto,1
700117,34,44980.44,9695.67,650,6.3,2,3,Rent,Debt_Consolidation,0
700118,25,49325.3,13226.56,767,7.8,4,0,Rent,Debt_Consolidation,0
700119,55,52782.55,1000.0,604,5.2,2,0,Own,Debt_Consolidation,0
700120,28,53826.28,16031.07,495,9.6,2,2,Rent,Debt_Consolidation,1
700121,43,34351.14,32830.72,618,9.4,2,0,Rent,Other,1
700122,22,46440.26,4797.94,534,1.2,4,2,Mortgage,Auto,1
700123,21,62143.67,12750.96,622,0.0,1,3,Own,Home_Improvement,0
700124,58,59444.3,9134.91,503,11.0,2,2,Mortgage,Other,0
700125,21,57499.56,13803.02,781,15.1,0,0,Mortgage,Debt_Consolidation,0
700126,41,32893.45,8795.99,641,7.0,3,2,Mortgage,Debt_Consolidation,0
700127,40,43811.91,12934.37,702,3.1,3,0,Mortgage,Auto,0
700128,26,39892.62,5338.26,647,7.0,3,2,Mortgage,Debt_Consolidation,1
700129,50,82080.95,18555.79,717,7.6,2,0,Rent,Debt_Consolidation,0
700130,54,91706.24,26121.91,620,4.5,0,0,Mortgage,Auto,0
700131,65,65132.64,24076.43,606,13.5,4,3,Mortgage,Home_Improvement,0
700132,29,95069.55,1000.0,562,5.9,1,2,Rent,Other,0
700133,62,49956.72,29608.56,590,4.0,4,2,Rent,Home_Improvement,1
700134,23,50072.05,23594.24,720,4.6,2,0,Mortgage,Debt_Consolidation,0
700135,27,26007.12,27779.83,734,3.0,2,0,Rent,Home_Improvement,1
700136,47,62504.79,7668.49,597,15.7,3,2,Mortgage,Debt_Consolidation,0
700137,60,46154.6,10495.66,505,11.7,4,3,Own,Debt_Consolidation,0
700138,61,59237.41,23188.07,725,12.6,2,1,Own,Home_Improvement,0
700139,54,68670.21,33881.68,564,6.2,4,2,Rent,Debt_Consolidation,1
700140,22,51275.98,6976.65,580,10.1,0,3,Rent,Debt_Consolidation,0
700141,39,30274.29,19221.89,620,8.9,4,1,Rent,Medical,0
700142,57,56014.79,20819.03,732,11.5,3,2,Own,Other,0
700143,44,55364.32,12939.43,678,12.4,0,2,Mortgage,Other,0
700144,29,57774.54,19922.54,620,12.8,0,3,Rent,Home_Improvement,0
700145,51,73204.62,11379.51,511,6.5,2,1,Own,Debt_Consolidation,0
700146,25,52027.52,29230.0,648,10.3,3,1,Own,Debt_Consolidation,1
700147,52,50784.78,1000.0,749,1.5,2,3,Rent,Auto,0
700148,21,98454.5,19505.43,660,10.4,1,1,Rent,Debt_Consolidation,0
700149,37,82762.83,11329.84,708,5.3,3,1,Rent,Other,0
700150,34,55059.08,15789.7,655,0.0,1,2,Mortgage,Other,0
700151,63,35005.72,7376.56,626,7.6,3,0,Rent,Home_Improvement,0
700152,53,46667.07,1000.0,662,10.8,0,0,Own,Other,0
700153,50,66379.13,31542.97,648,12.8,3,2,Mortgage,Home_Improvement,1
700154,43,77394.7,23670.48,850,5.9,1,3,Mortgage,Other,0
700155,33,114629.96,20639.07,668,4.8,0,0,Rent,Debt_Consolidation,0
700156,59,51587.91,16171.31,643,2.3,2,1,Own,Auto,0
700157,63,61110.48,19601.86,650,10.9,1,1,Mortgage,Debt_Consolidation,0
700158,30,49059.35,13415.78,672,15.2,1,1,Rent,Auto,0
700159,32,59483.91,17716.18,675,5.9,1,1,Rent,Debt_Consolidation,0
700160,35,48503.73,30448.91,725,9.7,1,2,Rent,Debt_Consolidation,0
700161,42,32232.72,10363.57,723,12.3,4,2,Mortgage,Medical,0
700162,32,81963.5,7999.51,674,3.8,2,1,Rent,Auto,0
700163,39,60750.72,35220.31,472,10.1,4,2,Mortgage,Debt_Consolidation,1
700164,65,88268.81,11765.74,724,11.1,1,0,Own,Other,0
700165,37,45811.25,18846.99,675,8.0,4,3,Rent,Medical,1
700166,63,64051.38,14929.75,778,6.9,0,2,Rent,Debt_Consolidation,0
700167,43,73450.55,22556.02,438,3.1,1,3,Own,Auto,1
700168,36,14000.0,23054.52,721,9.0,2,3,Own,Debt_Consolidation,1
700169,63,26561.02,17850.72,446,6.2,0,0,Rent,Auto,1
700170,40,75755.43,6994.12,655,9.7,1,0,Mortgage,Home_Improvement,0
700171,55,60341.64,7247.6,621,10.4,3,2,Rent,Medical,0
700172,35,14411.52,17381.85,729,6.5,4,2,Mortgage,Auto,1
700173,65,40493.81,34781.27,464,14.2,3,0,Own,Medical,1
700174,54,33101.28,1000.0,716,1.2,2,2,Own,Auto,0
700175,60,46616.76,15579.95,501,4.4,3,3,Rent,Auto,0
700176,22,94751.04,21238.66,607,5.2,2,1,Mortgage,Other,1
700177,25,44519.73,10926.39,590,8.0,3,3,Own,Home_Improvement,0
700178,24,106244.48,18890.83,698,2.2,1,3,Own,Home_Improvement,0
700179,44,52223.43,15544.01,608,11.4,3,2,Mortgage,Medical,0
700180,39,40815.62,24477.42,658,7.7,2,1,Mortgage,Medical,1
700181,65,95406.82,33046.01,583,9.3,3,1,Own,Auto,0
700182,32,80755.46,13428.47,604,1.2,1,3,Mortgage,Medical,0
700183,28,91027.21,19519.44,576,5.2,2,3,Rent,Debt_Consolidation,1
700184,59,104470.03,20987.46,683,8.5,0,0,Own,Medical,0
700185,34,83634.91,18124.44,589,9.0,2,1,Mortgage,Other,0
700186,54,87444.45,16613.81,558,10.9,0,0,Mortgage,Auto,0
700187,34,17726.68,1000.0,707,7.8,3,0,Mortgage,Home_Improvement,0
700188,45,38982.23,17438.76,685,5.7,3,2,Mortgage,Debt_Consolidation,0
700189,24,69064.99,5881.71,790,0.0,1,3,Mortgage,Other,0
700190,50,63478.51,12129.8,641,9.3,1,2,Mortgage,Auto,0
700191,62,75759.91,20719.99,718,6.8,4,2,Mortgage,Debt_Consolidation,0
700192,52,47418.17,22042.61,592,6.1,2,3,Rent,Medical,1
700193,60,85130.93,11912.83,737,8.8,2,3,Mortgage,Other,0
700194,56,106687.47,11746.83,781,4.5,4,3,Rent,Home_Improvement,0
700195,46,72745.75,13537.23,779,9.4,1,0,Mortgage,Other,0
700196,62,78772.33,5889.86,490,9.7,0,3,Rent,Medical,1
700197,42,70996.6,31698.12,542,8.9,0,2,Own,Auto,1
700198,27,81038.64,33589.49,470,0.2,3,1,Mortgage,Other,1
700199,46,64137.35,14427.77,742,6.8,0,3,Mortgage,Debt_Consolidation,0
700200,49,47124.25,32265.61,759,7.9,0,2,Rent,Debt_Consolidation,1
700201,28,63786.38,23979.58,615,7.0,4,0,Mortgage,Other,0
700202,27,61698.7,5605.74,569,8.5,0,2,Mortgage,Home_Improvement,0
700203,50,22891.18,25386.84,591,7.6,2,3,Rent,Debt_Consolidation,1
700204,40,64694.65,22901.97,565,4.1,1,0,Mortgage,Auto,1
700205,42,59781.72,17802.86,593,19.6,1,1,Mortgage,Medical,0
700206,56,64087.64,1786.32,576,3.2,3,1,Mortgage,Home_Improvement,0
700207,51,46137.02,10305.89,714,2.2,2,1,Mortgage,Other,1
700208,61,70590.55,1000.0,831,10.8,3,0,Own,Debt_Consolidation,0
700209,28,73961.49,15916.57,635,11.5,3,3,Mortgage,Other,1
700210,55,42355.98,13336.2,722,12.7,3,3,Mortgage,Auto,0
700211,45,66792.36,5130.25,788,11.5,2,2,Mortgage,Debt_Consolidation,0
700212,22,77633.82,3780.23,777,0.0,3,1,Rent,Debt_Consolidation,0
700213,24,76744.66,29417.28,630,2.0,0,0,Own,Debt_Consolidation,1
700214,37,37205.26,1129.03,696,14.5,0,2,Mortgage,Debt_Consolidation,0
700215,49,34726.74,23443.39,769,12.0,2,0,Rent,Other,0
700216,28,59545.82,17222.52,751,5.2,4,2,Mortgage,Home_Improvement,0
700217,45,34038.92,28452.75,776,9.1,3,2,Own,Home_Improvement,1
700218,65,118149.77,1000.0,591,3.0,0,2,Mortgage,Debt_Consolidation,0
700219,27,39486.59,17230.94,651,4.2,1,2,Rent,Home_Improvement,1
700220,27,39747.25,28528.2,730,7.9,0,2,Mortgage,Medical,1
700221,64,73875.83,14532.47,633,11.2,3,3,Mortgage,Debt_Consolidation,0
700222,31,47307.57,2143.85,835,13.0,4,1,Mortgage,Debt_Consolidation,0
700223,60,14000.0,1000.0,850,0.0,4,3,Mortgage,Other,0
700224,37,54793.78,9199.74,574,10.8,1,0,Mortgage,Debt_Consolidation,0
700225,55,34738.39,26232.08,595,11.8,4,1,Mortgage,Other,1
700226,23,45626.61,31349.32,643,7.5,2,1,Mortgage,Home_Improvement,1
700227,49,19640.32,16767.07,679,11.8,2,2,Mortgage,Debt_Consolidation,1
700228,60,36384.18,24994.54,752,9.5,4,0,Own,Debt_Consolidation,1
700229,36,53820.25,26140.69,819,9.0,2,0,Mortgage,Medical,0
700230,49,55763.84,22206.46,583,0.0,3,2,Rent,Medical,1
700231,30,31069.15,7869.29,643,11.0,0,0,Mortgage,Other,1
700232,28,40380.36,23416.53,724,3.0,2,2,Mortgage,Home_Improvement,1
700233,21,37070.04,6205.85,601,0.4,2,3,Rent,Auto,0
700234,43,60506.74,17331.78,698,3.2,0,0,Rent,Home_Improvement,0
700235,44,53568.2,24132.29,524,10.0,2,0,Rent,Debt_Consolidation,1
700236,24,27419.46,26970.92,682,8.5,0,3,Mortgage,Auto,1
700237,31,72199.42,15072.41,639,7.6,0,0,Mortgage,Home_Improvement,0
700238,48,40365.25,27525.9,691,7.8,3,2,Rent,Home_Improvement,1
700239,37,66081.44,31436.24,552,12.1,4,1,Mortgage,Medical,1
700240,31,35103.93,25945.3,579,19.1,4,2,Rent,Debt_Consolidation,1
700241,21,63817.46,15888.78,600,10.7,3,3,Own,Home_Improvement,0
700242,22,53896.44,19463.13,525,5.0,4,3,Mortgage,Debt_Consolidation,1
700243,49,58002.16,16608.57,478,7.1,3,3,Mortgage,Auto,0
700244,26,68600.96,16937.7,546,10.9,4,1,Rent,Auto,0
700245,59,67044.36,23639.87,698,3.4,4,3,Rent,Medical,0
700246,45,60555.22,27294.59,628,5.4,1,3,Own,Auto,0
700247,32,60496.92,16577.12,671,7.6,0,2,Mortgage,Debt_Consolidation,0
700248,49,26506.93,23854.28,642,16.3,0,3,Own,Debt_Consolidation,1
700249,28,54958.31,18979.16,805,9.5,4,3,Own,Debt_Consolidation,0
700250,35,14000.0,18033.59,608,0.2,4,1,Mortgage,Debt_Consolidation,1
700251,43,14000.0,6792.0,637,2.6,2,2,Mortgage,Debt_Consolidation,1
700252,49,49215.81,20262.67,723,13.2,4,1,Rent,Debt_Consolidation,0
700253,27,51321.34,15355.95,658,0.0,3,0,Mortgage,Medical,0
700254,36,92014.03,19357.94,673,0.0,3,2,Rent,Debt_Consolidation,0
700255,25,72379.27,26479.49,695,0.1,1,2,Own,Medical,0
700256,26,82889.5,23945.72,562,7.7,3,0,Rent,Auto,0
700257,31,49332.39,23575.54,541,9.2,4,3,Rent,Debt_Consolidation,1
700258,35,67183.63,11466.12,591,0.5,4,2,Own,Debt_Consolidation,1
700259,61,84295.6,1000.0,732,5.2,0,2,Mortgage,Home_Improvement,0
700260,38,69288.14,12575.7,850,8.7,4,2,Rent,Debt_Consolidation,0
700261,25,65207.99,16254.73,552,8.9,1,2,Own,Auto,0
700262,62,59329.87,18334.17,682,3.5,1,0,Mortgage,Home_Improvement,0
700263,46,35140.18,29813.38,460,10.4,0,2,Rent,Auto,1
700264,26,35805.5,19383.62,635,7.4,0,1,Rent,Auto,1
700265,24,23094.01,30562.29,679,14.5,3,3,Own,Debt_Consolidation,1
700266,24,66725.74,12414.21,658,6.7,2,2,Rent,Medical,0
700267,61,50677.81,5685.43,533,9.6,4,1,Own,Auto,0
700268,46,41145.59,24966.96,615,14.1,3,1,Rent,Auto,1
700269,51,65592.34,5275.83,795,8.0,0,1,Mortgage,Other,0
700270,64,43610.75,1000.0,662,7.1,3,0,Rent,Debt_Consolidation,0
700271,39,81990.14,10875.81,589,5.2,3,3,Rent,Other,0
700272,61,102490.72,19712.58,665,9.8,0,2,Mortgage,Debt_Consolidation,0
700273,39,68001.93,27249.39,576,0.0,0,2,Mortgage,Home_Improvement,1
700274,52,40981.95,16480.99,608,2.4,1,2,Rent,Auto,1
700275,58,21911.22,25333.99,621,8.0,3,0,Mortgage,Home_Improvement,1
700276,24,105062.04,16174.61,643,10.4,0,1,Own,Auto,0
700277,54,68085.49,1000.0,617,16.8,4,2,Mortgage,Debt_Consolidation,0
700278,57,29550.61,5494.53,698,14.0,0,0,Rent,Debt_Consolidation,0
700279,64,82879.09,1000.0,522,9.5,3,1,Own,Debt_Consolidation,0
700280,51,17916.5,14353.85,545,3.8,0,0,Rent,Debt_Consolidation,1
700281,42,46993.33,1000.0,730,0.0,0,0,Own,Medical,0
700282,27,51812.51,2194.71,607,13.1,4,3,Mortgage,Medical,0
700283,55,48919.42,8066.27,633,0.0,1,2,Rent,Home_Improvement,0
700284,41,30440.7,25120.66,604,16.1,0,2,Rent,Auto,1
700285,57,114298.72,21529.92,603,2.5,0,2,Rent,Other,0
700286,23,48045.56,12476.59,546,11.5,0,1,Rent,Auto,1
700287,36,66596.57,18183.96,655,10.8,1,1,Own,Other,0
700288,57,58340.19,13756.86,643,12.2,4,1,Rent,Other,0
700289,48,19537.38,43160.23,564,9.2,2,3,Mortgage,Auto,1
700290,53,44489.82,1000.0,652,6.6,2,2,Own,Home_Improvement,0
700291,47,62501.85,1000.0,745,7.3,0,1,Mortgage,Home_Improvement,0
700292,57,79661.04,1000.0,474,0.0,4,1,Rent,Auto,0
700293,58,49349.3,1999.69,733,1.2,4,2,Rent,Home_Improvement,0
700294,55,66274.02,12581.19,593,2.9,4,3,Rent,Debt_Consolidation,0
700295,50,49525.35,25215.48,611,8.8,3,1,Own,Auto,0
700296,33,71561.1,13611.07,672,10.0,2,1,Mortgage,Other,0
700297,24,14000.0,13290.93,718,0.0,2,0,Mortgage,Other,1
700298,56,71878.26,14401.09,662,12.3,2,2,Rent,Home_Improvement,0
700299,36,42820.93,17740.93,697,9.5,1,1,Own,Debt_Consolidation,1
700300,32,43833.93,6783.82,529,5.9,2,2,Own,Other,0
700301,21,14000.0,21971.09,532,6.4,2,2,Mortgage,Home_Improvement,1
700302,27,32334.39,15257.25,553,14.2,0,1,Mortgage,Other,1
700303,22,72240.68,18112.5,615,9.7,2,0,Mortgage,Auto,0
700304,38,112665.56,21111.72,556,8.0,3,1,Mortgage,Home_Improvement,0
700305,34,40928.8,21305.78,547,4.1,1,1,Own,Auto,1
700306,43,41956.15,23455.1,712,8.1,3,3,Rent,Auto,0
700307,46,69382.38,7147.7,631,15.6,0,1,Rent,Auto,0
700308,33,64544.46,20303.26,528,1.2,4,0,Mortgage,Other,0
700309,45,43723.2,1000.0,760,4.4,2,3,Rent,Auto,0
700310,48,53725.29,1000.0,759,10.3,2,3,Own,Other,0
700311,51,48612.56,11909.6,752,10.9,1,2,Rent,Auto,0
700312,48,72503.32,19592.69,439,12.7,2,1,Mortgage,Home_Improvement,0
700313,22,76681.67,20279.9,533,5.3,0,1,Mortgage,Auto,0
700314,31,99717.7,19063.7,546,8.4,2,2,Mortgage,Other,0
700315,56,79670.2,23872.9,662,7.1,2,2,Rent,Home_Improvement,0
700316,49,73719.74,1000.0,697,0.5,1,2,Rent,Home_Improvement,0
700317,34,61569.94,10122.73,692,16.3,1,3,Mortgage,Debt_Consolidation,0
700318,37,80187.18,13262.26,587,13.3,0,2,Mortgage,Auto,0
700319,62,34377.28,7550.11,744,6.8,1,0,Rent,Debt_Consolidation,0
700320,54,109307.05,18687.68,835,8.9,2,3,Own,Auto,0
700321,37,64597.85,21179.18,657,2.6,2,3,Own,Auto,0
700322,34,91588.33,18521.32,749,10.4,2,2,Rent,Debt_Consolidation,0
700323,26,38921.95,16618.0,658,7.2,1,3,Rent,Medical,1
700324,56,82513.23,38162.39,416,7.8,3,2,Mortgage,Debt_Consolidation,1
700325,49,67493.23,16250.86,590,1.4,2,0,Mortgage,Home_Improvement,0
700326,39,53497.68,15775.96,615,1.0,2,2,Mortgage,Debt_Consolidation,1
700327,52,41990.81,27456.55,699,4.5,1,0,Own,Debt_Consolidation,1
700328,45,36938.86,33376.08,723,9.1,0,3,Own,Auto,1
700329,44,100897.46,6679.62,595,2.9,4,1,Rent,Medical,0
700330,51,87105.62,5876.91,555,9.5,1,3,Mortgage,Home_Improvement,0
700331,55,60724.27,28818.71,566,3.7,4,2,Own,Auto,1
700332,44,62645.33,26605.21,633,2.9,0,2,Mortgage,Auto,0
700333,39,40629.4,23928.62,619,14.7,3,3,Own,Debt_Consolidation,1
700334,32,14123.92,13151.85,655,5.6,1,0,Mortgage,Home_Improvement,1
700335,34,15196.95,22108.48,738,4.9,4,3,Own,Debt_Consolidation,1
700336,65,43458.83,1898.94,546,3.1,1,2,Mortgage,Medical,0
700337,29,54295.29,4458.22,819,4.9,1,2,Own,Other,0
700338,25,29982.66,30878.34,614,5.9,4,1,Own,Debt_Consolidation,1
700339,48,77047.85,3393.19,763,1.6,4,3,Rent,Other,0
700340,35,70328.32,14128.75,651,5.5,4,3,Own,Auto,0
700341,25,61839.36,21832.54,701,5.7,3,1,Mortgage,Other,1
700342,45,15916.53,18737.05,583,14.2,3,2,Own,Auto,1
700343,54,52847.5,4998.78,728,4.5,2,1,Rent,Home_Improvement,0
700344,22,57269.16,9892.42,644,7.4,1,0,Mortgage,Debt_Consolidation,0
700345,42,27807.63,21334.22,519,7.6,3,0,Mortgage,Home_Improvement,1
700346,27,14000.0,11382.22,621,8.7,2,0,Mortgage,Debt_Consolidation,0
700347,46,103845.15,31724.89,568,8.2,4,3,Own,Medical,0
700348,56,72849.06,14275.55,704,17.4,3,3,Own,Debt_Consolidation,0
700349,57,48773.41,33362.41,597,1.2,2,2,Rent,Home_Improvement,1
700350,56,96245.86,15437.65,723,13.4,3,3,Rent,Home_Improvement,0
700351,34,84600.1,27607.17,714,5.7,4,0,Own,Debt_Consolidation,0
700352,49,68717.29,19855.13,701,0.0,3,2,Rent,Other,0
700353,50,63396.18,16242.47,598,13.3,0,1,Rent,Other,1
700354,61,76661.73,2367.64,749,5.2,4,0,Rent,Auto,0
700355,52,93042.76,21203.07,639,14.6,1,2,Own,Home_Improvement,0
700356,54,59660.55,16294.19,632,2.3,1,0,Own,Debt_Consolidation,0
700357,25,52458.05,19010.79,743,4.8,2,1,Own,Home_Improvement,0
700358,34,71941.24,10226.43,607,9.3,0,0,Rent,Debt_Consolidation,0
700359,37,14000.0,6306.02,758,11.2,3,1,Own,Debt_Consolidation,1
700360,50,60093.28,6047.4,724,0.0,3,1,Mortgage,Home_Improvement,0
700361,60,48223.77,14405.63,706,0.0,4,2,Rent,Debt_Consolidation,1
700362,36,57567.69,24311.7,641,13.3,1,2,Mortgage,Debt_Consolidation,1
700363,43,53565.23,12035.49,598,14.1,3,2,Rent,Debt_Consolidation,0
